l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
29029955,20183415,683360054,805835669,457100552,929,0,873804448,38797312,11640700928,0
28410050,20170983,1972962110,846999022,178608563,312,0,105839270,40370176,1584463872,30408704
46498240,18741838,980320788,836278130,407745005,4227,0,105605570,40239104,2163212288,1441792
35839925,20947024,1674143151,838330504,253837713,881,0,104971708,38141952,1324417024,0
30373862,18184363,1388852911,832403856,229701176,414,0,105701900,34996224,1026228224,0
25999913,13016544,1230904333,696704986,223559808,262,0,104380808,38666240,849084416,0
30168803,16185994,1373297793,818771449,274027723,14350,0,105824452,37486592,836567040,0
32223916,19350802,874150393,797692866,405635164,3835,0,105473030,39649280,1908277248,25034752
24691573,15799863,1197383429,669724675,246110049,163,0,4740010802,25624576,1435172864,0
37225194,19198539,1615550505,1036529043,390741573,325,1,105347555,36110336,1885536256,9633792
41818989,18623263,1006933610,1038255414,626948455,12329,0,105652317,37683200,2220359680,0
44940155,22138858,1930954162,1037235270,357081979,681,0,105621112,36241408,1279066112,8060928
36091222,19010544,1460276657,1037135722,447386474,851,0,105362729,34603008,1181089792,0
31719285,19148497,1521091882,1036266528,480512211,10577,0,105394458,39059456,1278935040,0
29958439,16836850,1093171268,934654399,468726312,6902,0,105304809,25886720,1319108608,26869760
30026784,19050118,1066312174,946070756,522598722,253,0,105594680,37093376,2071527424,0
37328061,19855348,1926340109,1037568265,283895859,339,0,105499822,38010880,1765867520,11862016
38425190,15970540,921053729,877438812,477453268,1868,0,105259506,34144256,1780219904,0
25344498,14988642,1076295928,738929436,319939075,375,0,105419652,32374784,1126563840,0
25585537,11565032,1202449897,614183064,148076755,114,0,105608980,37945344,634454016,44564480
30482781,14990546,1240380970,852353568,326989177,379,0,105272672,32768000,736559104,0
22327944,11284438,935498745,646927494,286789902,3327,0,105480723,32768000,760610816,4718592
34203371,19105607,1467107189,1035798972,445063828,12623,0,105273801,34537472,1128464384,10158080
34962720,19836969,768413530,1037310385,678878452,2307,0,105543762,37552128,2313945088,12517376
31885776,21371813,2046485015,1038181725,321699029,366,0,105452889,36306944,1667563520,0
47377430,16333620,1077667443,990004364,520082710,664,0,105491841,37879808,2076639232,15466496
24108676,12549369,790274493,671197272,342560035,632,0,105434061,35586048,1227751424,0
36220282,16446854,1690901074,750313048,156211483,171,0,105308745,14155776,691142656,0
21495277,12509053,1142246015,710926579,270671623,366,0,105379428,33292288,767623168,9568256
21115070,10258815,1042636121,578519302,175760170,91,0,105207882,7995392,428998656,0
23171252,14197518,1076929037,831430462,359516074,4450,0,105526065,33292288,997195776,18612224
29800226,15332617,1134683749,874033834,423931746,4824,0,105447090,37617664,1249247232,32112640
33858648,19835808,1049006596,1037215475,597457276,721,0,105504297,37158912,2140471296,0
36113601,19557781,1792335397,1038074290,326136842,353,0,105522480,38469632,1806041088,8519680
43340614,18153146,986979460,1039402113,608341729,643,0,105644219,37814272,2187067392,8847360
44395869,22023202,1796138631,1008831234,366955955,566,0,105403204,32964608,1300365312,0
18967885,10464522,815756629,609995051,271877558,382,0,105587405,33423360,668073984,5373952
27927393,13444020,1303572401,754589360,240556146,129,0,105193684,14876672,532807680,0
17892023,10983924,890435379,653094374,277647668,2672,0,105446763,33292288,714276864,22937600
25560684,12624424,1128564481,709218914,251143736,1710,0,105303301,13500416,599719936,0
19853126,11319841,533612580,573266251,315272808,298,0,105469307,23330816,1217331200,48824320
31373743,19752512,1304586590,1012901557,502750415,323,0,105587384,36962304,1987903488,0
39484431,18779793,1609121322,1038030050,402134066,340,0,105294154,37814272,1901527040,14024704
40203768,19092775,1021756573,1037994128,612242242,881,0,105589524,35717120,2199715840,0
42905369,22614685,1872305389,1023528592,319528841,570,0,105480379,37486592,1254686720,0
30721097,14901769,1366403707,857021968,300353646,437,0,105466080,31457280,703135744,2490368
15421184,7572933,705562128,521566827,232091324,1106,0,105411376,31916032,558366720,3997696
33033998,16636187,1408352669,877189478,322269413,4900,0,105467557,31457280,819200000,0
16591384,8423019,605259581,483904525,216592672,524,0,105437661,33030144,718602240,3276800
26151732,16272213,578824917,810995791,539135728,612,0,105505734,33685504,1866792960,14876672
32296485,20931011,2118173628,1037300652,263500228,291,0,105727428,40042496,1687224320,19529728
48339849,17136727,972924148,1039045590,595584575,378,0,105569925,38535168,2186346496,0
40802110,21894304,1665651976,1037650812,434854600,7958,0,105481875,34865152,1611202560,0
31491093,17931258,1540664616,905939493,333660466,484,0,105248173,31522816,1032650752,0
24547975,11642723,1160246212,661135793,201728391,167,0,105314738,13697024,517210112,0
22865492,13082202,1087782382,787581630,337184252,4832,0,105479661,32047104,896794624,17498112
20535532,10275868,977404255,608286581,217540011,1963,0,105401541,19988480,507772928,43778048
27300717,16638384,632679229,848534424,534571747,419,1,105579630,37814272,1906769920,0
32262804,20842589,1978387723,1038159267,379235384,339,0,105760376,36700160,1726545920,0
46384343,17358583,1247753776,1038775260,503725040,671,0,105453301,38535168,2096365568,3735552
38382233,20358478,1262538040,1036978359,513925225,12516,0,105533183,34996224,1881866240,0
36792250,20756880,1721775713,1001689465,329948226,644,0,105385422,31588352,1235156992,0
26843297,12970633,1308998544,744557337,227367346,147,0,105111559,14417920,524812288,0
19215678,10652629,793027967,671817142,304631540,5271,0,105494555,31588352,740032512,16515072
25669674,11925734,1102918324,695123175,241538288,1508,0,105142825,15597568,539557888,0
19483696,10726525,535634258,589108837,337221393,339,0,105251163,29425664,1288634368,58720256
32703569,19909185,1348146662,1032989611,503371576,401,0,105514506,34865152,1959985152,0
40045589,18267317,1547229165,1037658835,413807295,266,0,105625006,37617664,1944584192,8716288
41183382,19182009,1047661748,1037631918,613580294,1745,0,105473264,33357824,2144141312,0
45014610,22607328,1910003161,1037388642,362109368,617,0,105358632,29687808,1314586624,0
35770698,18899298,1648329416,1037597154,392980725,479,0,105545598,32702464,1066598400,5898240
31387530,19177176,1422359024,1037910643,464543512,11249,0,105541124,32571392,1303379968,0
35537905,19380022,1132569850,1038002423,560712945,6990,0,105381913,34930688,1844117504,41287680
32430256,20266473,1371935711,1037952353,506820855,291,0,105747675,36175872,1939996672,0
40263884,19060848,1615434882,1036894880,412457377,286,0,105416424,38338560,1951399936,18612224
37887324,18947153,982377389,936940108,534553534,10393,0,105641428,33882112,2095316992,0
38674587,20199959,1745178196,793573451,174796104,174,0,105473122,30605312,988086272,0
22866562,13870284,1018264639,668358892,251367699,410,0,105434318,32047104,985006080,12124160
27650947,17017578,1220989209,797858635,290830386,3757,0,105272039,35913728,1139802112,6029312
29388991,17182725,1266695700,796932032,297612873,11957,0,105996017,34275328,1046478848,0
32346628,19831482,879747822,809605536,426882460,5582,0,105211702,37748736,2007040000,40894464
29350429,19702217,1490096281,891936126,325511875,238,0,105366550,35586048,1695023104,0
41553452,18577274,1514523036,1036652997,440848682,326,0,105595182,36044800,1986789376,9895936
39050022,19260383,1098209245,1037139767,589517113,1130,0,105904150,34078720,2074017792,0
40133288,21821064,1815861906,1038489718,351844953,446,0,105590322,34471936,1282146304,21561344
36175925,19089376,1673479551,1038114883,381041529,363,0,105535226,35782656,1084620800,20840448
32774685,19175870,1313288301,1036998497,493561732,11511,0,105451371,34406400,1230503936,0
36085749,19927866,1097386511,1037695181,584475964,6264,0,104824076,38535168,1951268864,23461888
32320986,20167081,1495843917,1037579737,454280953,277,0,106022921,35913728,1882259456,0
40966295,18186219,1406607418,1024730282,438887312,418,0,104850760,28049408,1901854720,0
31407450,13384383,768303507,725259309,396047606,2253,0,106169726,38010880,1575813120,52035584
33326706,16535099,1574235115,808100781,223233930,214,0,104898399,32440320,853278720,0
