l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
13664,2662,307792170,100757324,6017824,0,0,852946192,4784128,39911424,131072
13449,2925,308331477,101044848,6118307,0,0,105342722,6750208,5701632,196608
13410,2842,308494801,101009726,6090669,0,1,104631485,8126464,5767168,0
13349,2889,308470113,100977419,6100708,0,0,105240225,8454144,7405568,196608
13443,2892,308949133,101014364,6098370,0,0,105216843,8192000,6881280,0
13204,2753,308879379,101002849,6131207,0,0,105240582,7929856,6356992,0
13115,2849,308768041,101011119,6132551,0,0,105136479,8585216,7602176,262144
13996,2991,308741505,100986534,6109415,0,0,104919638,5242880,8781824,0
13556,2704,308250408,100980127,6150205,0,0,105048108,4456448,6291456,0
13244,2781,307790022,100835915,6121666,3,0,105154976,6029312,3080192,0
13724,3011,308271234,100878055,6123598,0,0,105129640,9764864,6291456,65536
13735,2803,307631633,100882849,6151815,0,0,105047302,13500416,5177344,0
13659,2910,308579056,100909161,6111407,0,0,105118512,16187392,3801088,0
13622,2951,308480315,100944865,6159552,0,0,105231385,18415616,5570560,131072
13824,2935,307917113,100833237,6133567,0,0,104990417,21889024,5505024,0
13747,2938,308285985,100872841,5921586,0,0,105113394,23199744,5373952,65536
13607,2917,307352729,100755814,6133855,0,0,105111510,25296896,8257536,0
13662,2896,307383065,100756969,6101497,0,0,105138471,21954560,11075584,262144
13646,2773,307596341,100730009,6112678,0,0,105129582,16121856,12255232,131072
13601,2838,309060049,101183006,6123262,0,0,105093473,7077888,8781824,0
13470,3035,308767046,101104974,6142161,0,0,105107695,10092544,5046272,0
13423,2768,309091429,101153048,6127786,0,0,105109722,12451840,5636096,131072
13372,2814,309206866,101071478,6126234,0,0,105115515,15073280,4521984,0
14002,2824,308427360,100949671,6106651,0,0,105208032,18939904,5046272,196608
13331,2764,308509408,100921031,6151313,0,0,105068500,21299200,4915200,0
13701,2798,308462061,100857988,6127259,0,0,105131812,24182784,5242880,0
13239,2766,308485874,100886480,6086867,0,0,105047776,25886720,4325376,131072
13550,2916,309184866,100901073,6078772,0,0,105210512,27525120,5701632,0
13139,2771,309561924,100813074,6018616,0,0,105051976,28901376,5505024,0
13407,2842,309302583,100903565,6065198,0,0,105108759,30408704,6815744,0
13870,2755,308606261,100804902,6121925,0,0,105229553,20643840,12845056,196608
13195,2768,308437354,100844104,6134473,0,0,105030616,18415616,8650752,0
13750,2983,308879546,100919667,6096714,0,0,105089940,20054016,6684672,0
13595,2885,308381077,100793503,6105998,0,0,105257020,21823488,6356992,0
13420,2795,308324649,100904783,6157308,0,0,105027551,23003136,4653056,0
13554,2780,308360364,100898737,6141782,0,0,105109734,24903680,8257536,1048576
13096,2571,309617912,100951159,5875139,0,0,105111321,27459584,6160384,0
13666,2851,309288869,100925351,6121856,0,0,105111909,29229056,7208960,0
13875,2767,309148597,100872070,6088348,0,0,105109572,29753344,5832704,196608
13680,2782,308652902,100825346,6070470,0,0,105236977,30801920,5308416,262144
13418,2789,308509806,100934205,6161336,0,0,104985557,31195136,5373952,0
13449,2751,308690046,100975897,6104968,0,0,105161095,24051712,9830400,262144
13528,2800,308692273,100811489,6112386,0,0,105154336,16842752,11206656,0
13311,2733,308045092,100811731,6168217,0,0,105120119,18415616,6029312,65536
13665,2787,308962317,100864242,6104482,0,0,105029138,20447232,6291456,0
13919,2872,308317745,100812993,6159871,0,0,105113724,22806528,6160384,65536
13253,2803,309643517,100962692,6101657,0,0,105201587,25231360,7667712,0
13790,3001,308882236,100906706,6168682,0,0,105118392,22740992,9240576,65536
14263,2935,308706653,100961926,6143306,0,0,105034537,23199744,5242880,0
14084,3115,308136226,100967028,6124270,0,0,105105258,24182784,5701632,0
13830,2899,308753418,100910941,6114942,0,0,105242772,17301504,10616832,65536
14261,2942,307803730,100765513,6171357,0,0,105097250,10813440,9043968,524288
14090,2979,309074246,100669185,5991683,0,0,105028607,5177344,11206656,0
13964,3056,309235525,100897672,6109660,0,0,105176244,3801088,7995392,0
14214,2989,308521621,100806314,6128639,0,0,105067529,6488064,7208960,0
11756,2158,292736402,101520454,7703131,0,0,105100452,7012352,6553600,65536
4144,332,273352858,102848289,10032017,0,0,105203097,6684672,7667712,0
4050,430,272603385,102691523,10359999,0,0,105052269,4063232,4980736,0
