l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
657368,190902,96235966,100879363,48207609,0,0,825811675,19267584,116195328,0
665168,190108,95198525,101184615,48804200,0,0,104545882,22347776,13172736,262144
674662,191834,94845777,101213657,49003182,0,0,105430558,25231360,15597568,196608
683019,194364,93974889,101245876,49462543,0,0,105053736,26017792,17367040,0
690293,197414,93151133,101359018,50018931,0,0,105177073,27328512,15597568,196608
695422,200522,92135076,101369465,50433665,0,0,104904345,28180480,17170432,65536
695222,204324,91115830,101416206,50940817,0,0,105098606,27328512,19267584,196608
258963,77304,33322682,37602796,19128369,0,0,4699960968,458752,29229056,0
707160,315475,88011283,125068010,76616963,0,0,104924662,13631488,17694720,0
764588,299311,94477418,127220543,74383595,0,0,105217682,15532032,26148864,0
782905,294592,98068336,132202782,78010943,0,0,105136468,21757952,20054016,196608
806732,276813,104667472,136964012,78666497,0,0,105018057,25493504,22544384,262144
824572,266129,104935041,133964410,73442817,0,0,105200171,28639232,25952256,0
816839,256736,99798797,127026592,72021736,0,0,105087775,27262976,23068672,1048576
832050,261343,102482453,133127243,75690265,0,0,105156774,28180480,22937600,0
826315,257906,103102357,132667484,77749457,0,0,105113529,29818880,22937600,131072
830907,262563,103320078,134798666,76106653,0,0,105174411,24576000,25362432,0
713983,273483,97602543,128298878,70417298,0,0,105187239,25886720,32636928,0
838698,279369,97669224,131761233,78097447,0,0,105065730,27131904,23461888,196608
824137,264272,98323749,133410469,77723593,0,0,105167439,29884416,22151168,0
829351,266955,100098438,131763788,78996596,0,0,105203847,26935296,29097984,393216
819613,280766,97706250,129879843,75493012,0,0,105048326,22282240,29818880,131072
818402,292773,97493394,133843095,77793707,0,0,105021880,25100288,23986176,0
845891,281772,96146643,130806656,78780882,0,0,105144336,28311552,22872064,0
835564,268054,95938973,130158979,76474074,0,0,105138717,30736384,20643840,0
833628,272438,98061425,132054585,78623351,0,0,105154572,32178176,23527424,0
842642,280990,99419366,136761709,80545319,0,0,105125934,30343168,27590656,327680
742391,240200,84804752,117563498,76055406,0,0,105161514,33357824,29229056,0
842373,281140,95357790,132801844,79125260,0,0,105100329,33488896,25886720,0
850148,273798,96684305,135487257,81596867,0,0,105101622,32636928,26214400,65536
827202,281626,90773667,127089190,77109583,0,0,105124521,21692416,33030144,720896
709651,251106,76825662,97451683,57061629,0,0,105208555,22544384,23527424,0
685192,256832,75429653,97409203,55479495,0,0,105083114,19857408,24117248,327680
694198,254743,75720523,97425109,55278810,0,0,105082491,26476544,19529728,0
697090,244984,76294379,97389123,54820997,0,0,105133923,30081024,20054016,0
698726,247369,76635886,97483510,55059706,0,0,105157437,23527424,28049408,458752
681259,246395,73439354,92947550,52358763,0,0,105249453,23789568,28246016,0
587736,188207,60766727,81280087,47316051,0,0,105055632,29097984,30146560,0
675763,242963,72932368,92527535,52089648,0,0,105158012,30867456,17694720,262144
689487,234556,73751573,92602815,51527954,0,0,105075730,32178176,18415616,0
