l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1789440,2007883,1681359727,835763369,336112827,7109,0,1006985132,3538944,1522139136,8847360
1705435,1836929,1531406839,827021200,369894782,6776,0,105195372,5636096,163512320,2883584
2242239,2392864,1971792052,828304961,253297513,7984,0,105448052,3932160,206962688,2424832
2294409,2564490,2064907471,829216579,233025226,5767,0,105338296,5046272,203816960,7012352
2183540,2532431,2033559711,828954536,249553116,3545,0,105468083,5111808,221773824,3080192
2071385,2258135,1819973420,829121719,305001423,599,0,104973481,2686976,197066752,0
1810791,2051639,1645919812,829292552,356196949,132,0,104890194,2949120,175439872,2293760
2390975,2703145,2081433804,832287476,213360680,52,0,105466824,41877504,181534720,0
2533558,2748853,2130632837,835005819,195985165,23,0,105676074,41746432,215941120,0
2576177,2804748,2149758212,836375251,189834764,603,0,105501393,41943040,216006656,2293760
2585143,2841141,2138357231,835745716,189998027,8,0,105023532,41877504,216203264,393216
2602378,2871123,2148793702,834206572,187896364,209,0,105224748,41943040,226230272,0
2607424,2868105,2142441754,835823850,190914745,229,0,105340398,41877504,224133120,2424832
2631439,2918271,2146247047,836480102,190673062,929,0,105590145,41418752,243924992,0
2636048,2921338,2129717301,835829151,190600176,42,0,105482247,41877504,245956608,131072
2638323,2936685,2137806617,834720796,187163302,904,0,105868056,41484288,238813184,917504
2655803,2970149,2140217700,835351345,186943470,7,0,104885325,41549824,243531776,131072
2663293,2991751,2138442956,835730932,187744104,281,0,105304875,41287680,247201792,196608
2661226,3007826,2129899756,834477070,188020322,98,0,105478692,41418752,245563392,0
2675931,2996503,2132083711,836491688,189030502,5,0,105428733,41287680,254869504,851968
2667592,3011029,2129509251,835082923,187681537,14,0,105304221,41222144,253820928,458752
2682277,3038916,2135422093,835941618,186402236,12,0,105394557,41287680,260046848,196608
2695978,3066976,2164449918,836060864,182563797,13,0,105398274,41353216,248512512,720896
2712513,3083588,2161911655,836397976,181830006,101,0,105418197,41484288,263716864,983040
2721090,3106093,2158838688,837295190,182220661,119,0,105458622,41418752,273350656,524288
2718219,3111670,2159456300,833748158,181821403,8,0,105336258,41287680,265879552,0
2744710,3120353,2158208355,836341878,182004285,9,0,105324279,41418752,266600448,0
2706174,3112664,2160696598,834615600,180455260,19,0,105368085,41484288,267976704,524288
2714278,3144857,2165060126,836867667,181507749,7,0,105371220,41418752,268369920,0
2744009,3142812,2154132367,836513789,181367682,1,0,105395619,41287680,274464768,786432
2707230,3091043,2129291591,835079189,182146745,461,0,105363720,41353216,266338304,1441792
2542456,2853271,1986806715,792524719,176240542,29,0,105316131,41353216,258736128,0
899411,995236,724507833,290548484,64405436,211,0,105258219,41353216,78184448,0
5161381,4528406,440828764,211108159,66742654,1227,0,105368214,41680896,784662528,23527424
26811480,10382663,770941273,629979755,317203419,18988,0,105394458,41418752,1166409728,0
46431243,8623533,427884943,835899954,570942500,13844,0,105308730,41418752,548470784,1245184
45901319,8543319,431583473,836010247,568256085,26910,0,105348858,41484288,544669696,196608
46968386,8718393,427316791,835181339,571599518,16574,0,105385794,41615360,562233344,0
42277236,7898816,387929702,763308466,521402460,17081,0,105384675,41287680,499712000,1507328
46313944,8636476,427291694,834647779,569816684,16787,0,105404604,41222144,545980416,2162688
46063219,8585552,424249002,835529285,570345652,18494,0,105323757,41484288,542310400,262144
45945431,8495949,434275886,836115450,569763688,27851,0,105404148,41484288,548339712,2031616
46210120,8646258,425008121,836467339,572529020,16223,0,105500625,41615360,552140800,2097152
46938889,8614213,429091259,836606976,571697032,16606,0,105319206,41484288,548143104,327680
46283839,8615216,425531799,836675524,572379167,15922,0,105450408,41746432,549126144,0
46419998,8593999,431813089,836224909,569331539,32469,0,105311730,41746432,549453824,2359296
46380682,8590297,427948477,836275345,571398256,11174,0,105424653,41680896,551223296,917504
46662650,8683156,426204304,836594726,571508642,19724,0,105350040,41680896,549912576,589824
46598365,8510669,427359867,836226709,572520994,14024,0,105478191,41746432,548667392,1114112
45463208,8576403,429935408,836373785,569758992,32035,0,105432531,41680896,545128448,1769472
47578752,8427446,426622859,828969172,563356257,16796,0,105331314,41680896,554434560,1441792
41576823,7623141,379032097,774921424,539567478,19825,0,105466656,5898240,478216192,0
19571063,3662371,200762383,773366980,640861968,14226,0,105498300,4587520,239140864,131072
25740288,4622586,227282529,819294642,668228885,26,0,105308961,7274496,315686912,4980736
27581783,5074837,259279712,640692009,481714335,17981,0,105526521,8912896,317849600,1638400
37198796,6680875,357437665,809215793,583857294,10486,0,105355995,6815744,445448192,1638400
34878623,6714206,336128442,815577928,602540926,10367,0,105520350,6356992,434634752,3080192
26451851,5207017,256715300,771976161,615451735,13109,1,105531300,6356992,313851904,0
27246006,5132057,246314375,827463260,673006489,22,0,105515505,9437184,323289088,5111808
