l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
38701596,19176055,1451468379,840086592,251212571,306,0,972532320,38731776,13015187456,30081024
37354619,19724548,1009722637,838020046,426667795,942,0,104613064,36372480,2005991424,0
42002007,19793097,1724150485,838027930,212307831,421,0,105445296,38010880,1118044160,0
33419961,16661840,1574610594,838688092,251831884,698,0,105775784,35979264,774438912,15597568
29099621,17427504,1462523100,838922205,274151301,8555,0,105138775,37093376,1023934464,4194304
33642660,17923896,1231188736,838052526,357745292,7178,0,105574081,39452672,1525612544,11141120
31001869,20271899,1227241837,836620709,370974197,270,0,104961479,39583744,1888419840,0
6908277,5140549,510150475,214850169,41597073,71,0,4719556794,19595264,329252864,0
43180966,18548536,1500059236,1035710215,404066504,321,0,105399558,36962304,1953366016,14942208
38524527,18892577,1004786739,1036787533,596506008,4626,0,105404655,33816576,2100035584,0
43230840,21317944,1673898079,1036753111,376531231,556,0,105451437,32112640,1322516480,0
34000290,17739708,1531990988,1006291963,391879364,407,0,105394797,32440320,1045626880,0
26460448,16427330,1190481647,880814572,394222528,14511,0,105406038,31653888,1060503552,16777216
33801307,18642326,1220941086,998043723,526423761,10195,0,105594571,36700160,1514602496,21626880
32721362,20327157,1325342910,1009372843,523349731,227,0,105448174,33554432,2018902016,0
39058139,19346212,1715213168,1037545225,349401349,337,0,105582905,35389440,1831272448,12124160
38776878,18301451,949539250,1040142295,609161552,895,0,105528032,33292288,2210332672,26935296
45984273,22195303,1823700222,1037406268,346251588,584,0,105463890,31064064,1396441088,0
32424116,19344674,1368638451,1036485532,436813340,722,0,105431772,31260672,1230176256,0
34765838,19395283,1417859691,1036456559,503897894,12335,0,105301920,30670848,1244463104,3538944
36366324,19561685,1246794804,1037549427,507384299,13269,0,105630495,37748736,1589968896,26476544
32155108,20010176,1016651734,1038379462,621871996,685,0,105414657,34996224,2067070976,0
36364195,20405636,1873451368,1036942672,373472346,354,0,105609443,34930688,1823997952,14942208
45234772,17079557,964271687,889609124,462350103,5472,0,105484755,34275328,2168848384,1507328
36174867,20767888,1675288376,797784330,188887160,207,0,105452204,33226752,1299513344,0
29000931,17746328,1157123941,792131568,269269282,451,0,105476546,31522816,1118371840,0
27275426,16682946,1385335793,798574862,284967041,3784,0,105680210,31391744,1223491584,0
29436384,17503049,1252656110,762895326,278034780,13192,0,105692529,30146560,968228864,2883584
29224496,17026633,906479553,809795630,444225132,2648,2,105453319,35061760,1728839680,34603008
30790076,18627828,1340930886,913354162,404113279,293,0,105399524,35192832,1770717184,0
40005631,18176776,1483645336,1037170759,430439301,237,0,105162676,34471936,1937113088,12124160
41750323,18720331,1000205059,1037219021,622986147,1179,0,105628692,35717120,2162884608,0
43717132,23215865,2067904281,1036406518,344029055,728,0,105138912,30867456,1381564416,0
33968596,18527212,1597847106,1000586742,370125040,301,0,105878000,32899072,1059520512,0
25224982,16983373,1113253286,773845514,302997396,9359,0,105378148,31457280,1077018624,11796480
31561746,18242609,1235689462,798344251,306491323,12801,0,105558288,37289984,1377632256,1310720
31330945,21193610,809905006,797585363,415665207,799,0,105393268,34996224,2097741824,0
26555247,19654350,1835080268,797479219,165602288,425,0,105351368,34996224,1490681856,16252928
44539049,18655861,948353963,795856697,382418234,506,0,105277310,34406400,2202271744,0
32269676,20498591,1391089643,768988410,269843021,1316,0,105713702,34078720,1492844544,0
32826355,18579115,1377791048,758560132,248385945,629,0,105184864,32374784,1213464576,0
28945159,16152642,1329570462,757222013,234593927,358,0,106190604,31064064,994770944,6356992
26570874,18192859,1136788444,757157350,293810672,14462,3,105620896,33357824,1158283264,4653056
30456267,18427960,1037630303,757998379,309280065,13179,0,105024028,36044800,1424228352,16056320
28667825,20413345,1024660735,778831292,413846244,702,0,105357052,33357824,2001993728,0
31001095,19558486,1786520178,799236403,148446280,310,0,105967180,36831232,1525874688,7995392
43632160,17476982,902175494,798001483,400574502,362,3,105652945,32702464,2125725696,0
33266796,20547240,1432845937,793070514,271405546,1027,0,104675559,32636928,1498218496,0
32794444,18421505,1532683537,798094189,268796813,879,1,105530404,30605312,1204617216,2883584
29318307,17053293,1303216698,847682671,306884891,299,3,105614936,35651584,1100546048,16908288
34522956,18767093,1353705104,1024953160,465265063,10495,1,105457408,32899072,1102249984,0
35796691,19831579,1071040322,1037201479,612447642,3822,0,105574396,36962304,2036006912,24182784
32943522,20320599,1628222093,1037762371,372500177,317,0,105495379,33751040,1764491264,0
41903516,17157027,1144187064,1038217812,529330985,469,0,105590277,35061760,2056650752,10551296
41569884,20902600,1341214680,1014307330,558952290,777,0,105581452,34078720,1967980544,0
32571167,19357440,1646309880,806935214,229562811,595,0,105554595,31391744,1194000384,0
30247089,16787722,1425811652,798071837,243143535,340,0,105353857,30932992,957612032,2097152
28646013,17804444,1201334463,798254899,320718942,11556,0,105513618,31784960,1168965632,0
30936755,18167635,1151917614,797789960,315067032,13612,0,105557018,39845888,1301348352,20840448
30496378,20463313,866345783,798268940,456948667,636,0,105511879,32833536,2110521344,0
24548973,19278497,1839329840,774274419,126474992,226,0,105413037,28508160,1376124928,7274496
31981629,14803801,721098549,565453231,230726716,771,0,105583321,33751040,1602551808,0
35366464,19779258,1105634462,743191170,332748298,852,0,105376803,34013184,1916403712,0
35068408,19212818,1589227755,757742180,177707195,428,0,105433645,35520512,1163460608,22675456
27946083,17360614,1258940363,757256062,259443930,666,0,105550225,33030144,1028980736,0
26170910,17241540,1218433203,772173242,280243138,6469,0,105332714,33882112,1177157632,0
29510322,17482886,1288383446,796785512,285617600,13471,0,105484189,32768000,1038417920,17694720
33105500,20472229,726954950,796525338,481288210,1011,0,105640284,37421056,2284650496,5242880
25768679,19366316,1754934848,798489779,168214308,359,0,105470296,32505856,1382285312,0
41867160,18020008,1205438902,797884469,322136856,664,0,105537428,34930688,1995112448,13565952
34910400,20374706,1122670975,796912957,348820516,1074,0,105522087,32309248,1883766784,0
35832363,19265593,1508146714,769795147,221051480,634,0,105517556,32440320,1205534720,131072
28906607,16408411,1347672294,759000213,228758757,368,0,105559748,33947648,951844864,2686976
26642718,17475169,1148021905,757860172,280850668,9190,0,105442553,30605312,1146290176,1507328
29346490,17205402,1220663168,758701430,274729884,15356,0,105481707,35782656,1132658688,15728640
31786382,20589021,721759532,756185055,443761729,876,1,105534828,32964608,2211446784,0
24411635,19158565,1792377023,746170917,115153758,162,0,105355462,31916032,1323433984,0
39589181,17986270,975358662,721336137,283756558,510,0,105728310,34996224,1983578112,17367040
33342747,19884983,1123698097,718277286,318101778,995,0,105437732,32505856,1790902272,0
31878857,19172053,1574626369,718236395,161991922,428,0,105548712,37158912,1186529280,5111808
26655660,15791810,1245066330,718001660,227850197,610,0,105450663,32309248,942080000,0
25838416,16334919,1203736515,718746904,257340866,7532,0,105440358,28049408,1158021120,720896
25759726,14909377,1080951499,679555137,242421568,4677,0,105603832,32571392,940113920,1572864
26658145,17996005,735217837,650303279,323188738,2035,0,105545535,35586048,1746206720,17956864
26341971,19303436,1290687264,741837708,271355557,251,0,105467420,33947648,1620901888,0
32489069,18535230,1417738094,757471383,212220860,323,0,105437007,33423360,1708130304,13172736
38821757,18914146,951285476,758134314,381624268,814,0,105645213,33030144,2127888384,4390912
35383104,19543391,1620574093,746872914,194745185,544,0,105552132,33423360,1209860096,0
25652395,17121585,1269482766,720873978,221855095,708,0,105465864,32309248,1107165184,0
25757240,16294127,1267905497,718739072,230262374,1690,0,105544362,31784960,1169686528,5898240
26842153,16493680,1185272521,717637803,246805442,17071,0,105456045,31326208,956825600,0
31025549,18624011,1000691848,718433720,320369266,8378,0,105595131,34799616,1692139520,26607616
27066916,19455553,1098680851,716112757,290830302,670,0,105648644,30408704,1769996288,0
28588840,18188091,1552400610,688898048,122121923,271,0,105431224,35061760,1418854400,11862016
40510120,18422542,888241205,677605380,300203726,647,0,105472530,31391744,2085617664,65536
30019263,19755414,1317715670,676927515,207787570,795,0,105421026,33161216,1410072576,0
27773178,17470910,1341427360,678378574,178991528,724,0,105581395,31064064,1180368896,0
26550760,15263408,1244692914,678095358,191988447,419,0,105453104,32047104,921960448,4128768
25353431,16511074,1166297520,693008931,230089828,3867,0,105470454,31653888,1095696384,0
28509144,16872160,1181566972,718069037,257734634,8652,0,105498765,36503552,1162149888,16908288
31015041,20454432,735772998,717297003,391151444,893,0,105471141,32571392,2151874560,0
23628575,18589416,1733143374,718492129,105029213,242,0,105496308,32833536,1292173312,2752512
40644469,18047260,974076813,717693088,280788039,475,0,105547731,35586048,2010054656,12451840
32433334,19964629,1110679291,714567245,307550628,885,0,105540661,31850496,1776680960,0
31962816,18554244,1526186422,686461476,153675223,297,0,105508259,35913728,1175519232,13565952
25616562,15648573,1221148414,678458032,200567790,497,0,105565384,30867456,908001280,0
24549575,15913206,1160069804,678347764,222734550,5435,0,105468533,28442624,1152122880,0
26447452,16026873,1154399210,677878784,224965369,15979,0,105558199,31588352,935854080,2359296
24689287,15650696,709155183,546501061,248569892,4875,0,105346244,39845888,1491140608,19464192
24610237,18756952,1024621382,640220550,229120859,171,0,105461799,34144256,1632829440,0
25778415,18324085,1549321507,718075461,143127606,241,0,105551397,34078720,1447821312,8060928
43003290,18497658,900706101,717901669,330290891,679,0,105502581,27787264,2114584576,0
31824561,19805295,1396704150,709495033,227794512,766,0,105470859,33882112,1448017920,0
29850539,17955997,1323039360,717098499,210109661,556,0,105505716,29163520,1185546240,0
27818274,16298637,1339284049,737745728,222949356,215,0,105409122,32047104,944898048,0
