l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
102659,37940,231326629,97382927,3287709,0,0,919933224,16973824,99287040,0
103089,38990,232026479,97564428,3296712,0,0,105021340,18612224,10158080,65536
117349,43400,231914895,97575082,3301454,0,0,104868836,20971520,11337728,458752
133750,53759,231164033,97628217,3451921,0,0,105330210,22675456,11730944,786432
97693,34643,231850537,97500779,3427475,0,0,105202837,22478848,13238272,0
91891,33859,169850010,71869456,2522625,0,0,4770842354,393216,21823488,0
131540,53430,275281261,119228171,8108888,0,0,104951286,8519680,8716288,0
134165,52715,285356901,121269010,5246989,0,0,105118143,13107200,10616832,0
130240,52411,292526473,125255398,5597622,0,0,105049836,10420224,13303808,196608
138271,59559,282505211,121045172,5728478,0,0,105204162,12058624,12386304,0
172760,76440,296090993,126592522,5918252,0,0,105214014,17825792,12910592,393216
129837,49947,277747001,118093066,5154097,0,0,105093498,14221312,17760256,0
97492,41947,218227873,92746752,3880396,0,0,105094835,11862016,10944512,0
99682,40496,218268254,92961637,3950959,0,0,105136361,14024704,9895936,0
142157,55261,218797276,92948025,3889987,0,0,105157735,16777216,10289152,393216
185080,42305,221686743,93395954,3980839,0,0,105130183,23199744,17039360,0
105309,32731,222512714,93462944,3024102,0,0,105051270,23199744,13631488,131072
109305,41462,211206049,89052730,3252761,0,0,105207550,17301504,17301504,262144
97488,40979,209085185,88468337,3369762,0,0,105153094,16711680,10354688,0
98236,38354,209769070,88355929,3163915,0,0,105132812,16973824,10354688,196608
100029,39322,208713555,88536082,3721583,0,0,105054308,13434880,13893632,0
99676,38433,209275832,88343246,3351620,0,0,105092760,17104896,9961472,131072
123400,65731,206535783,88280390,3713705,0,0,105034713,13697024,9240576,0
107414,42377,209030245,88356850,3280746,0,0,105148543,14417920,12189696,0
125091,50142,209499830,88455731,3098348,0,0,105088754,17367040,8716288,65536
109093,37906,210140208,88298958,3099996,0,0,105102585,19529728,7733248,65536
112312,36802,196339196,84022438,3033240,0,0,105127800,23330816,11141120,0
127489,44422,210055425,88759044,3470679,0,0,105197233,18874368,10158080,0
99472,39403,209687209,88633808,3413783,0,0,105038855,17104896,9043968,0
99958,39158,208591923,88417155,3609218,0,0,105114846,12189696,14090240,0
98429,41548,208028093,88514391,3650713,0,0,105117438,14548992,8454144,0
106537,42173,207494593,88400681,3738900,0,0,105133854,14286848,9830400,327680
114048,43468,208234698,88467320,3692989,1144,0,105165873,9633792,10682368,0
129896,53829,206947297,88529127,4088660,0,0,105097077,10289152,9895936,131072
120746,44065,208069129,88564703,4164761,0,0,105104127,13959168,8585216,0
100696,40701,208059282,88236768,3703022,0,0,105236704,16777216,8650752,262144
105854,39247,207142486,88446630,3666133,0,0,105167296,19333120,7733248,0
119266,49123,207671711,88364065,3507183,0,0,105052474,22347776,7667712,0
121117,44219,206253636,88525871,4086371,0,0,105104898,18546688,10485760,0
104266,39098,208580723,88410309,3610585,0,0,105123526,17956864,7733248,458752
893263,304454,203517551,86729913,20006271,0,0,105237508,20709376,17629184,0
1398966,413208,269364925,232726632,90071710,4467,0,105123888,32112640,39059456,1114112
2649025,1214968,464650364,459625735,160768448,2151,0,105193812,30932992,106364928,131072
2175961,1051121,419424717,407986255,142457801,1699,0,105309296,24182784,81395712,0
1974628,967999,380747903,364243507,125277671,1487,0,105124367,30146560,77135872,0
2383098,1177645,172309941,238913640,114721535,2607,0,105202185,38600704,264568832,7340032
2575357,3457608,158080416,208022156,87760293,3987,0,105237378,38010880,612433920,983040
1881015,1861448,164964867,264872210,161988557,9776,0,105271344,38207488,357236736,0
3342555,3234886,189519966,310213474,232461937,1007,0,105154674,29949952,277151744,0
2462835,2508340,153094777,257915275,191455804,292,6,105190652,31522816,205783040,0
1834661,1697167,115755346,184982589,133353516,108,3,105164704,36634624,125698048,0
911008,829271,54151195,83338259,60496068,0,0,105181311,35586048,71696384,0
534558,590224,69562446,123425625,83652497,124,0,105154901,31064064,51904512,0
3435058,616786,449636980,283440387,113239876,54455,0,105140348,32178176,67960832,327680
2722493,366077,381450182,189459569,61117698,1194,0,105186796,23330816,31719424,655360
2532255,388431,367877023,189415323,63981364,2873,0,105238508,31522816,32899072,0
2770135,168034,417202665,189515314,47206701,169,0,105240076,32899072,18677760,262144
2806756,191224,422687517,189482969,48600978,28,0,105093184,34013184,19005440,0
2850082,166053,416191956,189445627,46193986,1444,0,105160228,34668544,14024704,131072
1843176,200925,265761627,126807613,35219681,0,0,105149868,26673152,16056320,0
1194997,264724,161551683,92758350,35760547,0,0,105116135,27721728,17825792,262144
1288730,169411,190072445,94702743,31560316,0,0,105235990,30605312,15204352,0
1448862,117081,196593142,94622991,27125753,0,0,105091556,31326208,10420224,0
1406848,106620,200568316,94692113,25927274,0,0,105244188,32374784,10944512,65536
1340410,111060,203949767,94691494,26712087,0,0,105046850,28049408,12386304,0
1212581,284807,176687048,94604216,31989991,0,0,105087017,21823488,21299200,131072
1211937,271031,172429515,94627939,33585954,0,0,105265392,26673152,23658496,0
1246379,174180,193844490,94692790,28024210,0,0,105149228,29622272,13238272,196608
1315008,131865,200618147,94658357,26757710,0,0,105137461,30867456,11206656,0
1342255,173003,181427957,94626994,29224185,0,0,105091679,30081024,11665408,131072
1174204,190388,180901424,91377916,30091526,0,0,105536231,26411008,18284544,262144
1161722,233257,171497172,89656029,31092104,0,0,105485829,28246016,19464192,0
1188057,169227,178669239,89678764,26950738,0,0,106521744,29949952,16121856,65536
1268815,176092,174932857,89662699,26367863,0,0,103667136,30801920,12713984,0
1286288,119695,186117411,89708084,24035421,0,0,104876800,28704768,12255232,196608
1217388,174271,188400586,88993399,28384939,0,0,105127058,26542080,16515072,0
1118207,228405,161501040,84611963,30090013,0,0,104859462,23920640,17235968,0
1015136,284616,146448318,82509551,28278763,0,0,105206626,25427968,23265280,393216
1152961,184644,171232720,84673341,25621959,0,0,105302976,29360128,12976128,0
1132388,138950,174568401,84576016,26171080,0,0,105128088,29818880,10551296,0
1194332,179954,164191916,84656851,25073894,0,0,105107405,31916032,10158080,0
1060196,210971,153537679,81712222,29427555,0,0,105162343,26279936,19529728,655360
1026451,232260,149270664,79627134,27447564,0,0,104933358,27131904,18939904,0
1168955,173538,151700772,79629341,24327146,0,0,105186956,30605312,14745600,0
1157617,98024,177665155,79664268,21137501,0,0,104948686,31981568,9437184,0
1228733,122932,158308967,79594215,22172385,0,0,105555378,32571392,9437184,327680
1127350,142694,171314332,78674444,19189179,0,0,104759202,25624576,10616832,0
1064942,204902,145906111,74577995,22454227,0,0,105197370,25559040,19005440,0
