l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2269891,2434768,1882968403,839969937,287109033,5984,0,1228869399,3670016,1946943488,5308416
2309564,2636101,1983763924,825518202,256393847,8061,2,105569439,4718592,211812352,0
2206970,2690844,2040749381,827653499,239484864,7724,0,105303630,4915200,224657408,2293760
2323768,2651058,2021263409,822827220,232680152,7757,0,105632384,3473408,227213312,0
1733214,1911784,1478657279,822312472,389632848,4900,0,104826008,4980736,164364288,3407872
2198028,2606723,1901744028,828833083,272132482,4487,0,105571904,3276800,213450752,0
1741873,1938328,1497531695,800522162,365097188,396,0,105889100,3014656,166920192,0
2140250,2409399,1808681811,824588155,299082225,1602,0,104889363,4653056,205979648,3145728
2414954,2870808,2062563722,826958399,230578431,6329,0,105175380,5898240,231735296,262144
2580645,2923913,2132708492,829709926,198439194,95,0,105627961,40828928,210173952,0
2630869,2896151,2128215367,833948916,189358303,2203,0,104819590,40566784,239075328,1114112
2647219,2950863,2156157086,834515277,185359560,7844,0,105563535,40697856,243859456,1179648
2675347,2995500,2166160360,835756109,183173261,3627,0,105404544,40697856,241303552,0
2680427,3016546,2170823375,835204063,183434212,6968,0,105414318,40632320,239271936,524288
2684305,2995579,2145539588,835128079,186503818,10925,0,105420873,40566784,236912640,2752512
2684262,3012534,2149204558,833916234,184447085,8188,0,105270843,40566784,254345216,65536
2681817,3023708,2145364623,833274175,184533462,3656,0,105179550,40697856,245104640,0
2686709,3045542,2147956666,834852761,184393832,52,0,105217728,40697856,243662848,0
2699281,3065201,2157244411,835360668,182570520,274,0,105414615,40697856,248315904,0
2740058,3098573,2180333466,835263459,177975277,27,0,105616458,40632320,256704512,2621440
2724882,3107625,2177535884,833677873,177966621,116,0,105129891,40501248,257359872,0
2707367,3065203,2125822597,834275006,183359735,440,0,105315780,40435712,246218752,1572864
2709647,3065973,2136422969,834756823,182438432,541,0,105345360,40697856,250281984,720896
2715539,3103094,2155796418,834620825,180579096,362,0,105570474,40697856,257818624,1441792
2715192,3100076,2143560237,833396264,180348416,404,0,105240195,40501248,246546432,0
2752244,3153571,2174291972,833662670,176925801,45,0,105120030,40763392,261357568,0
2726574,3105870,2140455056,831969003,179269507,172,0,105435966,40239104,263782400,262144
2720674,3126111,2151165965,834089026,178719751,25,0,105183459,40697856,259653632,0
1033338,1165366,811512062,327401573,78793993,142,0,105507393,39518208,83492864,0
5886827,5228706,510788001,255726129,76895791,1339,0,105184878,40501248,916520960,43450368
28753514,10849275,784228428,672985749,350186514,20114,0,105410568,40697856,1064894464,0
46019147,8782682,431639310,835719211,568409734,13987,0,105206940,40632320,556531712,0
46364114,8589454,434944540,835210763,565321663,30769,0,105560193,40763392,558891008,393216
45965319,8571218,432346862,834025355,566820239,11157,0,105563436,40435712,551550976,0
43942120,8097689,401253620,779963970,529338318,17487,0,105250272,40501248,516751360,131072
46213913,8643150,431115303,834195555,569019367,16814,0,105170502,40632320,552599552,0
45998602,8699653,433108342,834523534,565704621,38501,0,105493593,40566784,552009728,0
46579489,8609778,430186178,834916759,566478619,16893,0,105100665,40304640,553189376,0
46002692,8744924,430843483,834784355,567692623,11058,0,105702363,40894464,553123840,0
46448016,8687950,433630877,835384710,568177573,11672,0,105148056,40566784,553713664,0
46314860,8723476,435618337,834811772,566296648,33792,0,105580254,40697856,556597248,655360
46725399,8671520,430062076,834132681,566292451,22079,0,105206067,40435712,549519360,0
45797444,8738417,430420551,835547792,568606228,13879,0,105332658,40632320,551616512,327680
46645800,8672631,431659124,835091643,566949238,17052,0,105321624,40501248,553189376,0
45821689,8650479,435031529,833889108,565001689,26526,0,105653637,40697856,556204032,4194304
46832675,8775049,429453434,835170618,567707710,19592,0,105418236,40042496,549847040,262144
45974242,8745793,432833949,834533014,569248774,10608,0,105043572,40566784,552402944,0
46500890,8628388,432150773,834307597,566224220,22793,0,105522801,40501248,554500096,1703936
45821782,8648395,434426757,835182135,566356882,22902,0,105517107,39321600,556924928,0
46702998,8800213,428557062,835401040,569432396,20627,0,105071586,40566784,546177024,196608
46219579,8631343,431932088,833680614,569106033,10367,0,106902816,38797312,554303488,0
45189687,8530123,425891908,831358693,563792741,19706,4,104253846,38928384,532938752,196608
46141702,8596732,435117140,833130887,565361781,34055,0,105535368,39124992,561053696,1900544
39505920,7432885,367278203,819877871,591215176,11502,0,104795554,8519680,458752000,0
30189431,5633757,274088752,728559249,554838482,15949,0,105419604,10289152,362020864,1114112
28096030,5201766,248643414,781714346,622731702,87,0,105379809,6946816,325779456,0
23365688,4194507,222910873,661209823,516608056,23236,0,105350247,9633792,282066944,3670016
27321777,5248577,264426702,813519048,649327086,16519,0,105542241,5636096,321257472,0
21310854,4070860,195512188,820997743,697915076,44,0,105456326,8060928,257884160,3276800
34610862,6398340,323265985,794309215,590684828,14303,0,105388168,10223616,406388736,458752
32156483,5930023,309586318,748958069,553744698,17723,0,105404439,9371648,381157376,0
34196118,6309156,321583540,818491481,614031134,16750,0,105357257,10354688,408485888,0
38216256,7141490,359600888,820742301,596367760,19130,0,105433146,11141120,458555392,1966080
21908538,4158020,217025461,654737824,518041246,16324,0,105469270,5636096,258342912,0
29478402,5389351,273304272,778994831,600604614,56,0,105209256,2293760,338755584,3080192
28714706,5374818,262388461,808938161,645007901,17642,0,105380520,6029312,348717056,0
21171511,4051281,216626622,770477741,636323455,12035,0,105501399,6815744,262209536,524288
34360145,6418496,326928480,790084850,583526093,19243,0,105374430,8847360,410583040,1638400
36206750,6427479,330215491,821195069,612884766,17171,0,105383433,11534336,421789696,917504
32314326,6046962,315086244,752615803,557686489,14353,1,105375231,16646144,395968512,0
34485884,6562499,327187697,812403560,604401594,16303,0,105419919,12648448,415563776,0
30290836,5636312,270286232,828405568,658231322,47,0,105457935,6750208,351600640,0
25771121,4757391,251313476,762673140,606650681,11269,0,105395760,11665408,310837248,1900544
29594662,5335531,287803161,811079933,623867786,16856,0,105507090,6815744,353566720,0
25887924,4835663,240767571,815592853,666253426,16962,0,105486732,8454144,306053120,524288
31630495,6231890,320199169,737241515,543124927,17187,0,105340731,9699328,392364032,2228224
38630910,7280905,362286248,784181236,551440274,17132,0,105375852,28377088,466878464,1638400
41189754,7563377,384664295,820376707,580968142,12034,0,105469257,13893632,492568576,0
37935423,7545300,368510582,793257140,559572751,22741,0,105461241,9502720,462946304,0
39094936,6736204,353787738,815667582,590274274,17027,0,105439371,9830400,456982528,1114112
35787294,6472938,339871780,821347146,607054666,19802,20,105417855,10682368,424935424,0
25538297,4560609,214765100,825397077,693339330,46,0,105541116,6946816,282656768,0
30430518,6044168,297360665,782879390,604650855,20411,0,105439854,13565952,369885184,4194304
34225692,6881313,328908994,814742273,610770682,21887,0,105491400,6225920,403374080,0
30283173,5558847,281184887,815106743,635167829,19838,0,105524829,6750208,369295360,1900544
35956787,7040003,352523135,822416947,598130268,20464,0,105445215,11862016,443940864,0
40393243,7588572,375937977,820415180,584465383,16960,0,105427911,17039360,473235456,458752
38664634,7155180,372956428,821982783,594492751,9374,0,105481614,10878976,459866112,0
35859036,6943101,344522174,820002472,604279186,19499,0,105435852,10747904,436731904,0
33189734,6430493,311980581,811782221,609831226,22698,0,105485667,11403264,399245312,196608
32976201,6027502,314739521,814704217,613764095,16700,0,105497004,6881280,385155072,0
21705851,3894105,211565349,804595846,673845838,7830,0,105433302,15925248,264699904,4063232
36332397,6886121,346683716,783523678,568256778,19895,0,105326988,16646144,436666368,1769472
35853125,6755891,332418598,824674467,611872359,54,0,105372555,2097152,414253056,0
31073885,5945098,299348612,802966900,608157807,17795,0,105488388,9699328,393084928,3342336
36498501,6852298,347500306,819333997,603882585,20561,0,105353685,11468800,441712640,2293760
41593114,7772816,389866566,819875822,574126159,14194,0,105378909,25952256,480772096,0
36251859,7134849,359832567,823426477,597119527,11031,0,105357084,5308416,439091200,2949120
35742921,6771904,340185134,720045898,518328561,6140,0,105286398,7864320,432406528,0
34756894,6498556,327960096,793727887,589621795,8106,0,105368190,11010048,419692544,3276800
27038656,5432399,281956498,818130856,646660655,8951,0,105424929,31064064,343605248,2359296
31489961,5687361,304693751,790860718,593951730,20279,0,105382410,16515072,379125760,0
38217654,7223132,369755570,818818095,590212566,7762,0,105433053,19005440,462684160,1114112
38751884,7548069,361367065,819331726,598736266,19297,0,105415458,7929856,441712640,0
28227674,5358791,267146092,786646177,593808337,17638,0,105357687,23330816,357826560,3538944
26523412,4642225,244644806,695383082,527609451,13950,0,105419286,9371648,315555840,524288
34440014,6592711,329848616,818309614,612167712,12631,0,105422121,12320768,413270016,0
35369948,6610005,343008678,695109021,486974773,8053,0,105463425,15007744,425787392,0
33691611,6634278,323339165,826365408,626695165,159,0,105430092,8912896,406192128,0
35528226,6904064,367660525,817323395,583128349,8653,37,105401790,27000832,461701120,6291456
39536428,7855098,354633143,828400516,626459895,16476,0,105271554,7536640,421986304,0
34795363,6280614,296029533,819078157,642178589,20701,0,105473310,15925248,398131200,4456448
37194032,7359325,357070355,775024119,549584773,22145,0,105424059,24903680,448528384,655360
30623992,5850658,296168854,791797567,607421035,16503,0,105526722,7798784,361627648,0
21304446,4032433,205704503,781148520,644873533,21019,0,105494697,7733248,261095424,524288
34769694,6597917,326691313,816707538,611572376,19789,0,105452262,10551296,415367168,1835008
34297728,6615587,328481550,823824530,613667946,22907,0,105421395,12058624,413204480,262144
39569757,7280065,370400720,819430036,583394780,13791,0,105380172,35848192,471072768,2883584
38134121,7047724,365835043,792311464,564058118,17723,0,105446940,14352384,457244672,0
41680816,8129059,401499918,826607109,582066642,13681,0,105403416,31653888,498204672,1769472
40191882,7431975,378530027,767879871,538110716,16555,0,105445653,30015488,479920128,655360
27126264,5327451,267104487,699742394,537001081,16981,0,105376911,25034752,327221248,0
35478071,6798522,340240307,811086771,594212735,16838,0,105353199,13107200,422903808,65536
26358352,5100956,247065330,827587630,671224359,64,0,105544455,3145728,305201152,0
25494959,4824080,240678606,777228474,628267632,17173,0,105440088,10813440,312410112,5636096
33373943,6266388,318163782,747931888,547226441,17184,0,105448872,12910592,399114240,655360
39172165,7326724,376877611,822916805,585572700,14074,0,105407415,13500416,472580096,262144
40445113,7655169,375306195,820592720,580292619,21120,0,105485943,30605312,483459072,917504
43146756,7728856,399006430,811426291,560151705,15071,0,105404253,12582912,508231680,0
38844732,7505087,366158145,810888955,577378214,14740,0,105512340,8257536,457310208,0
42347052,8068400,420592115,824561239,564666268,29969,0,105220779,31260672,521338880,983040
32826428,5743694,281007986,806564993,628810840,52,0,105343977,1703936,359530496,0
30936267,5587321,274995713,816626178,637565756,14138,0,105466101,7405568,380239872,2949120
22126146,4372711,231391784,722440510,581919283,8796,0,105557685,5177344,268566528,0
31637235,5839983,283088534,809458704,629273587,21783,0,105383718,21430272,362414080,1638400
34366368,5657986,287415653,679145945,483696887,17909,0,105383040,11010048,396689408,786432
38459727,7160778,371538666,773135208,540293250,9274,0,105465132,35913728,476708864,3211264
38826155,7712614,378276730,819688073,584884450,19769,0,105401574,12386304,468320256,0
41966500,7496095,380763993,821842089,580152061,21730,0,105441297,30212096,482672640,0
35302420,7086332,368086732,822599768,605417232,5886,0,105427692,10878976,438829056,0
34025509,6664587,325890040,803071073,593544496,20473,0,105429720,10878976,418054144,0
21616403,4113747,197475807,826048259,702891710,31,0,105521430,5767168,250347520,393216
37148988,6675471,350797048,744726996,525476057,19040,0,105292740,8388608,437846016,0
30068579,5614712,280020519,749061154,574364547,20162,0,105548628,7274496,357302272,655360
33346689,6228917,314358280,824348315,624995691,11469,0,105473085,8060928,400621568,1507328
34999454,6471630,339533732,774694283,558939468,17079,0,105348606,12976128,432930816,1048576
40793082,7841150,383095028,821300027,579633834,14070,0,105409602,29491200,484835328,1048576
36976859,6968058,355262555,826699301,607996112,13930,0,105448788,9699328,439943168,0
34973261,6484112,330437263,811017709,604817218,16922,0,105423360,6684672,410910720,0
30870691,5711266,297547017,723018599,536429411,17194,0,105463830,11337728,374276096,65536
28949200,5412219,274504011,819875484,648222189,8323,0,105510414,7143424,342228992,0
32674585,5868475,299605577,814537411,627414420,11539,0,105467697,14090240,382074880,2097152
36390578,7026077,360713449,774812729,554480507,10203,0,105466071,31391744,451870720,3342336
35082006,6056132,312404215,665201124,468220756,19261,0,105514365,7929856,397017088,0
32575234,6221574,299374110,791319868,608072514,577,0,105415482,7995392,379322368,0
36117594,6552894,325830194,784054695,565385431,19459,0,105462021,11272192,425721856,1900544
39915348,7591365,389670772,786546763,541590062,30208,0,105406749,25427968,482476032,3735552
41812054,7955912,400241901,825998535,574306425,16832,0,105299889,17563648,505217024,0
41636707,7866980,396112569,821172302,573921337,11786,0,105525114,16515072,500957184,1441792
42007447,7950132,397813341,821208694,569421447,20093,0,105360744,30277632,496500736,0
44032299,8380290,423745914,821225382,563087774,10683,0,105527197,12976128,540934144,3342336
38313246,7138199,360387224,704402987,480746154,16657,0,105278867,35520512,449708032,0
38855891,7097910,357269500,795155052,572497997,16030,0,105417348,24707072,454492160,0
28427418,5447104,274869794,702934427,528336515,19826,4,105474468,14548992,344915968,2228224
38063117,7120583,358122365,815955598,588812355,11270,0,105337008,29818880,455278592,0
34396425,6534734,330298823,820814044,611309271,13847,0,105474429,13303808,411435008,1179648
34351330,6461914,326945756,811306678,606639802,19782,0,105346494,18219008,413073408,196608
40378839,7506688,383497887,824681533,583241281,16339,0,105473988,15269888,483262464,458752
46013004,8633993,431926526,794928441,530357753,13742,0,105284250,24576000,539557888,0
35235502,6561721,325184184,674899797,474951034,21869,0,105406656,13434880,429064192,589824
36440235,6778797,348188964,719705391,502223453,11688,0,105401505,29032448,442957824,2359296
41498890,8007280,392901532,829651518,580304211,19437,0,105376446,10616832,503382016,0
39838908,7590349,383765407,818833935,578123969,8753,0,105487857,8126464,472186880,0
38157491,7039261,374203675,792033763,550748558,37011,0,105536697,6356992,468254720,2883584
26785855,4958853,241909568,818232355,665938131,20,0,105388812,7864320,317063168,655360
33070289,6252395,313379639,777489387,578464187,13935,0,105405570,10027008,397148160,2686976
20707370,3821230,205632544,782263675,653941255,20554,0,105543777,4653056,251461632,0
28706324,5527365,279243769,820839158,641421171,19581,0,105360018,9306112,346161152,3407872
39651930,7391902,378119885,822675057,585947268,14460,0,105459024,10420224,474087424,0
39577856,7442892,376387838,829581767,597943979,14057,0,105488922,13107200,479264768,2031616
42084847,7836430,387342534,822477038,577169123,23405,0,105297489,31326208,494927872,720896
39772152,7702096,388694549,824183924,582353558,18678,0,105479877,12976128,475594752,0
39874045,7664686,372603707,819819845,586701534,11553,0,105434616,8454144,472907776,327680
33369904,6253586,313446385,824777884,626458017,17590,0,105540156,3801088,389283840,0
25004809,4838016,249704515,807735600,645113360,13619,0,105416700,11665408,318963712,2162688
31607178,6148655,291385508,828707862,652557645,34,0,105521187,6422528,364969984,0
20552875,3945186,214630282,789537327,656427657,10820,0,105504033,5898240,256245760,0
32487027,6750271,332606189,808802504,598221326,23515,0,105370449,9895936,408748032,4325376
41577198,7647601,392389530,823816734,588210738,13957,0,105376422,13434880,482738176,0
44010737,8287963,417378299,819141520,565771845,9945,0,105484689,13762560,537985024,589824
36515044,7073034,354331535,716316593,492676542,14169,0,105341493,8388608,440074240,0
40353487,7546471,376719646,831050336,593715232,19550,0,105432012,12976128,485818368,2359296
40764096,7821526,393914010,828526834,581726200,17316,0,105376470,31391744,485359616,851968
40237700,7665204,390635103,831310954,597572849,34765,0,105340149,34799616,473628672,0
34077244,5988151,279941799,830241709,659606682,20,0,105350595,18612224,374734848,0
37048404,6784743,352196548,823228210,601185638,16849,0,105384645,12320768,440336384,1310720
