category,bodytrack,freqmine,CG,SP
runtime,29.414627075195312,86.19863057136536,115.31015038490295,162.80527687072754
l2miss,55841360.31971581,60959224.948453605,646587355.625,637836037.233907
l3miss,2185768.241563055,12527641.12113402,122571790.76785713,358827218.79541105
instructions,27569875502.6643,31781927876.804123,6713088257.455358,25589946005.729767
cycles,12205308561.70515,17735740742.280926,16038222449.339285,15776768299.674952
stall_cycles,1225249110.1953819,4517026846.829897,11995902475.232143,5867215221.797323
intra_coh,6609579.396092362,15558300.206185568,297156.77678571426,51825.66602931803
inter_coh,8.809946714031971,1.4690721649484537,3.767857142857143,1.408540471637986
wall_cycles,2145201366.9627,2291917878.1829896,2117813853.8482141,2145851280.7138305
llc_size,377031052.5044405,479258180.61855674,192788772.57142857,710876385.1625239
local_mem,125666153.03730018,748367914.226804,7848604818.285714,27302781288.26004
remote_mem,2458473.037300178,7344930.30927835,51467995.42857143,131841390.13384321
