l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2119666,2368434,1919872375,839064061,279366109,976,0,1083990472,4980736,1777139712,2228224
1682549,1732519,1502575160,827455738,387541443,474,0,105452432,1376256,165478400,2031616
2059752,2249294,1817289401,829449026,309775569,1564,0,105428996,5046272,203948032,6160384
2334202,2558954,1959313677,828863774,261954290,5511,0,105306944,5046272,220266496,3538944
2196847,2638633,2054432093,829959373,242532306,3796,0,105205514,6488064,223019008,0
2356813,2664465,2062774957,830233479,229684164,2250,0,105708102,4653056,239861760,0
1901700,2010519,1573481682,825515754,381743118,3359,0,105326545,1703936,168296448,3801088
2051033,2447890,1858837346,821694335,286237576,819,0,105353727,2818048,201785344,3866624
1874480,1915035,1549938223,830186511,359142405,123,0,105584856,2359296,181010432,0
2088025,2224540,1678659117,831801559,359258224,697,0,105109579,7405568,199819264,1048576
2581378,2901258,2117824575,834184329,195375874,203,0,105326397,41877504,220266496,720896
2621513,2898967,2147622730,835548329,190504160,3265,0,105057261,41877504,236584960,0
2629359,2925422,2144872608,836610415,190280006,57,0,105381774,41877504,237830144,2293760
2638377,2949972,2148658826,837347159,189462560,226,0,105626238,41877504,247988224,0
2676974,2998424,2163135757,837894617,187941464,9,0,105234513,41811968,242024448,0
2682027,3003586,2164913134,835644089,184723142,523,0,105542934,41943040,251330560,0
2679532,3003255,2143300326,836150065,186591720,140,0,105390999,41811968,243007488,524288
2666276,2990107,2130527276,835867411,187961928,153,0,105065829,41877504,244449280,0
2688429,3042475,2165489894,837089293,185385180,353,0,105376335,41877504,256245760,1179648
2689649,3045136,2154528111,836153056,186291704,960,0,105552897,41811968,243400704,393216
2688503,3046828,2145804146,836178662,184198857,1047,0,105288138,41877504,255459328,3080192
2709779,3071743,2153973692,834944988,181749394,1707,0,105233232,41877504,271450112,0
2722318,3114809,2178847145,836324100,179386435,1500,0,105335385,41877504,265289728,589824
2712814,3096611,2163495713,836379244,180876759,1464,0,105381009,41746432,268369920,0
2746497,3161820,2186474896,836823322,181516679,243,0,105190392,41811968,269746176,1507328
2747704,3139834,2169876738,836857977,181634214,14,0,105354219,41877504,269877248,131072
2738984,3133416,2175588069,836812012,179214239,9,0,105436041,41877504,275578880,1048576
2714294,3092629,2136165833,834648141,180586263,6,0,105601578,41746432,275709952,0
2727796,3149774,2167217515,837359136,180847891,786,0,105227481,41943040,250347520,0
2687368,3065628,2113808112,834918289,181428782,1369,0,105280701,41877504,266993664,0
1077152,1189193,868685398,352221904,79066947,11,0,105380682,41680896,93126656,0
6823564,6096476,531088577,273569678,86646644,964,0,105189060,41943040,1033437184,27459584
32252226,9617121,667067758,672325864,387748603,8808,0,105258810,41943040,995033088,0
46529296,8658525,429228012,836805601,571296951,15017,0,105292227,41943040,542900224,0
45280480,8608745,432681561,836797867,571149658,36835,0,105289005,41943040,544276480,5963776
41723885,8070630,400746985,781511066,524328690,21149,0,105263676,41877504,503971840,1835008
45418477,8519281,427570113,836187528,570483817,14431,0,105583860,41877504,555810816,0
46039109,8698812,426474702,836882780,570576351,17694,0,105350934,41877504,545062912,393216
45280649,8458340,433516088,836690091,570239502,27064,0,105132870,41943040,536936448,131072
45560892,8716106,426668423,836655779,573645277,17629,0,105326745,41943040,549847040,262144
46507454,8581809,427879641,837301839,572442326,21226,0,105470379,41943040,553385984,0
45600566,8695297,427472931,836722520,572246960,17339,0,105346446,41943040,547553280,1441792
44967241,8517496,431082486,836889539,568617392,37881,0,105338496,41943040,536936448,1179648
45039161,8390582,427663798,835393025,571070436,15032,0,105482016,41877504,545062912,327680
46296988,8706437,424866896,836939145,571605536,20869,0,105320652,41746432,551944192,458752
45690263,8598740,428937002,837145006,573390511,11895,0,105220956,41943040,553582592,524288
45475359,8635418,432315203,836602122,569693343,31551,0,105595050,41943040,534446080,0
46357507,8581605,427872961,836844459,571974441,20673,0,105309975,41680896,549715968,1769472
45529854,8691378,425643061,836392609,572022122,21400,0,105409161,41943040,554958848,0
45589801,8559016,428436279,835875834,570175584,14969,0,105062247,41943040,547422208,983040
45243510,8517025,430468925,835284925,567879386,29319,0,105292884,41877504,536608768,0
46093286,8673911,427047334,835901082,571592439,16970,0,105268425,41943040,550109184,1572864
45359573,8686687,424477647,834499639,572114196,15765,0,106185072,41156608,548798464,917504
45508536,8365670,422434886,831161288,567076951,21532,7,104643864,9764864,537788416,5177344
35082055,6614749,338147787,822876588,607980515,14827,0,105905970,7274496,433192960,1966080
37002578,7119020,356053720,818645616,593112439,17243,0,105180306,8781824,448266240,3670016
