l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
27043790,20085754,1960520397,839427602,145983518,107,0,1066855776,38928384,12938575872,97452032
45201152,18149442,973568369,837583306,412333224,279,0,106228436,39780352,2189623296,0
37630592,20824617,1545488269,837423551,305975886,891,0,104649272,37027840,1350172672,0
38314317,18092038,1560736210,838218681,264487902,941,0,105812612,37289984,945291264,0
29106905,15875061,1466290975,837795329,250568561,479,0,105189642,37421056,905052160,6619136
33338156,17087195,1468412071,836817339,269619167,8338,0,105653998,36896768,751108096,0
33046572,19421087,869670291,836948190,482121006,583,0,105237784,39911424,2188574720,51118080
29262979,19567950,1840497605,837300831,186986210,116,0,105556000,38666240,1473118208,0
40510709,17688909,1012889533,837738176,333792173,152,0,105226820,40108032,1932918784,44761088
37688226,20430810,1203528099,836194760,423707251,371,1,4736449504,24707072,1853423616,0
34396149,20160617,1642643723,880962899,313000907,582,0,105114891,34144256,1087176704,0
34298345,18305625,1570599623,1010770087,381039349,330,0,105311733,33685504,897843200,327680
31155568,19268316,1324742995,1031625822,449909993,9484,0,105597333,34406400,1175126016,5636096
35253559,19596371,1167600940,1017077708,524004925,6516,0,105335283,36634624,1740439552,38731776
32874503,19701713,1339366124,1014807328,468085334,153,1,105741374,35520512,1906704384,0
39971843,18881665,1580248874,1002105107,361626522,294,0,105252626,37224448,1915879424,13893632
37639644,19552575,1005226833,817981216,427633959,399,0,105430147,34603008,2086207488,0
38353043,20341127,1781013841,797586821,184120148,614,1,105172671,33488896,891944960,19857408
27954178,16776228,1442770936,798501067,288410266,927,0,105761611,30736384,1073545216,0
29800377,17601195,1119267353,797357279,313373933,6806,0,105256737,33226752,1093533696,12648448
29709053,16885001,1260737681,797064762,297624934,11017,0,105845355,34537472,955121664,0
32143644,20301287,733166198,799979730,481287728,2182,0,105493343,37093376,2236481536,35520512
30438831,21267639,2121057920,965253093,266675354,290,0,105003179,32964608,1572470784,0
45842382,16375731,1073746252,993216111,495320009,580,0,105795749,37486592,2013462528,34799616
36591498,19796408,1190652369,1036706733,517210767,1033,0,105554664,32768000,1749614592,0
36784145,21199542,1705653656,1036974985,359570943,564,0,105080961,34668544,1148715008,0
32448966,18080191,1463166800,986369296,391013778,538,0,105810231,33357824,992411648,0
33579213,18220404,1384257649,1018087694,466428756,12292,0,106494549,34865152,1019281408,13500416
35561797,20341845,1006744623,1036674418,598472371,5672,0,104081364,36569088,2036989952,21364736
30759675,19306961,1429547707,934293571,356240497,336,0,106603934,31260672,1658978304,0
40649753,17847333,1428230263,1037277456,487598698,564,0,105086688,39976960,1950220288,13369344
43285066,21473064,1376260168,1036712373,530491729,1311,0,105378374,32964608,2044133376,0
38782830,22093181,1924214481,1036571755,343576468,601,0,104955875,32047104,1156055040,0
30936739,16189206,1488270202,915135617,324659380,314,0,105603356,10289152,703856640,0
16191552,9654903,738798414,615373368,254024993,3022,0,105716004,32702464,630718464,13697024
25230188,12039527,1120589948,706607117,250117588,1752,0,104600443,14221312,488636416,0
18588379,11082258,518745137,615964799,345357699,273,0,105579589,15597568,1245839360,51904512
27767442,16538503,1110701504,828554112,397802908,330,0,105010700,34865152,1711210496,0
23224828,14921399,1430718974,693983252,158373086,205,0,105819787,36110336,1222443008,19857408
40566867,16238852,936228649,706838158,319642353,376,0,105402704,32374784,1656487936,0
23117418,13600284,868190449,620479011,241152183,327,0,104765628,31064064,1040187392,5636096
28762941,13096085,1435748952,635949066,118130274,123,1,105478641,28311552,500826112,38731776
23855594,12642369,1158227178,739209633,255502885,301,0,105508364,26148864,601161728,0
19662369,10285337,895091694,593509079,202165730,237,4,105340855,27721728,559874048,20578304
30579383,15056774,1308767200,842161962,310769462,4348,3,105868905,33423360,683016192,0
21740950,10125588,750426952,594775872,267837703,826,0,104865772,23003136,789577728,0
23276652,14582813,519439551,731878184,469749478,438,6,105395984,30408704,1656619008,16515072
27049833,18962411,1818677447,844498874,189343076,313,0,105511068,26542080,1364525056,0
25145588,10581367,769425442,570917342,250787547,120,0,105666528,35258368,1247805440,49086464
32559101,14470123,830168351,727372010,376619370,5733,0,105431576,17825792,1463549952,0
28110715,14852157,1282938294,675922600,217936312,384,0,105417832,30277632,862388224,5111808
23229221,11128674,1025263304,602764808,188376195,279,1,105605420,24969216,601554944,4980736
29936537,13056801,1403253715,771673380,221623520,195,0,105372830,23265280,433586176,0
17084052,9517237,750611331,542317076,209951325,1319,0,105427642,31653888,532414464,9764864
28001704,13141702,1231220244,744560813,252597916,2000,0,105291460,22085632,529334272,0
20896484,10907366,663746508,563619256,264992635,357,1,105950556,36831232,1075183616,78512128
22565534,14443929,628225635,723743402,431648602,343,0,105238073,38404096,1546256384,0
24575797,17036889,1745606215,807456741,176382612,231,0,105063367,22937600,1193934848,0
29368353,11415857,770928040,621034683,278523627,122,0,105268636,27328512,1339817984,2359296
28309363,12355541,750039560,672988954,335909174,1217,3,105656073,35323904,1536163840,63504384
