l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1983305,2141561,1737971549,839167978,339347161,122,0,1101102520,4718592,1872035840,5505024
1854638,2045395,1706744562,827048643,331329279,1185,0,105128904,2228224,185991168,0
1743528,1814022,1553049095,828689709,368394911,2775,0,105303744,6094848,169607168,6291456
2275369,2474681,2000108778,830415856,240933510,6482,0,105774168,2752512,217579520,0
2349467,2540313,2006200304,830326576,239351340,5391,0,105556496,5242880,243007488,3538944
2290502,2623594,2025384488,829001607,254420227,6081,0,105534964,5832704,232718336,0
2155780,2286067,1812866950,830033113,293158006,6275,0,105046308,2293760,207421440,0
1895014,2144035,1651560729,828211213,360220192,547,0,105318424,5373952,190119936,1638400
2175593,2604593,1937633498,831953804,269507334,114,0,105245472,26411008,203227136,0
2606675,2874749,2140177570,835885752,190096665,555,0,105043896,41549824,218955776,1048576
2627243,2896465,2143430760,836664966,189612896,84,0,105332253,41811968,235601920,196608
2637773,2918656,2157756936,836381150,187916959,42,0,105351819,41877504,241696768,0
2635662,2932380,2144933168,835351209,188112605,85,0,105546117,41877504,228065280,786432
2657968,2977157,2172536819,836787370,185340407,157,0,105142392,41877504,234618880,0
2674211,3006204,2168618143,837530347,183973423,1167,0,105559560,41877504,241631232,1638400
2687221,2995009,2162674973,836903297,182478314,1103,0,105303420,41877504,237830144,458752
2683025,3015140,2153659175,836838784,185907128,19,0,105454026,41877504,254869504,2031616
2693794,3048174,2172880821,837023215,183991026,19,0,105163974,41877504,243990528,0
2708535,3075199,2190162577,837975717,183611600,17,0,105674796,41877504,251068416,1769472
2688019,3057699,2159529575,836013828,185324627,10,0,105450444,41877504,255983616,0
2712898,3069091,2164595766,836160534,181719493,3,0,105074103,41943040,261881856,655360
2732201,3096231,2186425028,836943588,178553999,662,0,105513348,41877504,261029888,0
2731159,3099243,2164623316,837490693,179047602,113,0,105381558,41877504,264044544,720896
2742572,3140740,2196153364,837637727,180088999,1502,0,105318264,41877504,262471680,1048576
2733271,3111114,2156837423,835966635,181150654,2470,0,105277722,41811968,264830976,0
2752202,3117267,2153350827,835198809,180372395,2150,0,105493497,41877504,250413056,0
2759373,3145939,2189671599,834936566,176360204,1830,0,105366675,41811968,270008320,1638400
2758450,3179599,2203399154,837113481,176553394,2336,0,105490260,41877504,269484032,1507328
2749952,3169897,2175938852,836545798,177757682,1206,0,105347049,41877504,259588096,0
2413117,2714599,1852356248,741501009,166085628,1518,0,105016224,41811968,226820096,458752
651940,646924,517788406,221278725,53881746,0,0,105449340,41549824,56557568,0
8747485,7353528,569085237,286604809,93288233,1249,0,105070890,41943040,1319567360,15138816
35256724,10745197,705317625,794191334,495832696,8830,1,105529392,41943040,826867712,0
46409443,8783274,433873056,837348051,569753508,36247,0,105681705,41943040,558628864,6029312
47217969,8604018,431582205,836896195,569641710,20627,0,105172557,41811968,555286528,0
45485498,8730758,426985263,836664790,570971920,15953,0,105477330,41877504,558432256,0
42267971,7672752,396799778,772716945,525678533,14203,0,105254739,41943040,511377408,851968
45794070,8624437,434068910,836950166,568661947,28394,0,105196599,41943040,548798464,65536
46886755,8845478,427823956,836525133,570131398,21157,0,105416931,41943040,555810816,458752
45758610,8610735,429747783,835417216,571926861,10391,0,105438048,41877504,559218688,0
47046643,8633974,429126029,836184026,568695522,21764,0,105106284,41877504,552009728,655360
45142117,8642450,433956746,836282924,567965210,28468,0,105246120,41943040,548012032,0
46432133,8782183,426032677,837115492,571317611,19485,0,105584925,41746432,556531712,0
46148621,8494991,433794648,837031527,571715972,8008,0,105154272,41877504,556990464,655360
46909595,8854633,428092058,836409860,569981716,20860,0,105544770,41943040,556531712,131072
45503689,8563698,434733016,836207858,569524848,33023,0,105278769,41746432,549584896,1179648
45672973,8736471,426607771,836759117,571754078,17001,0,105286521,41746432,555941888,0
46684354,8577513,432506235,836723475,569120505,14203,0,105115530,41943040,557252608,0
46415483,8772832,425806444,836664656,570909636,18125,0,105408258,41549824,554500096,0
46295603,8679118,436301962,836521768,569279990,26667,0,105329274,41549824,556466176,3997696
45645814,8601496,427846487,836050775,572937759,13688,0,105835161,41484288,553779200,0
46987716,8665177,429178884,833615993,567207811,22838,0,105330441,41549824,553058304,1507328
41395953,8295679,427085025,735054454,473011711,12617,0,105381030,2293760,514850816,0
15035724,2967150,147889493,596399288,500225225,14076,41,105144975,4718592,196804608,2359296
33168051,5890227,316854131,807129521,603444579,16718,0,105536811,6160384,406192128,0
34633044,6662506,342055226,811990147,595535225,19945,0,105528075,9175040,432603136,3604480
36922001,7140628,360301419,810698749,595989894,9823,0,105055251,8585216,443678720,851968
29896869,5207680,259664332,600455272,433422722,738,0,105153651,1900544,339214336,0
20839661,3932050,199561695,774905330,645807037,18108,0,105463131,9568256,252837888,4325376
27967434,5117553,268637375,788239062,615535681,13672,1,105297939,3211264,330563584,0
21249928,3960392,188139394,820305124,700735077,35,0,105417066,3932160,254345216,1114112
31043962,5858432,302330341,743040844,553302672,14430,0,105389142,7602176,382992384,4521984
39739668,7262584,365802723,813430740,579686357,15862,0,105381531,9633792,477167616,0
41296508,7657673,391188972,817483215,570861859,13599,0,105340779,27983872,499974144,0
39612012,7474292,376834385,822369390,583901575,16708,0,105295716,4063232,459145216,0
41172941,7714912,396946229,824684574,578509752,30664,0,105320502,26869760,497680384,983040
24791228,4743642,235776475,828757917,678217186,22,0,105428130,3276800,308543488,0
31329549,5668130,287845074,787945401,604902199,17544,0,105382848,7077888,383188992,3276800
17625621,3071194,172130190,577531279,469438291,14607,0,105430113,2555904,200343552,0
26717590,5004167,237420507,817480082,670369746,32,0,105350712,8323072,319946752,1245184
37603222,7174353,357955982,793057245,567257138,13484,0,105390114,23134208,454426624,0
41433081,7644863,386703404,818580893,573768908,18968,0,105325602,7667712,484442112,0
39246831,7494807,385971299,811698728,565999178,32866,0,105320385,10747904,485949440,4915200
40607468,7566879,386797675,826771928,583231713,11474,0,105413724,14614528,498008064,0
39509405,7629092,362888555,770185470,550747879,19041,0,105357699,5046272,449708032,0
25548530,4759661,229131484,827293387,682111531,27,0,105401736,5767168,309395456,3080192
26236685,4848983,250527966,777744532,621162170,16629,0,105392991,3407872,309592064,0
19218915,3698670,192882980,763185962,643160798,11260,0,105523470,5177344,233242624,262144
32041822,5719662,281493748,767815305,587976203,558,0,105307818,4587520,372375552,0
36072042,6782427,336488806,739389577,529760819,14147,0,105391539,6291456,431292416,1179648
38872565,7292575,378688920,764775820,526640774,33509,0,105394536,25231360,474546176,4980736
39832822,7556451,380457832,827634121,594475958,10094,0,105371805,11862016,476839936,0
41891392,7752142,396227758,799355960,551664622,16570,0,105413442,25690112,502136832,0
24594569,4758929,225812119,825660469,684191820,27,0,105351066,3997696,294322176,0
27680429,5211461,265272101,771945172,600505452,16247,0,105439272,8192000,337903616,1703936
19297037,3679128,189679248,756664268,634771224,14149,0,105429519,2621440,228130816,0
28533204,5273737,252339128,827099881,668342765,36,0,105382137,8257536,343277568,1638400
37266783,6681558,344259281,787731589,570780396,16430,0,105379854,10878976,442499072,786432
39749117,7386163,396766503,801058957,554861829,32006,0,105398025,25886720,480968704,3604480
41794119,7763652,387534596,775449475,536158760,16192,0,105383265,11206656,494600192,0
39595548,7534017,383716436,810649554,570555990,13510,0,105393729,28114944,484966400,0
30017844,5715719,289584091,792128599,597463155,19038,0,105361104,3866624,376897536,0
27506910,5033426,238950312,825672491,675539106,19,0,105404799,5701632,324206592,1507328
21933494,3984802,218782431,765010688,631047131,14315,0,105441147,4456448,256638976,0
21000559,3769351,208614523,802506027,666727452,52,0,105212580,1507328,250413056,3342336
36272971,6761210,332309126,815165553,607594792,16634,0,105384777,21954560,437321728,0
38244573,7142426,385777096,810976211,567674940,26598,0,105384678,11665408,477495296,4653056
42971685,7685304,382436800,831461148,585485790,19087,0,105363837,11403264,502202368,0
39101322,7394905,376291507,818825431,581549994,11476,0,105336705,10158080,480051200,1441792
38780632,7563767,369440118,779645459,554365344,22363,0,105351684,6684672,449773568,0
24574312,4227363,224714613,826862499,672711941,43,0,105349953,1835008,301531136,0
28345237,5157477,249130285,762176565,609247591,8906,0,105449373,3538944,333316096,1966080
19935195,3798332,197942939,766793945,641672410,19384,0,105463527,5046272,234749952,983040
31242116,5949455,289157313,802581930,623253974,13159,0,105356805,8060928,368705536,589824
37093627,7034400,342540934,812745547,596515729,21484,0,105382359,10354688,439091200,917504
35639379,6725462,339713984,702868533,486936906,17196,0,105363327,12845056,427163648,1048576
38373593,7279063,367201646,797817276,564954257,13384,0,105372561,11141120,469172224,0
38362397,7301013,369224757,816133853,585463612,16181,0,105421140,3407872,457703424,2228224
32612509,6204962,303334116,813184772,621759362,26,0,105168675,917504,377880576,0
34675684,6496624,312341741,763181524,570628025,17603,0,105387777,5832704,423362560,4128768
25889642,4932473,247931170,802919147,648480777,16592,0,105490674,3866624,303890432,0
20659752,3922484,208519698,755335892,619866920,15641,0,105367128,9437184,248119296,4063232
33982529,6404731,322720673,810724315,604415854,19232,0,105306021,8454144,404094976,0
40284472,7525059,384084501,821046133,580713786,13345,0,105412551,9895936,487849984,1048576
40832908,7861168,385357343,810568836,567429655,14441,0,105401034,9240576,490012672,524288
40377208,7490446,377849427,816072058,576239890,21593,0,105369228,23724032,483917824,262144
36449426,6921303,356931970,811309651,580573897,17156,0,105381048,7405568,454098944,0
27944293,5771403,287792112,800974749,631614928,14014,0,105432588,6946816,341049344,1900544
29123217,5555301,280464431,777112180,598300365,41,0,105262362,786432,349700096,0
20135364,3776110,185178249,805560871,690945885,13285,0,105393078,3473408,245170176,0
28331341,5256340,264197272,795828862,628929765,11503,0,105387978,8060928,340328448,2621440
35569139,6298537,312504023,815488127,606260987,15652,0,105362208,9961472,426180608,262144
42314787,7711098,402273434,820456137,569647517,12933,0,105369204,27262976,509018112,720896
37024819,7049764,356958922,819981906,586694879,13627,0,105363567,11075584,463732736,0
42759316,8093067,397019983,818670170,567321356,22881,0,105399522,22544384,504233984,0
32213214,5835652,294346173,820781763,640037529,13502,0,105485772,2949120,361693184,0
28618285,5593360,266553886,810937132,645588993,19061,0,105346797,6553600,332857344,1441792
25151949,4679119,229796231,827388408,680424735,35,0,105415356,3080192,304611328,0
19594517,3702084,200256000,695555327,570211538,15163,0,105440520,7667712,243466240,2424832
33900733,6385969,336835280,814712884,608725007,15813,0,105406566,10420224,405995520,1769472
39613933,7317394,380614158,820226343,580042319,10705,0,105343260,20447232,488701952,0
39455301,7753925,378276372,785598661,550007274,23535,0,105383640,11862016,476643328,0
32937218,5772268,305674051,638860343,446164873,15924,0,105403947,27394048,380895232,1245184
33205222,7090230,357941019,820200992,612856456,13351,0,105387828,4587520,413663232,393216
27151121,4618892,231972751,686107063,550602721,51,0,105204537,1835008,301203456,0
25371631,4761090,240712495,732144527,583215176,13039,0,105388218,5242880,312279040,2752512
23767520,4450965,222390020,772213333,621750449,19626,0,105420555,5570560,287506432,2359296
29650290,5617251,293562735,820960297,635324897,10797,0,105393117,9175040,371195904,0
33241611,6118003,314586878,796111089,591235834,16239,0,105305154,13041664,409862144,2752512
42965386,7889451,397811943,805306472,558480061,21486,0,105395007,5505024,498204672,0
38633108,7110882,377092646,820890566,587486329,10111,0,105370857,11665408,476512256,786432
39159807,7129227,345177530,819211733,596525125,12445,7,105449652,3866624,452067328,0
28555223,5241402,276856757,791812329,602386600,16948,0,105399459,4390912,364314624,786432
34139966,6556357,321026182,800524775,590951397,18723,0,105425175,12582912,418054144,1572864
38242241,6627029,331052182,797130679,585253701,22914,0,105314661,6094848,428736512,0
34362928,6516783,305343622,829690965,650794329,29,0,105425823,6291456,395771904,2686976
38764535,7325803,367375786,813462664,584221261,20674,0,105336816,13303808,454950912,0
39538686,7535095,392103986,819254676,579602166,34922,0,105363258,21692416,478937088,4915200
41676409,7758983,392400151,829957702,586244839,8988,0,105378375,10944512,502267904,1179648
41250076,7948852,389934016,800020061,553827893,13161,0,105366027,12058624,494600192,458752
40668090,7334331,373916809,787043925,552940478,19035,0,105373890,19333120,475136000,0
38307399,7782178,383700098,782352476,543185494,20670,0,105434676,5505024,475070464,0
20156698,3749566,188708641,631957043,511193986,67,0,105147840,2228224,229638144,0
25572779,4820054,236655808,786989288,638360279,17057,0,105444549,2818048,315752448,1835008
19568632,3515591,200682405,768850011,641644433,15583,0,105414087,3604480,235405312,1310720
35188507,6392845,327338599,823942969,607047910,19296,0,105300237,18612224,433520640,2883584
38655987,7220051,370258856,792682458,558809403,13697,0,105299976,11796480,473104384,393216
41932236,7858284,394381853,821792750,573398182,16972,0,105476826,5505024,499974144,0
39458225,7370100,370718919,821196802,586268561,18637,0,105384645,8847360,475660288,1179648
39008110,7320975,372351256,818383811,588847225,13471,0,105340005,5177344,465633280,0
30933166,5700028,294136503,836484412,651576580,19937,0,105452044,5242880,371523584,1769472
27903773,5315529,278775818,694135253,520777646,16673,0,105386228,10420224,351666176,1310720
22405897,4187803,202927903,828278884,698788087,37,0,105546747,2949120,268304384,0
22392428,4483649,232571579,733632591,586002603,13333,0,105411087,8454144,287768576,2097152
35654586,6693650,330785260,787397595,576904893,17027,0,105468742,8716288,420675584,1966080
38350344,7019914,352161699,793313276,567477339,17078,0,105389465,5308416,450494464,0
28017530,5193687,264217457,681406085,506112998,16435,0,105394449,9109504,338624512,4259840
26591605,4812423,228637020,829848308,683239615,27,0,105431673,3866624,308019200,0
27911701,5264323,270413531,760604364,592298461,15592,0,105412335,10682368,340459520,2686976
