l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
28198983,20643722,1363142942,837796227,350193572,304,0,1084528100,37617664,12288983040,77070336
37416430,19383894,1521592203,836841781,260020903,268,0,104914068,40173568,1908670464,0
36831491,20035849,1034520364,836321013,415817224,14907,0,105289936,35782656,1971978240,0
39837521,19757929,1728492459,838078579,204642475,207,0,105668872,39059456,918749184,15925248
33395096,16543784,1449307264,838094984,260356296,668,0,105343968,35323904,616562688,0
30731930,17021237,1521047663,837001613,299495998,9037,0,105295068,36306944,877264896,0
34029462,18378897,1185194261,837274377,364489716,5880,0,105737084,39583744,1436549120,68616192
29859175,20632545,1237170015,836672267,422685454,774,0,105278088,38010880,1915092992,0
27577906,17237231,1622820832,719128789,132435591,367,0,4719509805,33030144,1272840192,0
47162589,17830909,985235749,1037073321,582157730,11804,1,105450699,36962304,2218065920,0
39251750,22577284,1774814373,1036891393,360837963,1084,1,105383136,34209792,1300496384,0
30870175,17875513,1314925570,971587972,356624646,660,0,105380769,32505856,983040000,2621440
28438300,15522101,1236632899,894422913,398912086,3928,3,105380811,33685504,890961920,589824
33966942,18744083,1434102427,1030959981,438888481,12947,1,105393150,36765696,799145984,2162688
34606549,20035986,745155004,999700493,673533356,1995,0,105467889,38535168,2292318208,23920640
31475794,21473685,2141573157,1037511646,294549100,381,0,105432018,33488896,1627848704,327680
48130285,16685132,1013820704,1038646881,579164742,647,0,105552120,38076416,2178285568,6881280
38550991,20372356,1445329778,990774071,430182268,5932,4,105394800,29818880,1483407360,0
19901567,12245644,1258343612,635953380,193308199,336,1,105347676,17432576,629800960,2949120
33700622,16734911,1575401757,906927355,285456633,263,0,105358905,26869760,549191680,1048576
12887954,8932257,640506817,535138985,221859471,2652,1,105389916,31916032,547094528,0
31502533,15348655,1332943231,848078375,309582236,2599,0,105273306,12582912,563937280,0
25992903,14076276,616688866,738683785,449052079,502,1,105443490,38469632,1537736704,25755648
32616269,19979039,1639563351,1030685749,431429624,176,0,105462687,34209792,1835532288,3735552
41524845,17196158,1390659655,1020296901,419053478,328,0,105398226,34406400,1952251904,2359296
39492217,19374860,1056837231,1033818220,594461281,1202,1,105391716,33292288,1986985984,0
34944562,15986086,1561963905,796092605,200922570,243,0,105488370,36569088,643170304,15990784
30085075,15627740,1277151465,850738435,328690641,404,0,105341514,29229056,674627584,0
17208666,9337406,865893180,548273250,209208886,225,0,105162477,19922944,517996544,0
29752932,15353438,1328031361,862802443,328769318,5077,0,105358395,35127296,613023744,11993088
20074800,10279095,731824520,591187844,268020168,625,0,105297714,30081024,799735808,589824
26747079,16200485,625675392,809853984,517304524,658,0,105407319,33947648,1860501504,11665408
33218203,21221933,2083069135,1037207204,278947657,311,0,105502791,35979264,1682243584,8192000
48380301,17081799,964905999,1037750490,597342121,482,0,105469626,35782656,2175598592,458752
38838321,22040874,1706977928,1021898920,407082409,904,0,105324672,32505856,1370357760,0
23395319,12664240,1094379127,721404936,250825706,395,0,105376692,29097984,662044672,4915200
27833370,13036202,1304100729,753357782,234305281,118,0,105253641,13434880,439091200,0
20349251,11677413,871997212,674450923,295258753,4382,0,105235182,31326208,643563520,13631488
25352147,12788556,1112259473,703964741,255049717,4758,0,105223098,16908288,469303296,0
25467924,14377768,641172420,773394699,478665376,511,1,105431730,37158912,1712324608,32505856
32445705,20958470,1697261457,1037269311,416784868,256,0,105418122,33816576,1788674048,0
43805698,18221724,1372134822,1036665570,471850105,632,0,105419718,38076416,2048589824,9175040
