l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4971139,472,463013734,812979254,518332128,3592909,0,1062616792,9175040,72286208,0
5125394,603,460999215,811851199,519014686,3809341,0,105083060,9830400,6750208,65536
5074968,735,461661137,812027276,518393489,3758595,0,104914288,9240576,7143424,65536
5054962,576,463112476,812178919,518607955,3734174,0,105342012,8781824,9109504,196608
5154036,697,461913493,811916954,518805172,3774578,0,105154228,9830400,8978432,0
5163113,728,462545860,811625218,518143113,3759541,0,105279868,7536640,4194304,0
5203597,712,460896222,811959911,518483978,3824500,0,105550124,5832704,3211264,327680
5067240,601,462266773,812224147,518119969,3708042,0,104828278,4521984,3801088,0
5115170,640,460516428,812665476,518964779,3720560,0,105302874,6750208,7929856,458752
4926183,545,463849953,811784271,516764786,3662644,0,105182088,10747904,8323072,0
5285836,560,461603272,811891500,517897728,3894522,0,105204018,10289152,131072,0
5162873,734,461320714,811661373,518082900,3825062,0,105298695,13238272,5767168,0
5153776,592,462067703,812093415,517986924,3705773,0,105278979,15138816,4128768,65536
5021584,531,463457828,812501167,518180041,3748106,0,105209175,16318464,3080192,0
5193881,608,462789143,811812489,518341937,3745043,0,105348402,17956864,4325376,262144
5104740,627,462235990,811167398,518259482,3738763,0,105219033,20578304,7602176,0
5143906,586,461998528,811391748,518294504,3749566,0,105250122,23986176,7208960,0
5160551,630,462091594,811651254,518839856,3812276,0,105212874,25231360,4128768,0
5057039,592,462511527,811626604,518199820,3717220,0,105323670,27721728,5963776,196608
5028258,595,462078412,811756094,518550932,3759000,0,105256893,18415616,5767168,65536
5288138,568,459711482,811857715,519595316,3906964,0,105253800,17235968,5308416,0
5183696,427,462092221,811754699,518544351,3760114,0,105255753,20119552,5701632,0
5183135,656,462794357,812033184,518346369,3776135,0,105306714,21757952,5373952,131072
5097593,547,464118215,812530336,518504790,3744372,0,105345267,24772608,8519680,0
5249505,567,460885870,812232824,519761806,3864530,0,105201351,28442624,9240576,131072
5024403,616,463979289,811905397,517998944,3660040,0,105274923,29884416,5570560,0
5198087,469,459750041,812029704,519397377,3799520,0,105325200,30801920,4915200,262144
5006319,446,465112064,811546875,517289252,3652854,0,105216297,31457280,6029312,0
5102974,454,463005785,812019822,518315488,3777211,0,105202854,31916032,4063232,0
5188389,586,463020937,811725713,517913324,3798163,0,105304710,32309248,6029312,0
5061679,584,463702916,811797461,517511097,3631124,0,105266373,21757952,7798784,131072
5239955,559,463418099,811573697,518053620,3855977,0,105248985,19922944,10223616,0
5191250,605,463730373,812287183,518803068,3799729,0,105216903,21495808,5767168,0
5200497,460,461761686,812348252,518902122,3804769,0,105286977,22806528,4653056,131072
4869806,437,466950999,811697476,516223987,3596927,0,105261624,23724032,3932160,0
5017187,534,462983789,810635863,516869680,3658548,0,105232011,26345472,7602176,0
5003577,483,464160990,811840006,518108694,3712804,0,105273231,27721728,5111808,65536
5233670,439,463543622,812224181,518736422,3868733,0,105288057,27721728,786432,0
5007631,416,464858752,812280328,517582713,3650433,0,105284181,23003136,2752512,0
5048158,435,462610214,811685047,518414990,3759399,0,105218199,23986176,6488064,0
5171030,561,462582027,811727566,518187541,3695640,0,105252378,26083328,7667712,262144
5302909,519,461342210,812098703,519315436,3909506,0,105279903,22675456,10878976,0
5139232,639,463107924,812086335,518461314,3750682,0,105277179,19136512,7864320,0
5133137,581,461736929,812419013,519201254,3783781,0,105268509,21889024,9240576,131072
4962479,611,463511468,811650811,517854286,3749862,0,105223125,24707072,6815744,0
5277565,569,459929098,811859803,519721034,3885135,0,105256602,27852800,9109504,196608
