l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1847923,2086393,1708456185,839750249,333617306,6081,0,1132674004,1507328,1861091328,5373952
1767427,1798304,1543703702,824341019,353144792,1762,0,105101132,4390912,179896320,0
2296698,2430926,1956574636,828599655,257243592,5685,0,105421340,4390912,224198656,262144
2366497,2654237,2081413203,828834937,224306047,8244,0,105455220,3997696,245956608,393216
2278423,2623682,2048490069,826295839,254533636,8454,0,105140284,5242880,220594176,0
2050349,2236738,1784598670,829252753,305844636,7522,0,105288468,3342336,206176256,0
1933394,2131068,1668800389,826657860,339442781,5993,0,105964203,4456448,200998912,2752512
1995203,2164333,1714317302,825273654,318883641,4948,0,105301293,2097152,210042880,0
1839272,1917722,1544167975,826354560,372183730,3606,0,104934455,2555904,185073664,1572864
2526920,2802750,2068625924,833175160,219553471,1546,0,104993571,41811968,207880192,0
2624935,2881871,2159378164,834449445,187705848,4024,0,105594483,41680896,243859456,0
2646446,2920753,2173422866,835426521,185864937,3361,0,105315945,41811968,238026752,0
2656957,2943668,2169608133,835212015,185258703,10766,0,104929272,41811968,238878720,1048576
2661132,2972117,2173179527,835455109,182900015,7451,0,105413364,41746432,247660544,0
2688210,3011821,2162930930,835802155,184646239,1586,0,105243042,41811968,245825536,262144
2697157,3016792,2179777741,835109047,181550088,669,0,105296940,41811968,244121600,0
2700708,3004211,2173927091,835450170,182450085,285,0,105384330,41746432,240713728,524288
2694641,3020628,2151719543,834278632,182488592,2971,0,105571851,41615360,241500160,0
2706646,3067096,2181215916,836276156,182346606,6193,0,105224505,41811968,253755392,1835008
2701611,3062963,2159276766,836293332,183998016,6421,0,105464607,41680896,245694464,786432
2719270,3051004,2143903636,834720401,180551607,5541,0,105321591,41680896,262733824,0
2755090,3111009,2189843608,835650020,176804292,1865,0,105272295,41746432,261488640,1441792
2720148,3101626,2172769871,835742967,178177210,3018,0,105437625,41877504,265945088,0
2733271,3146776,2203521870,835303963,178291877,3737,0,105371979,41811968,258015232,65536
2785742,3166908,2205511083,835699350,177556577,5177,0,105408531,41811968,266797056,0
2773026,3164809,2197541381,835644008,176926964,4642,0,104909073,41746432,267780096,393216
2748030,3141764,2172650809,835517147,177855307,5693,0,105377196,41877504,273285120,0
2749713,3165401,2182941321,834860191,177898744,2555,0,105280983,41418752,282263552,0
2733333,3155246,2150000599,834152398,179748571,2068,0,105701445,41484288,277544960,0
1699578,1998299,1368561463,545824617,123618382,476,0,104999415,41615360,154664960,0
2775344,2073881,519025057,211606436,52329294,914,3,105303822,41943040,384172032,33947648
16468164,10979233,854528938,491977324,199244586,19589,3,105405228,41943040,1430257664,0
45674821,8697961,430425389,836183817,567875490,14697,0,105394785,41746432,556400640,0
