l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
104891,37500,231194428,97336353,3336830,0,0,1043876060,15532032,103350272,0
106398,40533,231810437,97513023,3311539,0,0,104623262,17432576,8585216,262144
120856,43400,231806004,97566117,3337055,0,0,105096576,19267584,9306112,196608
134661,53833,231294012,97624328,3436112,0,0,105097488,18874368,9961472,196608
102040,36586,231981179,97580902,3386688,0,0,105098514,18874368,10682368,0
121975,48158,230974908,97568044,3261294,0,0,105193164,21168128,10158080,0
136064,43905,230909323,97496737,3423129,0,0,105134348,20447232,14417920,393216
104235,41657,231514848,97416737,3271824,0,0,105071284,16842752,15859712,131072
131031,62386,279334428,120488758,7543339,0,0,104833404,8060928,9502720,196608
144543,54346,282408636,120067662,5362908,0,0,105718227,12976128,12976128,0
199003,73742,281958992,119903433,5120018,0,0,105166128,18087936,10682368,131072
148747,52917,283867861,119908260,4608615,0,0,104904114,21299200,11730944,0
140859,54538,283091407,119917496,4653829,0,0,104527011,22413312,12845056,0
152179,57929,282800044,119998433,4881931,0,0,105181632,16580608,16777216,65536
263999,145751,266411319,116398447,5708885,0,0,105291330,15794176,24313856,0
135741,44338,267162985,116281077,4875323,0,0,104675664,16121856,10682368,196608
140427,57093,282623451,120076287,5092090,0,0,105384495,16121856,15269888,0
140417,54658,283696065,120188077,4881748,0,0,104689311,18022400,15532032,327680
140226,57913,281724080,120185879,5529174,0,0,105058299,9502720,19202048,0
138625,57058,282086651,120149966,5144669,0,0,105085461,11927552,17235968,0
143846,59722,280314467,120180886,5969959,0,0,105209886,14614528,14221312,65536
162586,58335,283754291,120116590,5162711,0,0,104849949,16908288,16646144,524288
145616,57720,284568135,120100222,4782579,0,0,105296103,14811136,17301504,262144
162274,67369,281376948,120260843,5677054,0,0,104876361,9043968,16580608,0
157265,59547,282499702,120197583,5329255,0,0,105181620,13041664,12648448,0
142558,55237,282763061,120145374,5455558,0,0,104922330,14483456,13303808,65536
156470,56887,271948412,116025330,5533782,0,0,105335631,15925248,16777216,262144
147740,60046,281086819,120222157,5960457,0,0,104931276,12320768,16056320,196608
162865,68854,280365930,120245183,6123499,0,0,105069570,13172736,12189696,0
138729,64322,278545745,120426674,6466266,0,0,105089307,7536640,15007744,0
145409,58984,279467540,120314166,6666019,0,0,105579180,7667712,9895936,327680
161765,70377,276890746,120546217,7260387,0,0,105167946,7471104,11272192,0
140924,54513,253003852,110606499,5897924,0,0,104974862,5636096,10485760,720896
813420,618094,145349939,84177162,18438396,0,0,104989257,15269888,30670848,0
1737190,1137870,555872344,247646275,80445183,9072,4,104920494,18022400,74579968,3670016
4094793,1983801,751537553,739437353,258887359,7621,1,105226396,18153472,151257088,0
4480516,3466231,611197071,619898395,243075890,8123,0,105158597,17367040,254607360,13893632
3355475,3050518,248091859,367098594,184694203,24652,31,105070324,18153472,953614336,0
7926953,7836440,437953240,885336489,706452338,3525,0,105463029,18350080,639172608,0
2727283,2282326,177559232,348697834,260618266,743,1,104730672,16842752,175702016,0
9975939,3771264,1282760499,908473313,456077730,837074,1,105331236,17301504,288686080,4718592
