l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4865164,529,465072280,814408627,513798722,3484469,0,1067740696,10551296,68157440,0
4959162,790,464036963,813134201,514037100,3658583,0,105427680,12582912,7929856,0
4838738,603,465191480,812545829,512896129,3435276,0,105403284,13369344,7274496,0
4898292,599,466146024,813223648,512346617,3470606,0,105338548,14352384,7733248,327680
4956582,553,465452966,813163157,513211762,3571638,0,105092912,15663104,8650752,0
4860360,635,464617867,812512369,512519976,3481274,0,105026084,13828096,2686976,131072
4773398,605,465294856,813002680,512627936,3462622,0,105570392,7208960,3997696,0
4816205,837,465312248,812818806,512475586,3487399,0,105821696,4259840,3997696,196608
4833880,552,464636354,813529860,512609991,3450303,0,104510947,9437184,8323072,65536
4592098,522,467800634,814154990,512162246,3337585,0,105395631,12582912,6225920,0
4827666,534,467146194,812751505,511463148,3473920,0,105218697,11796480,589824,196608
4797750,598,466269851,812500299,512222599,3512722,0,105297381,14090240,5505024,0
4823367,458,466333634,812990052,511825926,3455908,0,105289830,15007744,4325376,262144
4891412,448,466348685,813246385,512571886,3531538,0,105336117,15990784,2686976,0
4903696,531,465712384,813119453,512897866,3503056,0,105224181,17367040,4521984,131072
4819064,453,466679536,812307729,512252587,3488084,0,105321588,20578304,7667712,131072
4813366,513,466054592,812347972,512739044,3527496,0,105277470,23330816,6881280,0
4831880,649,466342918,812772016,512488943,3473548,0,105287058,24772608,3735552,0
4987340,647,465232168,813168683,513342283,3561765,0,105301668,14614528,6356992,0
5068999,765,464636843,812752022,513570809,3598082,0,105278493,15859712,4849664,196608
4862731,662,467579509,812359621,511814121,3431577,0,105266130,18219008,5505024,0
4805125,630,466407762,812621843,512314153,3542565,0,105195495,20447232,4784128,65536
4946119,553,465820592,812881895,512666703,3609392,0,105380058,22216704,5898240,0
4776134,622,468914076,813227143,512500168,3485051,0,105292293,21102592,8519680,0
4782777,460,467489499,812969570,512682355,3441998,0,105290682,24051712,8847360,196608
4820296,651,469330569,812606923,511095944,3418853,0,105208968,25296896,6225920,0
4839486,534,466403217,812457286,512953139,3533651,0,105312609,26411008,3997696,0
4865674,515,467112893,813039817,512664704,3516841,0,105285183,28114944,5701632,0
4946877,647,465845858,813029636,513130282,3603013,0,105290694,29294592,4849664,589824
4843838,559,466596672,812837428,512401931,3482043,0,105316419,17301504,4784128,0
4870376,604,466089764,812743065,512625139,3544888,0,105253950,18219008,7536640,131072
4818902,626,466501907,812211184,511875229,3464265,0,105265398,22675456,10092544,0
4860594,556,467012212,813280782,512976779,3520881,0,105307044,24641536,6684672,262144
4914386,418,466132651,813066422,513169749,3574478,0,105280026,20905984,4653056,0
4935118,514,466489814,812463227,511206056,3517011,0,105220065,20905984,3866624,196608
4816381,634,468143973,812594259,511845828,3474750,0,105265671,21626880,5308416,0
4971571,571,466275297,812838866,512721083,3545361,0,105275109,24051712,7208960,0
4693443,512,467789218,813302509,512029790,3403533,0,105301776,25231360,3211264,0
4891011,534,465853086,813073630,513192218,3600701,0,105219927,25231360,1179648,0
4876058,568,466392919,812756482,512820119,3539627,0,105235446,25952256,3932160,0
5016684,582,465711284,812895504,513578600,3653824,0,105348972,17432576,7143424,131072
4795385,601,467750335,812776105,512148841,3448529,0,105239016,17891328,7667712,0
4886577,513,466869545,813119437,512450064,3481811,0,105327033,21692416,10420224,262144
4916066,548,466295857,813378809,513415592,3548860,0,105296430,24576000,7405568,0
5003100,520,465878688,812584986,512845302,3616721,0,105237726,27852800,9175040,0
4841424,525,466490943,812907871,512152201,3494831,0,105275697,30277632,6619136,262144
4888281,607,466545199,812975201,512605302,3477890,0,105288984,31129600,9568256,196608
4832124,522,466219538,813191586,512745035,3501258,0,105287973,32309248,8060928,131072
4930487,627,465793665,813470947,513333464,3483975,0,105304791,33488896,10289152,0
5001246,414,464978312,812834997,513318914,3575327,0,105232206,33947648,9175040,0
