l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2236452,2601648,2056474835,839042473,255962012,5987,0,1019980772,2818048,1782120448,786432
1675158,1773535,1512349939,789835739,345275489,3555,0,105572332,3932160,163446784,2424832
2115554,2330921,1821359676,827218749,296213903,5919,0,105272156,2293760,206569472,0
1706623,1802620,1528330298,827382807,383134844,3130,0,105897700,2293760,179568640,0
2164187,2503286,1929804802,828210724,285666282,3599,0,104918488,5373952,214958080,1703936
2153374,2557222,1973172646,797693433,231652997,836,0,105853880,6750208,225640448,0
2275962,2539402,1985740807,829548027,244309841,3766,0,105203456,5046272,242089984,917504
2412584,2743456,2083959282,829813470,225182905,4109,0,105025398,6225920,238288896,0
2209679,2422705,1873785775,833099795,283508967,2663,0,105312768,41746432,186187776,0
2621208,2898989,2171890469,837357705,188094230,4296,0,105369435,41746432,242679808,0
2638062,2919054,2153601359,836322001,189382052,3835,0,105315648,41811968,232325120,2818048
2643125,2932004,2156257199,837065330,189567533,24,0,105360972,41746432,253296640,65536
2652706,2953868,2150310098,836860782,187065639,16,0,105416457,41680896,247332864,1507328
2666644,2986966,2155742004,836153959,185972458,270,0,105381207,41680896,254738432,0
2694301,3006730,2164473791,836345047,183192690,503,0,105522855,41680896,245497856,0
2694759,3037851,2183014987,837160794,183585789,16,0,105650814,41811968,241172480,0
2684203,3013763,2156259262,837063208,185276930,331,0,105267180,41811968,244252672,2621440
2707494,3060122,2175689992,837197263,183337700,695,0,105219285,41811968,263127040,0
2726505,3090100,2182747202,837632004,184196583,1,0,105383331,41811968,248643584,1638400
2731606,3087606,2172605067,837830771,183144412,4,0,105324138,41811968,263061504,0
2734665,3081305,2158306660,835912851,179208385,386,0,105151443,41353216,258932736,0
2719402,3095220,2165588450,836634237,180729014,147,0,105172230,41746432,273547264,655360
2740777,3157214,2202276885,837516328,179028436,137,0,105530661,41287680,273612800,131072
2757623,3181540,2216334844,837807071,180049894,7,0,105454788,41811968,271843328,0
2770273,3186084,2200969675,836563667,178772970,1273,0,105161961,41811968,279904256,0
2779876,3194164,2206960828,836535816,177257509,2269,0,105378666,41746432,263651328,393216
2774637,3182717,2200193912,835489277,177059058,1354,0,105592086,41549824,278528000,786432
2729010,3187421,2194789479,835845174,178456224,466,0,104880780,41680896,281477120,131072
2457088,2899053,1969363962,759318130,166091257,739,0,105275874,41615360,238288896,0
835300,905322,646913205,270097279,62206167,914,0,105402468,41091072,68222976,0
5629564,4778130,465807465,220268870,66500708,1015,3,105530628,41877504,872873984,38731776
27829894,10703122,760391567,649883573,343963510,20249,0,105142674,41877504,1101725696,0
46050610,8699125,428203621,836703080,570869149,19928,0,105102465,41877504,551813120,2162688
45345020,8574333,432084935,835359591,565817884,29660,0,105604467,41877504,543227904,0
46122874,8650834,429390815,837107346,571960782,11662,0,105102033,41943040,554106880,786432
45672710,8591594,425586853,828426982,572052662,14356,0,105417261,41877504,553910272,0
42305161,7933877,398982517,782383339,536226884,17726,0,105312192,41811968,506265600,1376256
45661581,8597401,432973675,836644024,569008379,32801,0,105651090,41943040,550043648,0
45615827,8588398,429135159,836174558,570582826,21141,0,105165507,41943040,552992768,2162688
46318223,8691607,428509181,836467656,569444705,18391,0,105072648,41877504,550174720,3735552
45863066,8620634,429408380,836396313,571527837,11581,0,105692103,41877504,551944192,0
45402617,8544818,431782258,836041948,567587463,27825,0,105134019,41811968,541458432,983040
46344436,8633766,431086402,836565109,571221731,14559,0,105412155,41811968,552271872,2031616
46139949,8739408,427651779,837020571,571406364,20864,0,105205449,41811968,554369024,720896
45984951,8576693,430641353,836076597,570626162,14482,0,105320040,41877504,548667392,0
45208930,8525110,432536360,836702207,567284067,34247,0,105481137,41877504,543948800,0
46435967,8690525,428885840,836235608,569776251,17158,0,105070104,41877504,552075264,1507328
45904894,8679632,427278649,836949137,571921567,14910,0,105375810,41943040,554500096,0
46552548,8642803,431363559,836730054,571030134,11808,0,105521112,41811968,550764544,1048576
45559491,8672845,433940880,837009408,569989034,33978,0,105410856,41877504,545718272,0
46277709,8705524,428215901,836175885,570287268,22786,0,105653856,41943040,562495488,7274496
44547982,8420769,425824409,833394755,568165865,12538,0,105187584,41943040,544538624,0
29938157,5724537,289571136,799637045,620166630,15461,0,105642954,7471104,341573632,0
28032658,5345385,273072961,807207704,632648955,14003,0,104939199,5177344,334430208,0
21586921,3971655,189169828,829061953,708164290,38,0,105644367,7208960,257490944,0
29196647,5389390,276250178,804153813,622797256,14744,0,105149487,8519680,363790336,5898240
33872770,6378206,312902664,734407787,528809211,20209,0,105309831,10551296,406716416,0
34113137,6446224,333371536,738198902,523778600,19223,0,105574200,5308416,405667840,1376256
39342565,7378553,377369292,826093410,590092970,14433,0,105103317,12255232,492699648,6553600
25949732,4822113,259847906,599338281,442315398,12125,0,105218805,7143424,298254336,0
27512144,5183094,251940464,802287059,642675537,25,0,105286722,8323072,341508096,4325376
28219350,5385188,271315130,791376187,623036510,20658,0,105636090,4718592,329449472,0
21111957,4089035,219527992,793281727,658063813,11768,0,105616020,6160384,267911168,0
34286915,6698704,338578785,798155724,588427926,14728,0,105363708,10158080,424607744,3080192
36528050,6608802,339586678,825829933,608620786,14628,0,105062007,10813440,434241536,393216
36027691,6870973,347541108,827523042,607380464,14026,0,105296664,11337728,440401920,0
38029377,7175193,352833758,791902106,567370334,22872,0,105315849,10092544,449511424,3407872
28536060,5597569,267821247,829515619,664381528,32,0,105129522,4521984,327811072,0
24476702,4664506,244570485,723067483,564728662,12859,1,105763383,7602176,318832640,2686976
19867234,3808052,202411913,629949568,499854580,15524,0,105409320,4784128,236257280,524288
22596601,4259915,203546299,826962140,698747536,14,0,105270441,4587520,268435456,0
35802925,6590424,336868831,807408162,594666918,14725,0,105567279,9633792,433782784,1835008
37379254,6910851,357364364,800037544,576538562,16390,0,105662403,9502720,445382656,0
37385324,6795418,356060184,769520607,547216921,8965,0,104493759,10551296,447807488,0
35830101,6818581,335503517,772491659,562202349,15054,0,104960931,9175040,436469760,2490368
26267649,4851252,249633300,817951261,652640294,19793,0,105555975,4980736,315555840,0
30001303,5447164,286516832,814292345,631845256,17346,0,105169611,9437184,368771072,2228224
28584127,5260043,276113765,775169961,595468968,12424,0,105865062,5505024,340787200,0
21704033,4108051,195672330,786219474,660142164,140,0,105647358,5505024,265027584,0
27499081,5209890,270157793,675508018,506952919,11546,0,104699259,7602176,339607552,4063232
37653688,7111484,345114554,811757997,596692682,21109,3,105437553,10027008,444399616,0
36776593,6728700,346577758,784106549,561502451,20522,0,105298485,5046272,436666368,0
36086577,6726194,344608986,787405161,573734528,12712,0,105564756,8912896,437452800,2162688
32388458,6327963,322048937,822079019,624296487,12501,3,105173928,6684672,397082624,0
22015669,4149994,213726791,669754747,539019882,45,0,105944205,2555904,254410752,327680
33066617,6184734,302185872,781544608,599683655,13941,0,104606217,4849664,394002432,0
