l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
106237,37278,231018845,97170387,3190354,0,0,952039732,21168128,96272384,65536
109612,35716,231436419,97392872,3280486,0,0,104655443,22872064,12189696,393216
115858,42637,231154497,97331981,3357604,0,0,105091194,25559040,11796480,0
115173,46559,230618080,97335611,3538391,0,0,105086214,27066368,8126464,393216
101572,38899,231336907,97434732,3371320,0,0,105086685,28508160,10223616,0
135749,48868,230982245,97274406,3439495,0,0,105147320,30212096,10485760,262144
124003,47471,230832477,97386592,3471527,0,0,105078430,31719424,11927552,0
15432,6538,29068330,12518398,590428,0,0,4638472182,1441792,17629184,131072
126911,60341,279015080,120596524,6486538,0,0,104610591,7405568,8323072,0
132576,52721,281204592,119699576,5228861,0,0,105155169,13762560,8454144,196608
143522,53143,282113419,119698096,5361812,0,0,104900034,19070976,8585216,0
194103,57708,283097873,119874150,4703144,0,0,105391521,23658496,9699328,589824
126965,45287,283427271,119851786,4565480,0,0,104822994,27918336,12910592,0
140648,50246,283282939,120023158,4701676,0,0,105171228,22478848,14811136,327680
147671,51541,282495829,120107549,5410510,0,0,105220116,21561344,12779520,0
246482,106951,247194466,111091743,4915322,0,0,104853381,26279936,22151168,65536
130535,45500,287919244,120985742,3923763,0,0,105153324,27656192,10027008,0
141596,50575,284154695,119818845,4209914,0,0,104931198,29818880,13369344,327680
135019,48867,284227732,119922490,4467193,0,0,105069024,21692416,17432576,0
136434,51364,282845422,120276631,5366438,0,0,105118167,20643840,10092544,0
133880,53760,283167358,119991243,4780458,0,0,105064383,23068672,12189696,131072
141325,68504,282443243,119912517,5196740,0,0,105148797,25559040,9764864,0
142186,52460,283426999,119901791,4885863,0,0,105130668,26869760,11468800,65536
144587,55433,284345458,119930627,4547762,0,0,105058071,24444928,16318464,1048576
160025,56208,282379225,119925786,5248825,0,0,105163119,20381696,16056320,0
145764,50202,283103014,119853276,5058975,0,0,105082365,23592960,11468800,196608
135082,51069,282020647,119861968,5329072,0,0,105017523,26017792,14614528,0
150961,53549,281114111,116395114,5150149,0,0,105093990,27066368,17301504,393216
143932,58427,280833198,119961813,5648220,0,0,105087477,23396352,18350080,0
155291,64149,278809427,120044486,6093744,0,0,105103089,18743296,17039360,0
