category,bfs,canneal,streamcluster,MG
runtime,39.217063426971436,69.10652899742126,116.0039484500885,123.34598588943481
l2miss,7595454.601889338,61576983.937007874,164588148.48140043,71936394.70691164
l3miss,3317145.425101215,34106118.2519685,131008363.26477024,58849158.95013124
instructions,5495304797.48988,2022588056.1259842,9584777233.934355,4767962382.458443
cycles,2416643461.4844804,7899563712.913385,15130531522.905907,2584697272.0034995
stall_cycles,520726964.9932524,6481792686.519685,9979260822.669584,662607524.8731408
intra_coh,574668.2051282051,173055.2913385827,11362857.864332605,133624.88188976378
inter_coh,0.08097165991902834,0.15748031496062992,16.166301969365428,0.7349081364829396
wall_cycles,2125028510.9581647,2261321205.8267717,2116688134.249453,2237512321.8285217
llc_size,163709104.88529015,640874995.9055119,767563941.8118162,109739257.95275591
local_mem,328044383.6977058,2647222997.669291,8433344565.776805,5147947405.774278
remote_mem,3229925.398110661,5981837.102362205,26704270.844638947,139202936.27296588
