l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
673044,189592,97735844,101036960,47258977,0,0,911841625,24641536,137494528,0
685275,193997,96495825,101353705,47962984,0,0,105094347,25624576,18284544,65536
690520,195074,95870123,101344641,48338220,0,0,105231716,27197440,18022400,0
700087,199619,95120056,101354770,48718419,0,0,104964847,27721728,21102592,458752
704687,200745,94207674,101498503,49288794,0,0,105406761,28966912,19202048,0
203270,59001,27104400,29446758,14495759,0,0,4708919991,720896,28442624,0
705429,316965,92727140,125445977,74625213,0,0,104829522,16646144,17891328,131072
815296,286456,101247542,127805701,71530731,0,0,105195909,22282240,22872064,0
849065,272232,105621253,134225216,75397636,0,0,105166941,27394048,23330816,0
848858,262353,105594215,133286298,74371340,0,0,105191886,30474240,21954560,524288
843586,255526,110505039,134841858,73025274,0,0,105135750,30539776,23396352,0
810872,250353,102397261,127212380,70271550,0,0,105161502,22216704,29818880,0
775926,282497,98149391,125837735,70835467,0,0,105167004,18677760,28901376,196608
821943,291579,99142721,131876437,76504062,0,0,105110973,21037056,26476544,131072
823859,287401,101954247,135132991,78706553,0,0,105136626,21823488,25165824,0
826183,292779,103163550,136742228,78215339,0,0,105179328,22085632,26411008,524288
834537,292984,102959499,135515652,77656668,0,0,105128265,21823488,23920640,0
781836,296673,93483507,127240282,74294777,0,0,105139998,13369344,28377088,393216
785331,302371,93790353,129321914,77415840,0,0,105130164,16318464,27459584,0
824545,298732,99265961,134709878,80319171,0,0,105166149,20643840,23265280,0
828441,297017,100522817,134531169,77924985,0,0,105162441,21954560,23986176,0
859219,299326,101664882,135657989,79703482,0,0,105158274,22740992,25362432,262144
819774,294991,97039176,131763309,77090121,0,0,105111279,16056320,29687808,0
783744,305004,92122846,126508643,74697068,0,0,105172158,15073280,28311552,131072
810725,305243,94516844,133485808,82132756,0,0,105141282,20840448,23920640,0
843565,308163,98717823,136605362,80622070,0,0,105136536,22478848,25690112,0
740776,305462,97314521,134564798,77713557,0,0,105154431,24051712,34734080,0
850081,304610,94167299,134395650,82162998,0,0,105135045,23724032,21692416,327680
807617,300738,92311293,127983936,76416835,0,0,105136881,16711680,28835840,0
784930,305080,89521410,128805137,78989617,0,0,105136002,17498112,24379392,131072
831827,316777,91949133,131719092,79671243,0,0,105186795,16515072,23789568,327680
844356,319284,93928692,135350848,81037836,0,0,105148794,21626880,25755648,0
858959,301688,91771339,131775994,81418921,0,0,105147528,22020096,27131904,458752
841420,313431,90448833,129746020,78295641,0,0,105135093,16121856,25559040,0
736351,285314,77466512,102876882,57868975,0,0,105171113,14024704,23658496,0
690534,277048,74974330,97725393,55993041,0,0,105059824,16121856,21626880,262144
591297,221497,64881072,87901941,55877975,0,0,105266378,22282240,27721728,131072
705523,270760,74642401,97550930,55644862,0,0,105102538,25034752,21233664,0
710265,256701,76390431,97513260,54701216,0,0,105025843,24379392,18808832,196608
715668,254942,76618669,97407139,54822350,0,0,105003932,21692416,20512768,327680
695313,268739,73087637,95079144,54083296,0,0,105198654,15532032,22020096,0
675216,271411,71400003,92848487,52991347,0,0,105117336,13893632,18808832,0
680374,271980,70737274,92783965,53042137,0,0,105117987,17432576,19791872,458752
