category,bodytrack,canneal,streamcluster,MG
runtime,28.436639547348022,62.91690516471863,119.5157322883606,127.05407094955444
l2miss,63426354.81751825,71416419.67213115,161104092.6486949,67989347.96547472
l3miss,2149661.2408759124,39783740.2003643,128339206.37569533,56446340.62474311
instructions,28449221642.70073,2340126095.118397,9377643943.568678,4517955251.294698
cycles,12630573034.81752,9332551260.14572,15180745557.047497,2503698728.861488
stall_cycles,1278658410.8029196,7691213667.176685,10135779071.519041,673373603.8142211
intra_coh,6886304.3065693425,201105.04553734063,11231085.742404792,13015.635018495685
inter_coh,0.3284671532846716,0.12750455373406194,21.335044929396663,0.8220304151253597
wall_cycles,2133362424.7445254,2262316795.6102004,2117029217.3127942,2151908633.6621456
llc_size,425869192.4087591,586325165.4644809,756479496.106119,113296201.7591451
local_mem,119143969.6350365,3127463868.852459,8253777144.441591,4809327440.493218
remote_mem,1887149.7810218977,6037906.885245901,23171196.43988019,141803418.9889026
