l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
22676309,18831619,1892100918,814521815,111509305,624,0,861936160,34996224,12959809536,7864320
23343990,18941641,1924541000,837223233,122890713,958,0,105102244,35389440,1609236480,0
19729868,15390921,1484665804,671461802,151097406,2066,0,105912016,37355520,1297416192,13762560
27448128,19996653,1682837381,799228230,135024945,6222,0,105148816,34471936,1758003200,24248320
27654635,20904148,1735125165,810553535,132062299,3600,0,105406536,36241408,1786707968,0
27530183,20287072,1714548609,810625027,138208691,2616,0,105424644,35389440,1777729536,9371648
14421119,11305554,831037341,474041385,133844890,1052,0,106066488,38207488,1025179648,15990784
22478216,21055768,1004380975,808002626,560284066,280,0,105904616,39452672,2250899456,8454144
22523051,20663523,1022650992,839060248,563588468,550,0,104984501,37224448,2164981760,0
12144226,10903224,771442310,452641415,143827853,168,0,4687087122,26476544,1213595648,0
25336418,21588444,2232144868,1026251385,318169762,894,0,105188232,13107200,1694367744,0
22492725,19352438,959961990,964531269,732570082,3449,0,105449292,29949952,2154299392,21299200
30487725,20561985,1817366133,999091771,292428902,7548,0,105460134,34406400,1915944960,9961472
31804760,20522883,1875110168,1003109672,240335123,5275,0,105442323,35520512,1924268032,327680
30028216,20549198,1837802764,949667288,210297470,2455,0,105484926,35848192,1881800704,2752512
13521403,11019085,920893594,427685615,74300096,1254,0,105340005,21692416,870973440,0
10735116,10473973,1314444872,787777936,168620605,915,0,105456216,31129600,720371712,0
19908877,14314911,1340257317,797449545,172330437,764,0,105385317,36569088,1049427968,18677760
28987461,18509348,1259037219,727719030,216322372,66895,0,105396144,33030144,1445527552,0
23204628,14718184,1794948842,789332427,200993362,5851,0,105455154,33226752,1347289088,11993088
19866220,18441399,1603963832,709232229,207331180,502,0,105487878,36503552,1761280000,12124160
9567843,9282647,737593092,358377058,117895047,79,0,105361878,21037056,893386752,0
24531678,18885066,1546919535,693823640,104242508,7905,0,105423819,31981568,1652031488,19857408
26429607,20359467,1679425380,757389774,109859795,3563,0,105586320,35127296,1715535872,7995392
26375314,20783519,1684839000,751050717,106781926,1740,0,105487071,34275328,1752432640,458752
22961514,18454137,1435703162,702585164,126979715,2242,0,105555327,34799616,1563230208,4653056
20554686,17962554,1752029929,717681179,75961671,2657,0,105493554,30867456,1465319424,1507328
20532748,18252435,1762567300,716786605,76021135,2318,0,105492882,33488896,1470955520,2228224
20649672,18279013,1765886870,717521022,75082359,1243,0,105406341,33685504,1483866112,5373952
18185993,16561824,1506368262,685455495,98275470,3552,1,105575712,38535168,1389297664,1900544
22730723,19180000,1495668345,648797089,81195065,8351,0,105433572,30998528,1539899392,4521984
22346950,19316911,1498122897,646651293,80818894,5048,0,105569316,35258368,1544683520,2228224
22356731,19392567,1499988964,646627006,78193902,3004,0,105463662,35192832,1553334272,5242880
18005129,14952267,1177746961,532543666,71017754,1475,0,105427752,23265280,1211629568,0
11469401,9671530,641720712,350507065,87912773,1153,0,105610275,35454976,816316416,15335424
28895532,18859795,1225397328,674961301,166787146,2486,0,105517411,35127296,1566310400,2293760
17493210,13015620,1333514909,569233927,118802886,79527,0,105394835,31391744,1103167488,0
18822078,14981663,1639245578,637171386,105256954,2183,0,105695057,31326208,1377107968,18219008
17020077,19311997,1497452289,608591810,168586954,664,0,105467341,34996224,1738932224,0
20656654,18398628,1390850015,595039181,70470275,9594,0,105424572,26738688,1447690240,1638400
20416270,18318774,1386033975,595762667,71147219,4198,0,105564508,37224448,1420427264,7536640
20254866,18402366,1394089988,596397556,70565343,5824,0,105432125,34471936,1437401088,0
19381505,18263717,1364199163,574622918,63194232,2905,0,105564552,32636928,1419575296,6815744
9412628,8826835,684576259,303833351,39296586,203,0,105420489,23461888,657195008,0
15806792,15191131,1332117879,551797756,60961704,1647,0,105461349,30932992,1215692800,14811136
16763758,16195443,1507756153,593336602,48401578,796,0,105615489,30670848,1247936512,2818048
16820631,16097295,1492268221,587750193,49885471,1445,0,105485487,31457280,1263009792,2555904
16441310,15839060,1467358604,570895808,43511168,486,0,105472491,30408704,1225981952,1245184
10616322,10813928,921818208,395660596,45282589,1872,0,105664242,32112640,833093632,5701632
18534845,17314430,1285573676,528054206,47129778,4039,0,105566895,27000832,1360855040,1769472
18056254,17537813,1278158089,523360601,49290674,2454,0,105553044,34275328,1288765440,5242880
18541606,17551921,1287495492,529030404,50688866,3494,0,105459561,31326208,1343094784,2359296
17770674,17258890,1252432358,511195710,47991996,2446,0,105578199,31850496,1283391488,2752512
12465084,11555374,855306727,376283829,49775693,574,0,105484290,20316160,872415232,0
3981944,4476333,278806462,154414374,55255720,310,0,105380418,8323072,254410752,0
2457083,894876,44954225,79307593,44506155,461,0,105681696,32112640,166330368,16449536
23881100,17419841,1052397425,517364386,85089909,2123,0,105541134,33685504,1375272960,4128768
20443653,16604478,1151066487,513773224,112003901,97774,0,105543111,27918336,1246560256,0
14637579,9223306,1330054146,482197648,35210849,2394,0,105577890,31784960,752943104,2621440
15343947,16903909,1357180261,471723899,66409727,1566,0,105716448,33751040,1482686464,18808832
15054313,16481633,1207180574,460149991,86692115,2290,0,105659406,31916032,1436745728,0
16156681,16345053,1162900066,462642268,36740826,5769,0,105550854,25427968,1214251008,7274496
16097630,16438061,1172858711,463579649,36882177,4214,0,105676548,30932992,1182531584,4653056
15999017,16271010,1144419427,451517104,35869747,1718,0,105578904,29622272,1187315712,524288
15278339,15590874,1108581636,447066871,39140188,3182,0,105569721,31326208,1143209984,8192000
14786404,15314183,1090121308,446447082,42109141,1303,0,105550752,36110336,1098645504,0
4758080,4973235,378970657,164831810,15717128,19,0,105305439,14614528,368640000,0
1286939,919951,64941540,117417243,54332900,42,0,105231657,917504,109969408,0
10970386,9636723,860411872,401439989,64966061,2908,0,105522873,29163520,778698752,13107200
11904654,12384351,1107744737,417896863,25484885,904,0,105381681,30277632,916717568,3604480
12007085,12417940,1109729363,418566536,25413873,714,0,105562854,29491200,920911872,3801088
10598259,10988026,981666081,367746027,20628855,89,0,105341232,28246016,812318720,0
10353852,10719052,961254969,359064744,19457633,393,0,105488112,27525120,782958592,3538944
6088302,6871025,655214548,242815428,23111968,327,0,105313863,24444928,476774400,0
4588111,4343917,454232436,166509251,9971224,235,0,105507837,17432576,329580544,0
3466393,2818205,328661221,119809368,4941580,1,0,105283821,16056320,226033664,0
5095721,5024598,396676402,250393734,72990486,2822,0,105414120,27983872,436928512,9240576
10741600,11041708,775275744,291837715,16065819,2961,0,105386193,22413312,804978688,3538944
9995764,10581982,740163496,287122606,19121124,1015,0,105448521,21626880,750059520,851968
10209919,10557053,749004049,290714154,18893653,1137,0,105506916,27852800,753008640,1441792
8935260,9140663,651139637,252271602,16248438,594,0,105317820,24903680,658636800,0
