category,bodytrack,freqmine,streamcluster,MG
runtime,28.55797815322876,83.99540901184082,116.99225234985352,123.24613952636719
l2miss,64512202.632541135,63649033.64864865,164236078.00437635,69301544.69838573
l3miss,2200669.1407678244,12952568.391891893,131362077.28665209,58459583.05862361
instructions,28363486406.80073,33310454794.60811,9573320638.949673,4635392068.258284
cycles,12513317348.592321,18478620010.60811,15142650527.466084,2514835397.850467
stall_cycles,1226019362.8884826,4643686291.432432,9997908473.715536,648366320.042481
intra_coh,6943341.97440585,16396715.648648648,11097589.916849015,105597.23874256584
inter_coh,0.6581352833638026,0.13513513513513514,4.061269146608315,0.7561597281223449
wall_cycles,2141818485.9232175,2342222224.716216,2118957165.645514,2155543557.86746
llc_size,505485038.68372947,581559379.027027,742853571.5010941,114465834.63041632
local_mem,115240323.51005486,827225503.1351352,8419037354.293217,4861525626.236194
remote_mem,3127037.659963437,8890755.45945946,24804443.868708976,76586917.5191164
