l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
108188,42164,231437728,97372050,2937223,0,0,1025856154,17825792,110100480,393216
111383,42824,231915127,97730743,2941146,0,0,104863366,17498112,11337728,589824
137201,52431,230839060,97470062,2910973,0,0,105101732,20905984,11010048,0
97176,37602,231599587,97527266,3067280,0,0,105095780,16646144,10813440,0
114433,37090,231401508,97504830,2912488,0,0,105103508,18677760,10354688,524288
127275,41097,230586744,97456204,3082944,0,0,105077930,15007744,12255232,0
103704,40454,231601377,97379834,2892625,0,0,105154458,18415616,9043968,131072
97150,39820,230687477,97507109,3021565,0,0,105131064,19595264,11206656,262144
27149,13030,60414700,25869447,977125,0,0,4669996272,458752,12976128,0
135391,78151,276110860,120369916,6774191,0,0,104910516,5701632,7733248,0
134387,68587,282426829,120243302,5126587,0,0,105051705,12582912,11993088,262144
125870,50855,289599440,122334714,4250943,0,0,105159252,18546688,10682368,0
124595,53687,280390534,119420541,4488251,0,0,105062040,17301504,14352384,131072
146199,62031,282044166,120114286,4539826,0,0,105075957,21692416,13500416,131072
142594,60292,265063854,111211144,5303495,0,0,105086574,14090240,28770304,0
114147,41855,221163235,93433303,3168139,0,0,105160776,13434880,8192000,589824
111238,45205,217721314,93100447,4004613,0,0,105050784,7602176,13369344,0
105692,44894,218717634,92997751,3583791,0,0,105045576,11927552,8978432,0
98463,39021,219615591,93160975,3361983,0,0,105109086,10944512,8847360,0
100274,44849,218933410,92951754,3624711,0,0,105125361,14024704,9830400,0
104727,40042,220567207,93046029,3010283,0,0,105171144,11862016,13238272,196608
122186,71676,279624595,117410662,5476575,0,0,105009525,11272192,13172736,0
136945,56051,284316660,120314237,4983482,0,0,105048273,7471104,15663104,0
131816,55302,283146285,120228265,4616315,0,0,105083505,12976128,11599872,393216
141841,56797,284050655,120963581,4518714,0,0,105090177,14680064,11272192,0
