l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
6418912,5527166,397688393,770892508,551049466,30816,7,1086990392,12779520,2955935744,1179648
4860310,4527077,303932833,750186802,579120765,67441,0,105985664,11796480,302317568,0
5531220,4402302,322030399,743803632,566668142,421333,0,104933532,5767168,298975232,2555904
4748962,3802106,266889027,664708711,510084508,520479,0,105295292,6356992,238551040,0
7237031,5562982,391460650,798546714,577931651,757566,0,105314952,18874368,375455744,2949120
4120461,3860022,251700418,771374442,638889311,123858,0,105934292,4587520,216006656,0
3630995,3140196,203258205,676153929,558737509,111854,0,105734236,4194304,205193216,5111808
3860254,3119999,214872880,776037266,656461163,420186,0,105299620,4456448,205193216,1245184
5760928,4112114,298807524,642034263,475128330,852488,1,104799770,4653056,270204928,6094848
6036872,4324636,300037850,714494524,542862009,911049,1,105054324,41811968,292093952,0
9121813,6174983,460649161,725418116,470734617,1322491,0,105375543,41746432,414449664,1703936
10042147,7165103,516212832,789776042,510764882,1509133,3,105177843,41746432,452788224,0
9832796,7007468,517265384,798769373,511640941,1382169,0,105557085,41877504,454098944,0
9971389,7019552,517613515,803136110,521576870,1614784,0,105478248,41877504,453443584,983040
9811535,7041658,517830643,799750251,516654705,1481463,0,105316629,41811968,446431232,0
9824420,7026259,516973373,804155274,520191753,1486656,0,105437661,41811968,457048064,0
9910229,7014918,514907522,793875778,512144789,1419395,0,105089604,41877504,446889984,2228224
9761768,7105424,515437909,800752009,514625522,1420444,0,105336687,41811968,452526080,0
10110468,7034350,518580877,798561155,514941732,1551081,0,105755121,41680896,455737344,0
9622529,6990936,513883117,802707395,521037859,1358436,0,105080631,41811968,448069632,65536
9849257,7031259,515327327,793544305,508314540,1403818,0,105303219,41877504,458752000,0
9894211,7079728,513865852,771356919,490357554,1406946,0,105560595,41811968,453771264,524288
9976313,7189886,518932709,763486744,481775366,1250374,1,105426702,41811968,463667200,917504
9525878,7226393,516021291,780946774,495885567,1045616,0,105253320,41811968,451739648,0
9928178,7078076,517788974,806307052,521801502,1554332,0,105212061,41811968,453443584,0
