category,canneal,nn,streamcluster,MG
runtime,68.18238019943237,77.73833298683167,117.53386783599854,124.2945704460144
l2miss,67854260.38850039,106252914.54183267,162275075.89254767,71358872.42844753
l3miss,49857453.67521368,11550.517928286852,129450909.14211439,59268227.15524718
instructions,1989510480.9479408,8884782213.014608,9464317091.360485,4668613357.1899395
cycles,10305475009.30847,16283889574.063744,15108851954.696709,2587484763.946227
stall_cycles,8823500439.73582,10668319650.239044,10018299822.409012,695181923.0442324
intra_coh,2485873.302253302,78345652.19123507,11025527.88561525,90840.09540329574
inter_coh,0.46620046620046623,0.1593625498007968,3.9601386481802425,1.3963573287077191
wall_cycles,2192446892.198912,2122959290.1992033,2118837304.2461004,2232131121.4050303
llc_size,121471256.06837606,583474057.6892431,748954380.8665512,105822735.54206418
local_mem,3676639871.7016315,141576907.30411685,8502286268.561525,4965726948.690372
remote_mem,11477711.266511267,1012196.1221779548,27476848.249566723,84065692.97484823
