l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
704064,211312,92935628,101227665,49593461,0,0,1075687992,27066368,190644224,327680
711032,212928,92787345,101592674,50017623,0,0,104949295,30539776,22413312,458752
714496,216389,92082116,101522835,50310408,0,0,105079556,31653888,19988480,65536
720167,219924,91101726,101545427,50732383,0,0,105127893,27983872,25624576,786432
722248,224530,90636561,101656769,51209489,0,0,105045729,26673152,20054016,0
715399,221506,90582851,101563108,51152302,0,0,105268893,30408704,19660800,655360
707094,218154,90802455,101581553,51159268,0,0,105008310,28966912,24576000,0
708046,221571,90499138,101605856,51350094,0,0,105192525,29032448,19791872,393216
233521,76349,29309146,33263983,17040782,0,0,4680421833,720896,28114944,0
1051679,476777,95045663,126680123,73308244,0,0,104933145,20119552,28966912,0
1098937,385685,101942577,125683450,68996812,0,0,104999289,23592960,28180480,65536
1119547,361218,104606924,125861496,67850136,0,0,105153426,30081024,27656192,196608
1129906,346942,93152070,115101906,62390747,0,0,105119946,32374784,36962304,0
1129129,362233,103713426,125931419,68506177,0,0,105030480,31588352,30015488,0
1130831,371689,103040815,126042843,69183943,0,0,105136920,20709376,35848192,0
1104424,408194,99923477,126453634,71348437,0,0,105099432,18874368,32178176,262144
1111583,405398,100270405,126187802,70962610,0,0,105124149,22020096,28966912,65536
1121333,402686,100166799,126147446,70983864,0,0,105113181,21823488,28770304,0
1124775,403868,99844208,126155006,71177284,0,0,105110121,21757952,30736384,262144
1124296,410152,99212659,126295273,71730787,0,0,105157650,16973824,33357824,0
1096501,446275,95548590,126462968,73769208,0,0,105075741,15204352,35520512,0
1113974,428166,97158955,126385724,72818147,0,0,105187110,19922944,31719424,327680
1115405,430347,92695961,114598894,66232127,0,0,105111057,20840448,39452672,131072
1123021,426417,95554431,126398151,73221802,0,0,105063435,21037056,31719424,0
1135084,426601,96171109,126494550,73237184,0,0,105116196,17039360,36503552,0
1109574,456257,93181116,126631501,75133758,0,0,105030186,13959168,34406400,0
1121572,443170,94172047,126499730,74407052,0,0,105171960,20054016,31064064,0
1141279,435089,94831890,126539891,74052700,0,0,105104001,20447232,31981568,262144
1142529,436377,94010384,126549781,74417783,0,0,105104439,21037056,33816576,65536
1150541,436306,94701426,126600547,74255911,0,0,105110418,20643840,34144256,65536
1124753,466882,91138237,126781828,76261793,0,1,105073428,13565952,39387136,0
1129074,460733,92224748,126656570,75578886,0,0,105091341,19726336,32702464,0
1053935,459163,92097034,122552703,67884612,1,0,105138759,20971520,43909120,65536
1144493,455219,92033623,126725408,75659583,0,0,105162714,21299200,29818880,131072
1152873,452328,92212788,126759646,75518664,0,0,105066345,20316160,33161216,0
1040240,434491,83193049,112677103,65538680,0,0,105108666,14221312,37093376,196608
948339,405988,75256551,97677417,55976859,0,0,105244227,13041664,30343168,0
955417,403162,75257150,97568332,55792424,0,0,105159835,17694720,30867456,196608
969442,386552,76775623,97516793,54862581,0,0,104957636,21037056,26804224,0
971378,383810,77031479,97522092,54682394,0,0,105104103,21495808,29294592,65536
974524,384527,76848414,97522298,54784818,0,0,105200250,21364736,31129600,262144
1007485,433017,80657365,105904948,59604031,0,0,105062733,13893632,33030144,0
987350,494099,87056357,126730449,75614612,0,0,105089364,14548992,45678592,0
1141477,500835,86911152,127041357,78670310,0,0,105132213,15794176,32702464,131072
1171120,476251,88973781,126915745,77327082,0,0,105105933,19529728,32833536,0
1177644,468315,89141313,126911147,77289049,0,0,105044976,20643840,35717120,589824
1180539,469241,88918302,126894740,77416042,0,0,105133515,20512768,37617664,0
1168043,474799,88311608,126905612,77745911,0,0,104993361,13565952,40435712,327680
1155901,500271,85844728,127065999,79118088,0,0,105165516,15859712,36372480,0
1177844,478495,87851283,126993781,77873958,0,0,105084342,20774912,33554432,0
1186722,475198,87827073,126983496,77913275,0,0,105109734,18284544,38469632,65536
1168505,493741,86143877,127011023,78927276,0,0,105091785,19857408,38862848,0
1040714,423670,80082475,119404783,78470734,0,0,105042171,16449536,45744128,65536
1133411,504953,81618779,125282519,80398364,0,0,105089196,14942208,34078720,0
1185145,490918,85598510,127076079,78973873,0,0,105133707,19136512,35061760,589824
1194510,482561,86380479,127093055,78688112,0,0,105073086,20185088,31129600,0
1200610,482576,86222837,127138060,78846636,0,0,105161844,20709376,35651584,524288
1198878,482600,85855940,127112195,78998424,0,0,105059382,16252928,35979264,0
1175146,507716,83209226,127315966,80705722,0,0,105083382,14024704,38862848,196608
1188807,495219,84843176,127180161,79602416,0,0,105091446,20643840,33882112,65536
1206107,488318,85103023,127144874,79289300,0,0,105132435,20840448,37617664,0
1204348,489075,84962551,127170055,79516663,0,0,105059847,20185088,36438016,262144
1206133,489470,84565495,127216500,79570829,0,0,105047085,17956864,36700160,327680
1015834,429243,72706060,114793334,74762289,0,0,105170289,20250624,45875200,0
1207404,491966,84703555,127215985,79746956,0,0,105105957,20447232,33357824,0
1210888,489519,84369264,127249697,79783643,0,0,105065391,20774912,38404096,393216
1213484,494260,84019323,127201720,79945274,0,0,105092280,20512768,36306944,0
1196262,503026,82747680,127297088,80761405,0,0,105103944,18677760,36503552,0
1211311,493753,83746004,127283669,80227579,0,0,105134778,20578304,39452672,393216
1213774,494277,84234952,127266107,80095020,0,0,105078522,20971520,36700160,0
1218674,494465,84261380,127302198,80215946,0,0,105144321,20512768,37224448,0
1199491,511318,82020490,127317433,81145658,0,0,105033519,13762560,38666240,0
1209323,510001,82388838,127374198,81082069,0,0,105080796,19464192,32440320,0
1150129,423718,71559002,114328373,72247217,0,0,105036549,19529728,43253760,262144
1213059,505379,82567764,127372957,80952445,0,0,105108897,18939904,36372480,0
1215180,505196,82381342,127349494,80958552,0,0,105079035,15794176,40501248,196608
1217078,510251,82026522,127382379,81333260,0,0,105062727,18743296,36896768,327680
1219530,508113,82388688,127371260,81164600,0,0,105038415,18546688,35848192,65536
1220262,507980,82066220,127391247,81292218,0,0,105138516,18808832,33816576,0
1222366,510222,81895706,127375998,81439403,0,0,105087471,17563648,32047104,393216
1213031,522006,80969768,127471436,82170093,0,0,105089613,18546688,34013184,0
1230377,514919,81753713,127397789,81763554,0,0,105103173,18677760,36569088,458752
1233850,516453,81692710,127439327,81811774,0,0,105102627,19202048,36044800,0
1235650,517197,81524771,127432421,81868609,0,0,105059847,19136512,35192832,0
1229481,527498,80221742,127423147,82467434,0,0,105089523,18153472,37355520,458752
1059060,435033,71333129,116058609,82218608,0,0,105040866,19464192,45613056,0
1232034,535852,79709676,127496293,82685688,0,0,105140595,19005440,37879808,0
1243307,520570,80430563,127532032,82491972,0,0,105088707,18415616,37879808,0
1220219,535367,78751271,127481874,83257353,0,0,105138114,12910592,39124992,327680
1229419,528169,79652272,127457427,82909319,0,0,105058314,17825792,35717120,0
1239755,525593,79627559,127422991,82699600,0,0,105047340,17170432,35979264,524288
1240078,527037,79602391,127581634,82914942,0,0,105136518,17891328,36896768,0
1241082,527446,79476752,127579671,83003150,0,0,105073809,17039360,38469632,262144
1242711,531304,78807199,127578090,83125684,0,0,105111642,17694720,37879808,0
1241493,533680,78738047,127549995,83139921,0,0,105074361,17235968,36569088,0
1242687,529469,79132962,127498646,83131306,0,0,105036996,17367040,37486592,0
1237247,527950,78751202,127527685,83331046,0,0,105030975,12713984,36831232,393216
1233195,541603,77604921,127513050,83722230,0,0,105058764,17301504,36569088,0
1108542,543024,77477016,123424198,73219199,0,0,105120426,17694720,43319296,0
1247734,533094,78017699,127651112,83654333,0,0,105116796,17956864,38469632,786432
1252251,533537,78151655,127602634,83719004,0,0,105104511,17891328,38404096,0
1235148,540465,77203530,127664285,84326814,0,0,105091479,16646144,40370176,65536
1247589,532748,77727494,127575058,83852408,0,0,105086121,17694720,35586048,0
1253590,534215,77587716,127621171,83749313,0,0,105076905,17694720,41025536,393216
1252218,534274,77260404,127692797,83954889,0,0,105140820,17694720,37879808,0
1237662,547075,76596075,127721907,84461483,0,0,105121974,14942208,36306944,0
1250200,539589,77088923,127696345,84112386,0,0,105128658,17432576,38338560,262144
1249927,536337,77141606,127667278,84131210,0,0,105079653,16908288,36503552,0
1255026,536667,77109854,127708031,84045317,0,0,105102936,17629184,32505856,262144
1251133,541038,76645758,127708864,84434938,0,0,105115302,14352384,37552128,131072
1255560,540681,76369867,127705410,84347910,0,0,105096378,17563648,38207488,0
1232678,526167,64646128,113472423,75396383,0,0,105109602,16515072,46071808,327680
1258313,541000,76412002,127661530,84476595,0,0,105108096,17891328,36438016,0
1255925,546025,75782501,127688012,84485332,0,0,105052305,12058624,39124992,196608
1234634,561536,74326543,127752955,85761965,0,0,105150867,15269888,38535168,0
1257544,546897,75298161,127773149,85067847,0,0,105093678,15532032,35258368,131072
1256275,547923,75523958,127766586,84912698,0,0,105097566,15990784,36569088,393216
1256335,548300,75342332,127787844,85053658,0,0,105121194,15269888,39976960,0
1249789,551282,74365743,127764831,85596971,0,0,105089466,15269888,35913728,0
1259988,548108,74897646,127835908,85318737,0,0,105120135,15990784,34865152,131072
1268022,548487,75494460,127806904,85036800,0,0,105120201,15466496,34930688,0
1265285,549880,74968914,127799531,85140998,0,0,105094467,15269888,37355520,65536
1242935,563499,73450439,127771305,85877110,0,0,105102501,11141120,39124992,0
1070594,428586,60893779,110660168,77149573,0,0,105106176,14352384,48234496,196608
1257951,566218,73534078,127856105,86003424,0,0,105119973,14090240,37814272,0
1260060,557647,74109300,127858889,85765413,0,0,105135987,14286848,38731776,393216
1255867,558088,73596811,127828716,86014545,0,0,105071550,11075584,38731776,0
1250656,560266,73533949,127833156,86049552,0,0,105100536,13500416,37224448,0
1261658,559195,73577017,127873166,85972450,0,0,105109071,13697024,37158912,131072
1260953,560320,73412180,127824497,86080346,0,0,105086700,13959168,36700160,0
1260001,560729,73402866,127811802,85969812,0,0,105097500,11206656,36700160,196608
1233265,576181,71752203,127915950,87114535,0,0,105081039,12713984,36700160,262144
1259862,564035,73011834,127862156,86248316,0,0,105065952,14024704,38600704,0
1261733,559901,73121702,127865047,86023367,0,0,105093348,13107200,42663936,0
1265742,563558,72878333,127881221,86211454,0,0,105219099,13565952,38535168,65536
1250754,567436,71933085,127840436,86754791,0,0,105210846,7864320,40239104,0
1047366,580634,71371922,127900114,84074752,0,0,104830068,14090240,42729472,0
1266698,564238,72801082,127882844,86291176,0,0,105269514,13828096,37814272,131072
1267401,561143,72772293,127905862,86342418,0,0,104950233,13828096,38010880,589824
1269771,561869,72583292,127768670,86459275,0,0,105206736,11927552,40828928,0
1006428,425381,69145082,127765973,87848683,0,0,104815929,13172736,27787264,0
920917,377989,69848893,127905594,87437390,0,0,105353088,13303808,30605312,196608
928016,376122,70122117,127816831,87202755,0,1,104774829,13828096,28311552,65536
925425,376536,69938151,128007662,87584970,0,0,105323190,13762560,26935296,65536
894668,386973,67491614,127785012,88730377,797,0,105200718,10944512,27918336,327680
916449,379448,68546338,127851877,88043526,0,0,104911287,13631488,26411008,65536
922812,377932,69254011,127993193,87809333,0,0,105316644,14090240,27262976,0
917516,375521,68796494,127791470,87874820,0,0,104698299,13631488,25165824,0
904921,375268,68749088,127724758,88445506,1202,0,105011904,8585216,29753344,65536
864454,392627,64379836,110963319,75420816,0,0,105044886,14024704,32440320,0
924413,378481,68919197,128006932,87918635,0,0,105133950,13959168,27328512,524288
922219,376435,68705414,127976394,88022133,0,0,105063711,13500416,30081024,0
920017,379716,68725678,128021851,88134861,0,0,105136953,14024704,25427968,0
896135,389691,67204765,128024701,88916311,0,0,105034275,11272192,27787264,0
918833,381674,68455349,128040473,88225701,0,0,105136074,13762560,25690112,196608
929180,378003,68583360,128039260,88149562,0,0,105052611,13697024,29032448,0
922493,378241,68761651,128052346,88162833,0,0,105109209,13959168,26542080,0
912869,380977,68045121,128022108,88435025,0,0,105050241,8388608,27852800,0
913180,387687,66888980,128032724,89021489,0,0,105062604,13369344,26017792,0
929203,379081,68299842,128024032,88358841,0,0,105094449,14090240,26083328,65536
930157,378972,67911977,128022516,88393035,0,0,105125940,13303808,28573696,0
890973,333840,61151819,118100130,81641250,0,0,105068829,13565952,33226752,196608
903753,333240,57212321,114393085,79983614,0,0,105069504,13500416,29687808,0
926936,379689,67705280,127778847,88249210,0,0,105139332,13828096,28639232,0
928726,378748,67968192,127903744,88384303,0,0,105092187,13762560,27787264,0
