l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5864599,4738489,317944768,834825496,645302445,591361,6,1164182466,6160384,3233087488,6422528
6176719,4631437,334099386,792172450,599563751,134180,0,104804248,4653056,332464128,0
3829022,3142323,225025257,727605187,593375001,447144,0,106037768,3407872,216137728,0
3977614,2904238,215863359,754011183,634197110,632249,1,105330876,3211264,196411392,1048576
6564059,4690516,308205064,772521688,606637616,924174,0,105558250,9699328,308740096,0
5126420,3741038,265218735,711782107,554834350,775303,0,105270514,5111808,235798528,0
5796240,4220184,295718570,720036789,549541060,839696,0,105097372,4063232,272433152,0
5301019,3963604,283618116,734292606,571002365,919423,0,105735276,5242880,269811712,9437184
5595853,4154496,301701269,748829578,579590385,813054,12,104796794,4980736,262537216,0
6848169,4998011,346545527,737216642,541305257,921482,0,105398669,41353216,332070912,0
9951722,7260188,521498407,768804004,486390449,1447278,1,105178575,41156608,461963264,3932160
10364073,7138844,513490969,746345535,464654996,1447581,0,105580104,41746432,472842240,0
10022106,7259668,522077911,761059659,480231928,1465985,0,105404991,41943040,463011840,0
9777047,7051572,514087975,799972506,515110524,1366377,0,105094632,41615360,450691072,2752512
9946034,7229468,520184498,785292001,501914166,1417218,0,105230448,41746432,464388096,917504
10151055,7103638,514650301,789357840,505703862,1511455,0,105348984,41877504,461176832,0
9846776,7103555,518436055,811077646,527136979,1425005,0,105472512,41680896,457834496,2818048
9772785,7052181,518390370,804829102,520265779,1438930,0,105468996,41353216,455606272,0
10002670,7132930,519197938,803517466,518784094,1455393,0,105358953,41811968,457703424,0
10009654,7159688,518493731,786321873,503320513,1375994,0,105191364,41746432,458620928,2162688
9660145,6990509,512003656,786121917,501845595,1184309,0,105614241,41877504,461373440,0
9794341,6982447,512967661,774132996,491727403,1373287,1,105223176,41615360,458948608,0
10211198,6896532,508739380,791680110,505108200,1425276,0,105325551,41811968,459276288,0
10008466,7201486,511843283,768823775,491511764,1439082,0,105350103,41877504,460980224,5177344
10018041,7068383,520686276,810897646,527697250,1620714,0,105057681,41418752,452788224,786432
9975062,7074694,517908659,806175356,522579850,1491779,0,105402093,41877504,456916992,0
10042124,6953019,515482716,801363807,517155271,1539492,0,105323064,41418752,459210752,0
9611233,7089389,525433373,794136387,510313764,1369878,0,105358128,41484288,451543040,851968
10053396,7137538,515457201,803506532,521647304,1608719,0,105318126,41811968,451018752,0
9819371,6959810,511785631,801346570,520350261,1477809,0,105554283,41943040,454885376,393216
10270874,7236625,522583487,786064841,499551220,1515024,0,105521274,41353216,471400448,0
9459402,6904400,512635637,778362182,498667893,1378352,0,105106584,41680896,442368000,786432
9935236,7098143,521697677,791739467,508408013,1429884,0,105317670,41811968,459472896,0
10059218,7003241,515720713,796215210,513694933,1519781,0,105979185,41615360,453574656,131072
9875941,7125557,507587341,757055776,474638038,1273597,0,105372210,41222144,459276288,2359296
10027730,7055088,515131358,800824360,514467037,1398079,0,104875617,41418752,464584704,0
10101431,7051216,516642128,788139064,500468215,1479715,0,105195936,41680896,466223104,3276800
9733793,7019930,515254437,785349364,501207331,1359222,0,106138452,41353216,453640192,2228224
9406107,6999150,515744950,790829510,505343364,1163020,0,105204663,41615360,460324864,917504
9940431,7269807,525634104,742173249,454000376,1286072,0,105307821,41418752,479068160,983040
9771699,6909837,509931454,785121657,503962795,1401414,0,104966727,41549824,449183744,0
9984455,7032349,518061080,810864334,527043543,1542194,0,105468096,41222144,453640192,1179648
10381582,7275564,520731040,773218077,488161061,1506958,0,105234675,41418752,470220800,0
9941930,7072556,517244414,787669422,504701833,1452333,0,105410961,41353216,458752000,3080192
10172797,7072122,517625322,781891869,499589299,1530748,0,105237582,41287680,460390400,262144
9826961,6946712,510913912,783923103,499726906,1353011,0,105168270,41484288,458686464,458752
10031684,7066992,520800665,788377166,506538053,1557552,0,105420918,41418752,458096640,0
9857520,7117138,519395918,774295983,490647132,1426685,0,105376194,41484288,459997184,0
10059766,7069334,517346149,789924710,509637942,1491608,0,105370320,41418752,459407360,1048576
9889155,7099304,514115165,810449246,526851875,1425777,0,105445806,41222144,458555392,0
9428483,6156125,452249467,680571967,427046501,1380591,0,105187074,41549824,428605440,2424832
10056491,7157145,518529793,766039703,483468318,1384964,1,105290022,40960000,468451328,786432
10026022,7174123,509924675,732202385,455802014,1391653,0,105253539,40501248,453378048,0
9171053,7079803,498153008,734450642,480722355,1205879,3,105353613,18284544,432668672,4063232
8777360,6319645,448691777,740246101,489992415,1262354,1,105321789,15269888,416546816,0
8093704,6019680,432322947,758017232,518813794,1269940,0,105211128,1310720,377880576,0
6218838,4667043,315618300,716724479,536987366,864753,0,105351102,10878976,308609024,3538944
6536045,4794332,340726945,776616232,576987619,946875,0,105359445,5505024,317063168,0
5215841,4116135,284871645,711599036,556209922,725643,0,105254385,1900544,262340608,0
7630300,5671405,403005687,734806262,507531463,1126134,0,105316638,3342336,368181248,524288
5380643,4128310,293370154,709779307,543271406,708143,0,105406581,5308416,272498688,2228224
6269411,4573281,324900862,770494161,591133178,1068327,0,105461223,6619136,291766272,0
6085355,4396985,301093159,738278564,562465411,886608,0,105419331,6291456,300220416,1507328
6125421,4567263,308219690,685643414,513104746,752873,0,105266574,2162688,285999104,0
6702707,4816884,350462866,773151011,577759063,1111861,1,105351363,5963776,317456384,2490368
6401684,4752885,336204106,716986343,524204840,831542,3,105397698,5636096,319815680,1048576
6888368,5082277,363483027,790715756,588006083,1046229,0,105416253,7143424,331022336,196608
6082379,4345342,312522542,728668342,549100992,897925,0,105449682,7274496,291897344,0
5607390,4216606,304197041,743059927,570774563,808613,0,105427605,4128768,269025280,655360
5439197,4253684,301279907,734761598,563457927,612342,0,105415014,5505024,277938176,0
6377655,4434962,310917663,731105832,554332391,1091098,0,105382485,11010048,296419328,0
6587249,4822560,334677078,695093047,505994915,868449,0,105429387,5111808,320012288,1376256
6913393,4955915,350371826,764787550,569929530,1032664,0,105258111,1638400,318439424,1376256
6771588,5036205,350882345,702901992,507867288,929493,4,105483426,4653056,335020032,0
5266515,3964591,274354606,735475328,582001460,726269,1,105396315,6291456,253886464,393216
6700081,4863657,349082996,803812020,607278007,1056597,0,105434838,6684672,318373888,0
6623776,4912594,334913911,753172223,565454353,1045467,0,105433422,7143424,315621376,786432
6092952,4410138,318272370,738135622,556952325,956400,0,105398286,2818048,290062336,0
6974435,5182643,348235256,772050181,570871133,1015018,6,105460167,7077888,334561280,1572864
6653678,4895868,356199520,734437545,533041383,1039604,0,105598836,8519680,325648384,983040
7025971,5093524,356492261,727364332,523556464,1021588,1,105247044,3342336,331218944,0
7317151,5629033,390869028,749715122,535363434,986191,0,105469850,7077888,366411776,4390912
7191631,5185829,363079248,737580080,531375669,1093405,1,105528229,6881280,339935232,0
6432775,4739368,340359888,734328371,543076084,992282,1,105383675,3735552,304414720,0
6695230,5004912,348987371,777556136,580542741,956681,0,105487375,6094848,324993024,917504
6580358,4910884,342793088,722474302,528793141,849346,8,105353661,7077888,324009984,0
6770322,5059951,346911849,733157642,537399083,934257,0,105435396,9502720,333316096,917504
8731008,6435460,466430447,743551981,487956403,1236904,3,105448773,7143424,417202176,0
7241324,5326612,373771194,767784631,555257903,1179413,0,105233262,1310720,338100224,0
7363642,5456880,394711419,767713454,546352153,1139691,1,105419919,9371648,361758720,0
7847901,5935319,418397413,744757343,514061936,1132968,1,105410652,3538944,375652352,0
5045213,3812153,267298961,720768612,570721739,792245,3,105436032,6356992,244711424,1376256
6811524,4996016,349479764,724635919,524721911,893183,4,105413982,12976128,333053952,1245184
