l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
4023761,3099768,213625743,837100046,698174687,310783,0,1048817122,3604480,2806054912,5505024
3765297,2994696,221608869,735960966,612635910,478201,0,105667956,3932160,210763776,3670016
5541010,4731955,377806434,693534371,499941823,592842,0,105020980,10158080,300679168,0
3996337,3124543,231991152,746568059,615738734,383569,0,105877108,18153472,231276544,3211264
5504388,4866132,322682998,743435773,563012237,188037,0,105314308,5177344,298516480,3342336
5579407,4480451,315090317,782764708,606611911,560885,0,105397312,5898240,295174144,0
5916206,4277482,335555876,741689623,562939659,978217,0,104574759,6881280,289144832,1507328
6218740,4658141,330858195,637829699,454285396,934880,0,105497661,19529728,290914304,3211264
8507515,6164816,441114314,718320701,470447127,1290801,0,104847765,41877504,391577600,0
10252307,7359553,522613719,765406780,481572781,1419116,0,105304359,41943040,471007232,196608
9726761,7156590,518058423,787602713,502060941,1431544,0,105604653,41943040,459735040,3866624
10392111,7095063,514704879,761662984,478120033,1563103,0,105315168,41877504,470024192,0
10103400,7427664,522119262,765791885,481436106,1425579,0,105556455,41877504,471465984,0
9959387,6984373,525903422,815405396,526668033,1491857,0,104928432,41549824,452067328,1572864
9917019,7022293,517509251,794462078,510118759,1484247,0,105533352,41877504,459735040,0
10116934,7158365,519585731,760856256,477802149,1367697,0,105323142,41943040,466026496,0
10106169,7139641,522303755,798283595,513122396,1575410,0,105298251,41811968,461504512,851968
9852943,7112130,516169425,777447876,492365011,1345599,0,105268125,41484288,465108992,0
10204877,7181584,516903929,793569556,508286768,1430906,0,105074886,41877504,459538432,327680
9989595,7214388,524771459,789885835,504168022,1493310,0,105584964,41680896,466354176,0
9586602,6972854,513729951,780015216,497876244,1320830,0,105104511,41746432,457375744,4063232
9573677,7064778,516330098,808691117,523869720,1190332,0,105476028,41811968,453574656,0
10156408,7305086,519333815,752695636,470874539,1431023,0,105180558,41680896,465829888,2686976
9935276,7100576,521863225,812124411,527582120,1501865,0,105381552,41877504,460455936,0
10149797,7068236,518575743,794717338,508414782,1557176,0,105374331,41615360,463863808,655360
10303569,7259406,519356834,794729022,510793189,1531874,0,105372303,41549824,454033408,0
9930978,7061595,515294128,765605604,485941747,1454939,0,105255708,41746432,468189184,786432
9860490,7050011,528419538,814466060,529769651,1565865,0,105309690,41746432,451739648,262144
10057177,7135897,520045875,797113759,512566899,1467075,0,105557574,41746432,465305600,0
10199548,7151805,513532970,763441803,482985008,1613537,0,105588051,41877504,462684160,0
10332890,7283896,520572873,761516192,479359329,1524473,0,104974608,41680896,466616320,3538944
9914383,7097145,521245691,812475377,527258946,1487289,0,105701553,41877504,458358784,0
10072760,7196049,518871292,792429013,504920346,1509535,0,105310437,41680896,463536128,0
10019088,7077089,518326068,797958805,513321045,1483284,0,105326409,41943040,462159872,0
10179428,7011263,518828427,791037672,508109835,1561585,0,105426219,41746432,461111296,0
9773891,7080862,516027292,773811663,490784207,1302497,0,105151170,41156608,454819840,1638400
9995495,7137416,522901552,803117811,514705828,1496038,0,105354249,41811968,463667200,0
10017647,7056375,515050714,802268967,519288860,1485055,0,105553383,41680896,457768960,196608
9502327,7062260,518373041,783929803,494596137,1298227,0,105424980,41615360,467861504,196608
10176340,7049764,504524745,756344947,472754851,1209710,0,105078837,41615360,464257024,2162688
10017327,7159876,521905838,792984709,510519332,1539728,0,105430689,41615360,461963264,0
9998142,7185014,524791356,790847640,502070438,1434028,0,105575298,41484288,466419712,2162688
10247256,7188517,519849240,766961421,485535930,1584981,0,105449856,41484288,461373440,1507328
10226975,7220333,520067191,742622260,457784798,1535802,0,106040361,41091072,474808320,5111808
10127939,6935078,504082530,773810835,496566222,1525758,0,104383377,41615360,451805184,0
9987024,7113655,521718730,811639348,528037687,1524466,0,105356337,41418752,457900032,1769472
10270208,7317987,521976939,784848712,502830196,1503096,0,106031991,41156608,458031104,0
9972761,7071194,517833538,791955361,508857014,1588621,0,104624091,41025536,468975616,0
10519436,7172581,521927054,776195038,486362854,1508520,0,105768111,41091072,475398144,0
9966608,7103441,510897279,778317688,497495586,1394827,0,105297690,33882112,456523776,851968
8980866,6462904,474522412,739698154,477229460,1424715,0,105295203,35258368,420020224,0
10139629,7219875,512315176,775569321,494645307,1489155,0,105414462,35979264,463667200,0
9583423,6999582,480634413,715796000,455636685,1290674,0,104897271,9437184,439091200,3276800
8426711,6355159,444339501,758434481,512107070,1250664,0,105495144,3735552,406978560,0
6143695,4544248,318796552,727289509,544295685,943249,0,105238869,4259840,302120960,3276800
6495812,4797179,346613307,759567993,557391019,942255,0,105429372,4456448,333905920,0
5208472,3900460,305428312,733779472,571161422,790442,0,105424053,4063232,249430016,0
4811143,3562007,283346610,567804622,416812730,717050,1,105339510,4063232,231014400,393216
5907635,4320528,308026277,791932230,617444833,931723,0,105354561,6881280,281083904,0
5708303,4349583,305538734,729538970,557481347,694405,0,105359385,5439488,286588928,917504
5865757,4522965,310678478,750364417,575517788,841241,0,105407394,5767168,286982144,0
6768447,4988470,348769635,794472487,594975847,1055561,0,105290031,4325376,319225856,0
6817517,4948255,343851521,723705536,528730098,874598,1,105335196,11272192,340131840,3670016
6784564,5028815,350090964,727749469,534679423,1098009,0,105380754,6094848,314834944,0
7250039,5370324,368154220,790162701,580121333,1098528,0,105386574,12517376,355401728,0
5760986,4373779,310433841,726967187,550974776,833866,0,105314808,8126464,274268160,2555904
6470023,4617053,322581272,779153558,592651400,1047597,1,105383328,6946816,310575104,983040
6015683,4435579,307725968,746026840,569340405,776133,1,105431010,6946816,291438592,0
6529269,4986854,334405932,722790406,536749630,875311,0,105397596,5439488,319946752,2752512
6967254,5195958,352426029,743724567,544781969,1058837,0,105299709,5636096,326107136,0
4760891,3478829,276497548,517270991,362500195,672224,0,105391905,7602176,232390656,4915200
5912895,4636092,331691756,781631258,592893534,673364,0,105396624,4980736,295501824,0
5883707,4348329,292862766,736788019,575173352,1002814,0,105330030,4849664,277217280,655360
6353283,4690373,326924281,759617257,573093066,1008480,0,105395178,9699328,298844160,0
5379345,4037786,286847614,661719294,499444394,800724,0,111452655,1245184,257032192,9764864
4929944,3641948,299209134,585260277,428844812,640783,0,105499878,3145728,240517120,0
5266298,4105821,289813797,572780327,412564709,732415,4,105475716,4784128,263782400,14811136
5197647,4088027,318199855,559232785,393672336,726415,7,104954187,1245184,255852544,0
4506934,3514446,288117785,504929574,353432176,563535,0,105448821,4718592,227999744,2359296
4293527,3218409,247896582,470797497,340799203,703178,0,105563697,7929856,207290368,3604480
7334741,5385287,384067254,777441570,561998951,1159550,0,105534657,8585216,354091008,1769472
6867361,4986204,349004321,745609050,543847165,919128,0,105695746,8060928,331874304,0
5832277,4298402,344320386,647177862,463936831,883619,0,105283902,6488064,283770880,15138816
5450637,4006937,310887413,609191278,440500571,712448,0,105279908,5439488,261619712,0
4011873,3085163,248293524,499998361,367738138,547001,3,105372446,12910592,201588736,0
6927665,5078037,358514952,654877524,452218655,896959,0,105525263,8519680,348717056,15204352
7568945,5451960,410343101,721253626,502920184,1111689,0,105365425,6815744,347406336,0
6874729,4601530,346904460,637327146,434936453,975979,0,105484544,1638400,318963712,0
4558098,3804640,306342502,565984776,401645093,716115,0,105082788,1769472,244383744,1048576
4147917,3447529,271732326,633180486,485537888,554625,0,105056936,2883584,254803968,1048576
4258426,3069815,271058018,453246801,310034022,422508,0,112815280,12124160,212860928,6094848
5557309,4157884,293675871,613854433,447226466,772071,1,98022238,6881280,240386048,6488064
6047252,4450578,312628167,655119121,479906526,878875,0,105194950,6488064,287309824,0
6724758,5255916,393422202,726338414,515985524,988442,0,105871458,7274496,343212032,6553600
6495136,4677870,349681962,669942153,482812107,1073634,0,105106482,327680,296091648,0
4981966,4048662,351792016,541189699,360020884,677953,0,105228460,5963776,265814016,51183616
4890322,4106653,291380270,488442666,328400928,593472,0,105333816,917504,239206400,0
7555055,5453863,403792444,678663599,460107073,1101282,0,105218948,9371648,372572160,3473408
7467871,5554940,389132098,723932498,507827981,985227,0,105654387,9568256,359202816,7602176
6703310,4836544,377563907,681572306,476192313,985225,0,105811561,7340032,312934400,0
7181671,5376838,362353832,682616136,481875179,978222,0,104745022,8585216,331677696,0
4768843,3866637,310265236,499052042,335722592,426383,0,105279622,4784128,247988224,3604480
4922606,3834439,326349762,521711246,354323204,538934,0,105444788,8716288,258605056,0
6325326,4705405,356840238,650598992,453930257,1096092,0,105446638,8716288,300089344,12517376
