category,bfs,canneal,streamcluster,MG
runtime,39.187737703323364,68.91759276390076,114.10822701454163,391.46262407302856
l2miss,7549805.373134328,61598204.91311216,167087723.1091314,430408527.3630272
l3miss,4066646.5671641794,34241670.394944705,133359929.844098,308701448.4325319
instructions,5472800850.447761,2028353642.385466,9729179482.788418,27493392928.98699
cycles,2396220937.394844,7935269826.8878355,15097600882.280624,14038376072.897121
stall_cycles,500346260.10854816,6513838416.666666,9868322443.314032,3179873429.1157537
intra_coh,642610.2035278154,174805.79778830963,11413107.216035634,338462.01287610043
inter_coh,0.16282225237449116,0.2843601895734597,22.761692650334076,0.20233872027328864
wall_cycles,2131165928.358209,2263641072.2748814,2118995391.9198217,2148395485.7784786
llc_size,165036898.99592942,639250360.821485,764104220.5077951,623129135.1570096
local_mem,382269620.62415195,2652152882.148499,8547114041.015591,27788731951.29155
remote_mem,2223066.485753053,4860845.497630332,23424814.18262806,41529726.63776114
