l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
680438,183729,94942521,100822022,48167464,0,0,1142044668,26869760,272302080,0
683118,188964,93581035,101144856,49100645,0,0,104592207,27459584,19791872,393216
684383,195005,92446254,101195297,49690404,0,0,105122277,28180480,17367040,0
687337,200003,91448528,101241725,50294989,0,0,105244434,28049408,16252928,655360
690460,208250,90184240,101327413,51036144,0,0,105084600,28835840,20971520,0
601215,184135,77418208,88031301,44800762,0,0,4750161482,1441792,41680896,0
681137,332470,87961674,125701630,76432139,0,0,104661052,13303808,22020096,131072
749981,284699,91486584,126051760,75360390,0,0,104908617,18939904,24313856,65536
792068,274842,96963723,130352569,76064903,0,0,105309756,23855104,20316160,327680
793987,256504,101812421,130729305,74596472,0,0,124363710,28639232,24707072,65536
803110,261012,101639000,130413827,71752255,0,0,85684371,27131904,19660800,0
805402,265617,101237548,130273196,72793731,0,0,105067137,22544384,28246016,0
798440,268582,95223617,126809190,74906168,0,0,105157566,22937600,24772608,65536
813325,273339,100487748,134169519,76380236,0,0,105043434,27262976,22740992,0
737482,267812,102305374,129462664,69638771,0,0,105086379,30932992,28049408,589824
825813,272957,101277206,134679407,78039954,0,0,105344721,30867456,24903680,0
823149,267285,100046531,131486799,76726108,0,0,105002583,25559040,25690112,0
786449,275550,94296419,127074683,74464070,0,0,105092655,22675456,28639232,327680
801647,279278,97801642,132824702,77674615,0,0,105103023,27197440,23330816,0
831667,275125,98504338,130803486,77839141,0,0,105189975,30605312,25034752,655360
824820,270144,99187998,133860838,78145537,0,0,105150465,31719424,23461888,0
836610,269841,97779083,129100206,74097191,0,0,105078156,27590656,27787264,0
798325,283817,93259848,127538043,75660872,0,0,105130491,22085632,28377088,917504
810422,286376,94687775,133076770,79402928,0,0,105192497,26017792,26476544,0
823852,280189,94713124,130620464,78912101,0,0,104936860,30015488,23658496,0
834295,276916,96985442,135751180,79541267,0,0,105077012,31457280,24576000,0
857064,275867,95788271,132723265,78743987,0,0,105081950,28573696,26542080,262144
790276,268813,73915130,109204898,66076430,0,0,105165032,23068672,35258368,0
827971,298174,91804131,134463516,83043100,0,0,105124539,25755648,22347776,131072
828527,287005,92793827,132575718,82165797,0,0,105270335,29491200,24051712,0
846474,289594,95050749,137417870,82254531,0,0,105145948,29818880,25886720,0
859729,288941,94229057,133223821,80811866,0,0,105095385,32112640,24510464,262144
811153,282272,88460969,126347551,76050853,0,0,105166194,21495808,28246016,0
833782,301493,90554638,133275857,83198570,0,0,105123909,24576000,25165824,262144
832411,295296,91006529,134893696,85366482,0,0,105109758,28246016,23265280,0
856962,291664,93327781,136044265,82401104,0,0,105111219,30867456,21299200,262144
879292,292272,92912536,134266976,82624679,0,0,105129870,33554432,24903680,0
819714,288557,87654692,126995330,76952375,0,0,105072396,21233664,33751040,393216
851820,301848,88324457,132758579,83743735,0,0,105118686,24051712,23920640,0
848012,298527,89103742,132417787,83029079,0,0,105179259,28508160,24313856,65536
725008,244567,76428520,118358285,74551492,0,0,105084081,32833536,33161216,0
877046,299279,89642782,132430248,82025579,0,0,105145089,32833536,20905984,131072
833682,288300,84959601,127581741,79487034,0,0,105090954,23068672,32047104,0
857349,303134,85561743,129855818,84034165,0,0,105197052,24838144,26017792,0
850449,304540,88448174,135381290,85781660,0,0,104990205,28114944,25952256,65536
861215,303914,90922414,138196461,84725031,0,0,105185781,31064064,24903680,131072
898484,299452,88323127,131571067,82783577,0,0,105202002,32309248,25165824,393216
848548,280653,82522275,125932638,80504007,630,0,105198780,22937600,30277632,0
838059,302175,82708974,127714828,82162100,0,0,105129717,23199744,25427968,196608
843368,303092,86013788,136194459,88475932,0,0,105109563,26869760,22347776,0
860476,307520,87524855,135082598,83077746,0,0,105081348,28704768,27131904,0
887462,307174,86854483,132614613,83462837,0,0,105257804,32964608,27394048,131072
709890,286440,83280035,128253518,78899143,0,0,105149564,24838144,38207488,458752
821065,314135,81127209,128389847,82847566,0,0,105005226,22872064,26476544,0
848047,306226,84246170,134577077,87931995,0,0,105144875,25624576,20512768,0
