l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
13620,2968,307973146,100617324,6258933,0,0,1141930249,8912896,76808192,196608
13917,2853,307884427,100812635,6338510,0,0,105094333,8650752,5308416,0
14290,2992,308341391,100780029,6352884,0,0,105140654,9568256,5701632,65536
13598,2835,308479752,100857667,6320409,0,0,105398460,10944512,5701632,65536
14517,3049,308194864,100715385,6340975,0,0,105099420,10944512,6619136,0
14218,3040,308098403,100820598,6315282,0,0,105072184,11075584,6160384,0
13536,3016,308444357,100811954,6290516,0,0,104918152,11141120,7208960,131072
13878,3000,307739285,100730932,6355339,0,0,105092819,11862016,6356992,0
13784,2831,306884153,100388807,6239667,0,0,105151017,11403264,5439488,0
14438,2932,307705941,100753053,6323114,0,0,105109755,13762560,6815744,0
14251,2826,306650210,100386399,6328041,0,0,105067908,15794176,4587520,0
14302,3602,307443464,100642366,6321746,0,0,105148434,17367040,4456448,196608
14174,2998,308269498,100764374,6311185,0,0,105112170,20381696,7012352,0
14005,2931,308548737,100601585,6213466,0,0,105119535,23724032,6488064,0
14527,2954,307741843,100460921,6244020,0,0,105108294,25296896,4194304,0
14487,3118,307161209,100528518,6285649,0,0,105105258,27459584,5701632,262144
14267,2970,307754868,100696558,6298553,0,0,105110556,28114944,6160384,262144
14284,2922,308309020,100791323,6263252,0,0,105122808,29360128,7864320,0
13958,3036,308500763,100630167,6274327,0,0,105120330,30146560,5832704,0
14043,3043,307613487,100664903,6310906,0,0,105149487,31457280,7340032,0
14321,3005,307149880,100615614,6337539,0,0,105112290,32309248,7077888,262144
13831,2805,307677871,100613047,6290605,0,0,105105369,32833536,7733248,0
14618,2828,307760439,100616664,6328911,0,0,105111555,32636928,7274496,262144
14091,3180,306968533,100515405,6396893,0,0,105110796,33030144,6881280,0
14459,2949,307803227,100676863,6317100,0,0,105108642,33161216,5439488,0
14067,2881,307624408,100664782,6306666,0,0,105106563,33292288,9830400,0
14028,3179,308735262,100670075,6276994,0,0,105110343,33488896,5636096,65536
13958,3186,308756277,100626360,6332699,0,0,105111705,33357824,3866624,0
14059,3127,309067961,100542215,6287620,0,0,105184515,32833536,5242880,0
14069,3051,308205845,100620530,6295125,0,0,105039897,32636928,5439488,196608
14236,2886,307693599,100695845,6369118,0,0,105143145,31850496,6225920,0
13597,2955,308361733,100818264,6348950,0,0,105127425,32178176,6881280,0
13625,2945,308479580,100797650,6318836,0,0,105113082,32243712,5308416,0
13336,2506,302638238,99273586,6330605,0,0,105123465,32374784,9699328,393216
14163,2955,307942215,100563267,6314497,0,0,105088230,32768000,8912896,0
13901,2830,308274601,100675664,6295157,0,0,105112194,33226752,6291456,262144
13660,2941,309111073,100802537,6305634,0,0,105107493,32899072,7340032,0
13535,2721,308351968,100810187,6361907,0,0,105116469,33226752,6750208,0
14336,2987,307795975,100582347,6349678,0,0,105105957,33488896,6029312,0
13852,2809,308012325,100711151,6329838,0,0,105126339,33554432,4390912,0
13906,2904,308325462,100748166,6280661,0,0,105102273,33816576,6553600,131072
14196,2996,308605484,100834949,6317739,0,0,105137016,33947648,5963776,0
