l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
123726,51072,230655900,97148184,3204307,0,0,1112012177,22937600,112263168,524288
148083,54200,231136258,97345341,3347115,0,0,104571687,24576000,14352384,0
151029,55354,231633020,97421435,3295349,0,0,105497392,24510464,11272192,0
157078,51049,231291554,97372773,3458484,0,0,104819960,23003136,10747904,589824
122605,45180,230835606,97447932,3370401,0,0,105221532,23134208,11272192,0
132701,51588,230883436,97313824,3498633,0,0,105113301,22872064,15204352,262144
25672,9963,51080028,21682834,897629,0,0,4707334446,524288,14680064,0
165685,65630,273732411,119692701,7850697,0,0,104817135,7929856,8192000,0
145921,60254,283024398,121462881,5628095,0,0,105180300,12910592,12976128,0
158107,68928,287061607,123576302,6037638,0,0,105153024,17170432,13238272,262144
209320,89478,293115628,125153234,5615776,0,0,105151233,19070976,14942208,0
181830,69913,294069055,123195341,5297338,0,0,105125712,20643840,11862016,65536
155156,65921,274331937,118432929,5203682,0,0,105048948,16580608,15532032,0
117087,47201,218613935,93160594,4041144,0,0,105214515,7929856,14417920,196608
147219,59786,217558913,93082451,4594703,0,0,105028773,10289152,9437184,0
168881,118807,190860870,84769178,5033099,0,0,105152708,18546688,16777216,131072
123864,42838,222442276,93443411,3075206,0,0,105113341,20447232,6422528,65536
119604,43980,219281725,92741430,3327405,0,0,105022728,22806528,10354688,0
112638,37593,219448124,92547786,3217858,0,0,105101121,24510464,8781824,262144
104724,38055,213740143,89927844,3260654,0,0,105125919,18350080,15597568,0
100024,43370,208586660,88591369,3917275,0,0,105183870,15990784,14417920,0
107403,40440,209476130,88268334,3302446,0,0,105098868,14876672,9961472,65536
112996,37263,208013062,88311612,3952398,0,0,105132765,17694720,11075584,0
109803,40480,209207482,88352388,3317651,0,0,105137748,20250624,8257536,262144
119679,40822,209117960,88310452,3459498,0,0,105115392,22413312,8323072,0
111970,41875,204779615,86557795,3093478,0,0,105038898,16908288,12779520,65536
97104,35012,184489715,79252373,2968924,0,0,105075096,14680064,14483456,65536
121514,47096,197751050,83911106,3604579,0,0,105144582,14548992,9633792,0
106954,43063,197751359,83774044,3268588,0,0,105102887,16711680,8257536,0
