l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
8797965,6877111,488341427,830633836,558639666,1093088,0,1181667009,12713984,4482531328,8781824
8355010,6813718,472846908,749918932,481906691,840544,0,105617315,13893632,445841408,0
5784065,4984599,345165575,749676933,564894947,124403,0,105317008,5046272,314048512,0
3957830,3216351,211090412,753097525,634352064,385434,0,105355228,2949120,204931072,0
3944474,2896596,207708641,765394481,648041618,641879,0,105026628,4194304,190971904,1703936
4329576,3166470,210456115,723996075,604026183,706408,0,105809664,2818048,207945728,0
4201609,3182181,218183129,783045264,657171085,593519,1,104675260,4587520,207028224,0
5334066,4143173,304025094,745842700,568046211,950979,1,105659623,41877504,283574272,0
9865971,7019279,510032986,783738999,507693413,1564600,0,105065760,41877504,450232320,6553600
9671064,7050479,512802527,786959506,504022696,1413878,0,105808419,41877504,452657152,0
8843398,5933192,442272513,708408345,454804010,1316619,0,105524793,41811968,411631616,0
9873393,6947381,509938233,805362296,526792924,1620970,0,105213306,41877504,446038016,5373952
10079202,7164698,512582910,768054730,490601605,1460756,0,106407834,41156608,459276288,0
9726494,7116769,518804609,790058463,506905439,1396501,0,104786658,40960000,451280896,0
10052783,7071547,511717637,760564763,481441579,1402112,0,105090501,41156608,459014144,196608
10125744,7230287,510984808,787371288,506985117,1492936,0,105414576,41222144,456851456,0
9876217,7046131,514999295,785226120,503583089,1508598,0,105403155,41091072,459669504,4259840
9952460,7166774,513594859,792285181,511878345,1375937,0,105506022,41156608,456458240,1638400
9812209,6961333,512631690,805789382,523822412,1435687,0,105460452,41156608,453836800,0
9740249,7000337,513301784,810274497,527742601,1439920,0,105396597,41091072,453443584,0
9777505,7090782,517831807,760818678,480248539,1209163,0,105473712,41287680,457506816,1572864
9828798,7211259,518550460,792894239,506950514,1347143,0,105308421,41091072,462028800,0
9822082,6946816,514280195,789634748,507960975,1532736,0,105417666,40763392,455671808,4718592
9798975,6983238,511592681,806886141,527926946,1517066,0,105445461,40894464,449314816,0
10156352,7152306,516142381,772659179,491383563,1596863,0,105381240,41222144,463601664,65536
9890398,7038439,513111509,776541266,495822888,1517081,0,105447909,40763392,456654848,0
9952495,7010189,506613246,806597068,527838489,1601844,0,105482823,40828928,438566912,1245184
9915454,7000710,512079756,777583179,495125797,1449106,0,105283941,41222144,469893120,0
9739371,6871518,505589418,799020813,519020225,1472377,0,105407385,40828928,446758912,2293760
10127479,7043815,513645136,797465742,516937606,1607145,0,105420618,41091072,455999488,0
10048706,7092927,515133937,777244603,492886951,1488269,0,105361608,41025536,466157568,1245184
9908212,6875343,498651819,765008760,486633047,1356587,0,105347526,41091072,453771264,458752
10191995,7209112,518102212,780947032,496490841,1436738,0,105297288,41222144,458096640,0
9893056,6997995,512737314,800150581,519316219,1510858,0,105386019,41222144,460914688,0
9988152,7057169,518095740,801972114,517288166,1522024,0,105359352,41287680,458293248,655360
9855469,7075524,515903121,797082703,514271178,1421142,0,105433392,41222144,452919296,0
9892421,7036371,514597477,790974910,508506930,1442046,0,105373215,41287680,456785920,0
9773034,7144816,512298542,747293503,466382063,1330371,0,105379881,41287680,460062720,1638400
9751428,7061809,512323244,803748607,518674194,1294879,0,105268644,41025536,452853760,0
9909010,7168719,517304517,796655223,513918059,1308319,1,105435066,41156608,461701120,0
9861995,7084338,517805400,785417102,502142791,1490892,0,105416388,41222144,455737344,0
9836034,7067444,517170684,791112468,507462608,1494432,0,105375327,41549824,459603968,720896
9885320,6963408,510452819,775546482,499594119,1527611,0,105336183,41353216,442826752,0
10107175,7003798,509147762,747776274,466076740,1420723,0,105353754,41156608,468713472,2621440
10047734,7037988,517201638,809053099,524864425,1632739,0,105484962,41287680,451280896,0
10016302,7113784,519960768,762781878,477722562,1452423,0,105357468,41222144,469827584,0
9826974,7049517,513484910,779556647,500572583,1435654,0,105389481,41287680,452460544,2162688
10059238,7015641,515143491,802646813,521649755,1616874,0,105504234,41484288,455802880,0
9712258,7069153,515322502,743101474,460429753,1462331,0,105454947,41222144,460718080,1310720
9651219,6897169,510774887,807761173,525810086,1447430,1,105380403,41549824,452132864,2555904
10240931,7244238,520550315,776335187,492278944,1514598,0,105317850,40763392,457441280,0
9409709,6667015,493164120,759067600,489892354,1399182,0,105439242,37617664,438894592,3801088
5099914,3533506,243648177,730884897,587017297,719791,0,105714057,5373952,236912640,0
3197983,2389261,163698841,650077007,549901675,496757,0,105518640,4587520,161087488,1245184
4450848,3261246,264272338,685027758,542792295,655368,1,105427917,9371648,221315072,2097152
8051309,5895671,408121275,758412024,530289116,1188175,0,105527808,10485760,383844352,1179648
7300579,5409054,402064802,719246952,502763204,969025,1,105484293,8912896,348585984,0
6490009,5007048,351797534,648606902,452295598,994063,0,105360075,8585216,323420160,0
8488525,5987328,411752807,721839264,492318429,1239345,1,105422015,4980736,389742592,0
7984469,5694894,397836750,715739403,488901317,925225,0,105076549,5701632,387186688,7405568
7330768,5416657,386275793,755224873,539255600,1100204,0,105570713,4063232,359268352,0
3757458,2756959,198872865,736245335,624920521,575565,0,105350755,4325376,182255616,0
4018258,3018945,204769190,786653099,667289061,583255,0,105545504,3670016,195231744,131072
3513540,2668711,189079074,728044996,618172022,508534,0,105469036,4587520,177733632,0
3876656,2906891,199036299,784988675,669241783,599671,0,105540624,4128768,187432960,458752
3914793,2853345,202681729,759670324,645670783,716594,1,105539703,3997696,188416000,0
4262913,3119501,212978442,784070770,664509970,668463,0,105496677,4521984,203423744,1048576
3281942,2561661,190712727,692260265,586892815,440725,0,105492774,3670016,168689664,0
5949986,4459443,338379181,781642295,604198109,883036,0,105336510,13893632,297402368,2752512
9216728,6618334,461104470,754649859,498553760,1215205,1,105474768,13762560,429522944,2424832
9132615,6543215,458833302,740432126,485610310,1255474,1,105478111,16515072,439746560,0
9574258,6771730,476865568,750308735,485465294,1350147,0,105150440,11730944,438894592,0
8116473,6387871,448692768,710181232,464570675,910121,0,105487533,16777216,417267712,5570560
9118690,6571170,465665788,742339005,483573492,1460652,0,105429330,14548992,432668672,983040
8851039,6345285,453567896,739856365,485787282,1260233,0,105401859,11993088,424148992,851968
9218517,6888078,470996982,748004180,492903565,1328482,0,105320979,14155776,428015616,0
8794553,6609395,466594450,747399636,487735472,1292674,0,105395900,11796480,425721856,1245184
9294165,6570045,467047678,753522651,496213278,1432109,0,105370664,16449536,435290112,0
9176138,6765588,466330321,748835213,493245173,1350144,0,105415888,14024704,424017920,0
8746248,6671279,477675043,746887075,488982707,1363737,0,105345202,14614528,424804352,4194304
9438361,6684617,470250180,766129924,503455570,1378205,0,105460800,15728640,437190656,0
7872330,6123196,431885946,677456055,432627917,977381,0,105139164,5963776,378798080,0
8387555,6179532,442106072,689473582,447922767,1259568,0,105364029,24248320,415825920,4063232
9016142,6563450,471462032,763948770,502717150,1374384,0,105549528,11730944,425590784,983040
8514252,6467788,444963243,744798480,501852400,1114589,0,105332937,11206656,404684800,0
8264568,6108266,430674673,734432264,497301997,1164181,0,105527088,11272192,398721024,6225920
8294906,6085174,444806810,786387305,539074938,1205951,4,105488331,16187392,391839744,65536
9343472,6387714,447207419,745868291,495876675,1377401,1,105516729,19595264,429326336,0
8347934,6051766,444428689,726944305,478429517,1070195,10,105704772,14614528,409337856,1310720
8661947,6222349,448329035,771995847,521616895,1410398,6,105573468,18874368,404881408,524288
8550387,6309098,450709865,756319344,503926678,1171772,13,105436006,13828096,413270016,0
8791105,6228026,442388473,735299737,490203172,1248936,1,105399827,10158080,411435008,0
9042849,6518571,452541980,759036062,504668665,1154036,0,105596337,15597568,424869888,0
8970430,6820828,469483133,752767186,497148914,1162322,0,105475922,20250624,425787392,0
9157026,6677579,476623695,765498703,504330293,1359896,0,105423436,21364736,429326336,5242880
9275838,6726924,479575338,762186905,495853140,1299883,0,105538288,23265280,432930816,0
8545223,6135862,443613153,712478992,467058005,1138363,0,105533258,22085632,411959296,4784128
9047299,6611595,463630618,744303142,487958055,1399113,0,105538332,18153472,422182912,0
8934598,6538432,464077182,756503747,500894197,1341015,0,105502875,10092544,420544512,0
8758949,6576013,466763406,767369660,508939925,1312075,1,105494607,15794176,424476672,655360
9343214,6622442,463271210,767308608,512357352,1390976,0,105497217,15204352,424083456,0
8743822,6181375,450738654,728404230,476759334,1277792,0,105531120,14942208,423690240,262144
8483370,6180271,437524813,714358347,466156430,1121219,1,105551698,8454144,400687104,0
8859638,6473997,449873205,741142420,491945084,1295076,1,105437336,15138816,420544512,1114112
9040838,6504923,462060025,757671166,504707799,1222183,1,105396981,16973824,424738816,983040
8913642,6507761,458468032,763828648,507471509,1238664,3,105584140,14745600,423559168,262144
9021668,6769226,471669731,719281223,461463005,1224137,0,105377378,15990784,438960128,0
8168170,5979616,426313149,686547833,452275741,1141612,1,105654749,16252928,388300800,262144
9273651,6709261,462198351,753301692,502985015,1404432,1,105472581,15532032,423559168,0
8642425,6556533,465059260,731690135,479069662,1183367,0,105413212,13500416,418512896,1310720
9377237,6745482,476026763,786592394,521281130,1520609,0,105499176,16908288,440860672,393216
8617651,6549525,452313408,693076087,448505914,1022466,0,105631464,15007744,425394176,0
9358162,6580801,470094910,775790756,519336274,1632011,0,105436000,15269888,421986304,0
9343872,6690760,480932896,784554936,522691026,1621769,1,105408482,17367040,434765824,786432
9445200,7030564,479625900,748780711,491649034,1464792,1,105358030,11927552,425459712,0
8876370,6329144,454176978,732742382,486327344,1512454,1,105452450,16318464,415432704,4653056
9398508,6636711,466711440,764434919,508888666,1477107,0,105485508,16842752,428146688,458752
9502835,6577604,473751575,759382655,498856445,1528415,1,105533001,18808832,432930816,1179648
9594039,7015505,488594056,765503206,499127223,1605314,0,105430561,19005440,449380352,0
8893806,6176321,446255332,723049436,475100845,1436346,0,105541889,16318464,407568384,2686976
9235943,6462011,468796769,755231458,494242727,1663652,0,105486723,16580608,427360256,0
9402699,6515873,466348137,753107639,499293388,1588871,0,105586948,15728640,429064192,655360
9657296,6779568,474272026,777952586,515136197,1536840,0,105370832,18808832,442695680,524288
9106739,6269903,446574609,719711511,470553719,1406882,1,105535119,14614528,418447360,0
10019422,7338656,491526006,772204875,507497265,1566445,0,105651656,21233664,457244672,5832704
9366834,6774631,474549585,731727732,477340122,1591303,0,105558166,15138816,421134336,0
9791869,6904565,483387753,796204073,531360630,1727168,0,105438270,19398656,436928512,0
9523391,6710047,480162218,759758059,503959423,1559278,3,105474201,19070976,425984000,0
9758568,6843363,492344605,780695532,507903699,1668823,0,105280776,24248320,449445888,0
9543556,6781509,478295096,732032336,473755347,1532670,0,105481389,22872064,432144384,6094848
9733152,6918506,483467730,755422569,494584047,1646795,0,105465084,21364736,433061888,0
9759769,6831165,482246809,742534024,480529301,1569404,0,105472809,23461888,439156736,524288
9746780,6652878,477924012,730046756,466107241,1567191,0,105575244,23527424,445317120,1310720
10123793,7323512,513438530,762501388,486372817,1654204,0,105382071,29294592,467271680,0
9194112,6574302,479867109,763333533,501435255,1486201,0,105486144,26673152,416481280,5373952
9790561,6831586,488944492,779268788,509177433,1659711,0,105492267,24379392,440074240,0
9733387,7409725,517078542,769317330,494381974,1472877,1,105456231,27918336,457768960,196608
9382305,6639668,483926106,773094395,509371839,1614724,0,105423012,26673152,422445056,720896
9674402,7318502,509635036,757555258,483664010,1593196,0,105440833,24248320,445710336,0
8754520,6018453,433725309,710609912,469569159,1407114,0,105405678,26935296,409010176,983040
9820513,6912195,493420101,780861309,513863196,1620074,0,105258419,25886720,434634752,0
9835614,6904668,491609463,743139419,476524428,1502930,4,105548016,28573696,452067328,3670016
9774843,7054157,492438456,730944446,467321461,1402144,0,105251094,27787264,443613184,0
9746429,6719300,485449469,753970995,486551198,1585595,0,105342837,27918336,441253888,0
9816153,6815490,493806697,763402291,494855313,1629842,0,105543294,27394048,438829056,0
10002353,6950536,494255009,750738573,484040421,1681763,0,105477381,28180480,446758912,2555904
