l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
8738083,6793160,486561036,827595734,553490073,969079,0,1188846104,0,0,0
7677303,6765061,471383621,763919016,506557167,244535,0,105675472,0,0,0
6027466,4672137,295993965,713453043,552652886,424526,0,105415623,0,0,0
4089451,3047726,206946713,785624880,663616576,658222,0,105141457,0,0,0
4132178,3221292,209138896,732506287,610799888,619545,0,105982912,0,0,0
4033682,3080254,209982707,778324429,655120461,601826,1,104915904,0,0,0
4066088,3040742,206105636,795350939,674029706,645600,1,105671140,0,0,0
7586684,5882665,414151097,800490572,580901134,1192464,0,105498206,0,0,0
9898005,7101342,516816093,801628227,519417197,1469818,0,105400677,0,0,0
9334939,6855307,491959541,730547607,461078026,1270440,0,105160530,0,0,0
9268341,6570062,479594339,756274665,490996727,1429578,0,105285396,0,0,0
9934537,7108003,516062317,789835138,508589786,1471513,0,105429864,0,0,0
10061753,7189104,518720531,784073370,502184883,1370916,0,105406344,0,0,0
9950204,6982357,510496061,788094294,505590424,1396279,0,105245097,0,0,0
9996854,7106790,516080394,784726755,499060010,1394447,0,105381615,0,0,0
10219888,7438912,531784612,784392303,497328106,1516240,0,105243045,0,0,0
9731369,7004060,509267757,774174356,491904135,1252391,0,105294849,0,0,0
9616279,6922105,506848306,797656189,519503100,1435329,0,105678660,0,0,0
9766764,7136693,518384155,764861156,483824986,1369636,0,105328596,0,0,0
9687298,7168266,516314141,783727976,500164942,1193788,0,105451269,0,0,0
9664238,7058736,514278894,803565914,520430388,1288100,0,105293409,0,0,0
9967512,7056651,514707443,773829029,489899738,1422127,0,105365568,0,0,0
10097413,7497172,527880813,754258843,470985043,1327561,0,105408651,0,0,0
9934843,7014145,512950999,798665376,517976337,1614885,0,105243699,0,0,0
10052682,7062063,514991505,772523700,487037712,1456668,0,105205551,0,0,0
10370413,7397610,517373652,752795694,476506897,1398241,0,105557727,0,0,0
9714630,7041344,514880927,795584654,512014557,1442809,0,105253932,0,0,0
9735650,6930925,506797720,800410345,522494516,1454923,0,105312447,0,0,0
10190623,7147505,520408927,787155016,506816845,1537721,0,105525675,0,0,0
9866922,6994074,514074694,809672184,527417117,1496350,0,105328680,0,0,0
