category,nn,canneal,streamcluster,MG
runtime,87.79164528846741,108.19090676307678,113.87726902961731,394.9973564147949
l2miss,94270753.80562061,37793707.136015326,167067092.69883823,426429063.86161876
l3miss,30146.299765807962,24035002.155172415,133754555.2010724,306609980.5300261
instructions,8705900729.847776,1225888032.4808428,9766136799.87489,27315144971.650127
cycles,16128800443.688524,4724511258.927203,15037043461.045578,14233628478.908615
stall_cycles,10408824455.667446,3851655442.10728,9802894718.96336,3460753400.1018276
intra_coh,69189319.14519906,292121.61877394636,11321001.215370867,182545.97127937336
inter_coh,0.5035128805620609,0.23946360153256707,5.3083109919571045,0.3002610966057441
wall_cycles,2119483081.8032787,2156197775.6896553,2117292546.2109027,2153127445.070496
llc_size,505792113.91100705,239596853.94636017,750834648.6505809,627760275.0496083
local_mem,218089073.91100702,1725365769.8084292,8607629429.133154,27617934204.992165
remote_mem,2062772.4590163934,6013116.32183908,29719609.651474528,43127479.14360314
