l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
5154486,4290767,268731617,832034415,682050728,706873,0,1109750672,4325376,4090953728,0
4094416,3091906,205367279,787002075,667368454,652638,5,105435004,4587520,196345856,458752
3973787,2907376,206832858,766241822,650174425,675096,0,104943432,3866624,189595648,0
4123334,3034172,212647219,780367442,662723797,690629,0,106436552,2949120,196542464,0
3858863,2917184,216284385,725429389,606306815,526028,0,104218736,4194304,199753728,0
4302029,3085085,221462883,807526822,683787438,705118,0,105820892,3866624,200278016,1638400
2280939,2050859,149947709,527842720,442513408,256428,0,104903764,458752,131530752,0
5471982,3784735,260857903,786714299,649927266,789942,3,105186048,36765696,242614272,0
9886667,6944618,512278108,779505057,502337807,1472820,0,105149931,41811968,450232320,6356992
9987701,7067808,516624051,794123809,513596366,1466781,0,105372405,41746432,453050368,0
9805411,7308770,525450977,765388934,482585938,1316529,0,105448785,41680896,458948608,2359296
9834609,6957729,507809740,758535705,478226902,1401389,0,105547716,41680896,453574656,0
9886859,7075262,513840196,812225829,530198258,1464800,0,105137688,41680896,447414272,655360
10360632,7186039,521417558,800187905,515148258,1554096,0,105349362,41877504,462422016,0
9419487,6937286,515857497,776395814,495777340,1259356,0,105617709,41484288,448987136,4063232
9945782,7199117,520164993,806518552,522293038,1429858,0,105189951,41746432,456327168,1441792
9693379,6999547,511890487,773886164,493126176,1363293,0,105306786,41811968,449970176,0
9610343,7018174,513621092,783156508,500358665,1252052,0,105337845,41746432,452722688,0
9747000,7201477,518234722,767572023,483839785,1181550,0,105300240,41549824,452853760,2293760
10074658,7120312,514019726,741821262,461705453,1370273,0,105663687,41877504,471924736,0
9776187,6987731,513128918,806962094,525704945,1423375,0,105365040,41615360,450232320,0
10177814,7098089,515436747,749688892,469143691,1523310,0,105261003,41549824,462618624,1376256
10141793,7101064,512224414,768448307,489366400,1461303,0,105111432,41353216,457768960,0
9864022,6981751,513254189,795995716,516311271,1518623,0,105417723,41484288,448135168,393216
9831730,7015084,510479093,808896490,527286458,1464351,0,105222552,41287680,452526080,0
10009784,7087722,516117755,780395552,499713933,1425889,0,105497310,41549824,455344128,2490368
9938850,6950759,508337255,775864367,500248235,1510193,0,105200313,41549824,444071936,1048576
9753383,7054323,512362217,765407961,486301076,1432307,0,105408063,41615360,448921600,0
9809568,7018646,513886680,766942617,486128534,1384621,0,105279411,40960000,454295552,1966080
10056750,7224569,517243175,776628882,496163149,1431100,0,105292575,41943040,459997184,0
9784907,6996470,511871793,781553380,498281317,1388141,0,105233547,41943040,453902336,3801088
9926364,6989503,514772159,807503185,527082708,1550200,0,105559092,41877504,453640192,0
9609944,6957626,511235478,806951466,523707707,1348754,0,105134352,41877504,446758912,589824
9727191,6926516,510538036,783670156,501453156,1397754,0,105542754,41811968,457244672,0
10134024,7336184,517846090,726308079,444384679,1336178,0,105002643,41746432,460718080,4325376
9649250,7082123,515471051,796785522,512501687,1273641,0,105688827,41680896,459931648,0
9377568,6874310,521677443,806855521,522089818,1237145,0,105517971,41222144,447873024,4128768
10042637,7065298,515830600,757857465,478209502,1388934,0,105189891,41615360,454295552,3211264
9955217,7349052,523514021,740245581,456336798,1371638,0,105268386,41746432,464125952,0
10049121,6928471,507180553,771983151,493086972,1549609,0,105272694,41222144,454950912,0
9876141,7012818,511926278,810318362,528608431,1546416,0,105676317,41746432,449445888,0
9882504,6958085,514910484,805338100,525095285,1504074,0,105232266,41680896,450625536,0
9786492,6932580,512493324,805491029,523767987,1481141,0,105401604,41746432,447676416,0
9839367,7091852,515904803,782318081,500380901,1366765,1,105179115,41680896,451215360,458752
10052394,7069985,514941631,762438452,480257907,1537800,0,105403836,41680896,460128256,0
9877898,6961932,509244611,768236980,489318331,1423618,0,105564627,41615360,446234624,917504
10318052,7069484,507087372,742474828,462199851,1374860,0,105820509,40960000,461897728,0
9760473,6996311,514402149,799776693,518583843,1481762,0,104912571,41287680,450953216,1048576
7961452,6033856,441376917,664403075,417565966,1211991,0,105359541,41680896,384696320,0
9834771,6974070,507381805,775376871,492854713,1420072,1,105900513,40894464,451084288,1966080
10062625,7096553,515501442,756892683,476982936,1450783,0,105267933,41091072,463405056,1441792
9119675,6580918,474066406,750000881,485736460,1255893,0,105042552,3932160,404226048,0
7765814,5625398,406237335,776115993,548598382,1230478,0,105372510,4390912,363134976,1245184
7966168,5683168,396097789,714471098,488554611,1143285,0,105246525,4390912,380633088,0
7548489,5614989,404569643,761446355,532136515,1093978,3,105549474,4456448,366542848,2424832
7711057,5727728,403704731,722305590,494221505,1029974,0,104494557,3997696,383975424,2883584
7576661,5650482,405596687,751357823,520829480,1131249,1,105211581,4456448,371195904,0
5613871,4177630,297602433,769378929,604412296,763698,1,105588210,6422528,271974400,0
3793822,2950754,192435053,688708496,579538405,511098,0,105319686,5046272,182583296,0
3791069,2719855,195666790,738686281,627912507,679864,0,106277508,2752512,173801472,262144
3491216,2617383,176444050,687597008,584255727,558631,1,105087861,3145728,170065920,0
3734073,2833501,194691661,759889160,646318556,548655,0,105035469,3342336,183959552,1114112
3385858,2621427,188924982,712612040,604144827,444386,0,105681435,3473408,169869312,0
3927767,2900022,200642367,757448536,643749079,665805,0,105378390,3670016,188219392,0
4191230,3060447,218600113,795826680,673080793,670300,0,105146493,6619136,205783040,2293760
8217491,6191493,434019812,755048992,514656098,1131693,0,105371457,12582912,394526720,2359296
8853603,6424026,451887731,745487270,495116157,1289509,1,106012290,13107200,415563776,0
7809408,5762001,419525268,699554393,466342213,1080086,3,105611260,2949120,365625344,131072
8468744,6296502,442814957,726539566,481286912,995920,0,104978173,12910592,419233792,5701632
8903677,6485191,460818595,777107700,523093345,1445527,1,105159264,12910592,409468928,0
8513121,6344123,450722522,742380510,494826873,1221523,0,105199936,8781824,391118848,851968
8812805,6526902,460210848,745361117,491335392,1227382,0,105865893,13303808,431357952,0
9100799,6549873,455848054,741115459,487845322,1287447,0,104818985,13893632,422576128,0
8459046,6223580,444288476,717510915,477405532,1293420,0,105437131,9240576,392232960,3538944
8764083,6706232,463490447,751278809,495507045,1301429,1,105414986,13762560,419037184,0
8869941,6421989,460641668,782887697,528553981,1393962,0,105446898,13959168,414449664,0
8751841,6385876,466143669,759541023,502872184,1319715,0,105489508,14090240,416677888,3538944
8987396,6689622,461338087,744324606,492568361,1211489,0,105323044,13303808,419561472,1310720
8681863,6312285,454339998,768069984,516407684,1351710,0,105639035,10616832,402980864,196608
9106442,6566015,459833720,756909197,501628283,1284071,1,105089194,10354688,423559168,0
8054471,5987075,429318019,780206013,539080392,1161174,0,105478544,9633792,384958464,65536
8569801,6302942,441539617,771599454,527034238,1231796,0,105244588,5767168,397869056,0
7753938,5742429,407701780,730581222,502734957,1048338,0,105231676,3080192,372113408,5242880
8444317,5966072,440389104,777365087,535953541,1409322,0,105451512,14483456,396623872,0
8068810,6153787,435243827,776251239,534168170,1111259,0,105863425,13172736,391774208,196608
8320644,6117859,434825240,757111213,517403552,1290327,0,105264028,15990784,388694016,0
8774591,6715241,460110975,774583762,519871311,1177891,0,105008212,12320768,406257664,0
7734789,5608542,415962475,718778457,486853450,1178977,0,105944880,4259840,367525888,4325376
6888531,5351834,387461675,649849132,437554761,961557,0,104815160,11272192,346619904,786432
8190526,6127052,440220334,753052886,509640987,1000376,0,105953161,2752512,389677056,0
8283242,6036446,431551803,712218909,477345102,1295249,6,106173632,12910592,411893760,6422528
8674182,6353068,447756450,744908315,498052532,1229638,0,104663974,11993088,405340160,0
9034355,6432310,445440398,742302471,496528028,1220702,0,105214352,11010048,417857536,0
8512324,6064647,437304980,734736124,490807959,1193106,0,106016090,12779520,400228352,2490368
8983007,6538713,456396465,782510866,529379249,1405043,0,105517603,11075584,410583040,0
8610456,6495263,452134171,745071057,495624167,1284974,1,105152985,12189696,412090368,0
8628091,6082108,442157572,750577585,505620489,1284085,0,104874291,10420224,394526720,1245184
9088236,6560900,452890599,756207389,506684216,1280068,0,105653471,12124160,421920768,0
8777836,6350172,449304987,767735724,517867386,1203058,0,105277145,13631488,409403392,0
8738160,6535323,459681307,736034676,488123476,1279267,0,105385412,14680064,412024832,786432
8873813,6696670,457399732,755799322,505285775,1319795,1,105459680,12582912,412549120,393216
8393732,6278452,450874616,783795421,532152192,1190284,0,105321617,13434880,402391040,0
8682193,6418070,457554854,745415658,495441961,1191578,0,105398912,14221312,405864448,2621440
8814436,6510980,455732474,782932493,528745172,1217587,1,105526990,13303808,413794304,0
8758198,6335524,450239744,761493418,509592882,1376280,0,105412276,13041664,405864448,0
7992436,5615378,418671090,693367275,462829143,1065313,0,105295416,6094848,384827392,2883584
8351207,5847255,417599516,745230943,510787246,1266386,0,105432776,13893632,407830528,3014656
8716555,6386525,450653385,771889392,523419459,1329415,1,105331691,13041664,403374080,0
8558528,6336782,447768977,753370044,508632732,1117628,0,105419225,11862016,411893760,196608
9156328,6267141,446648812,751183329,501844979,1489862,0,105384895,13500416,415301632,0
8931261,6318021,461298127,780883220,529144221,1545049,3,105443092,14221312,409010176,393216
9133992,6611858,458649134,752124439,502449059,1398468,0,105380492,13107200,416743424,917504
9252471,6427073,451677252,745562474,498778216,1478119,0,105197528,9437184,403636224,0
8788544,6665763,463014362,749757595,499748165,1362336,3,105340742,13565952,424869888,2490368
9073179,6276304,451218211,767534239,518557826,1477464,3,105548721,12910592,411893760,262144
8976915,6384798,462345051,772485641,519046650,1517531,0,105347900,13303808,410910720,262144
9352115,6648066,459649146,749571805,499568677,1446640,0,105348968,13041664,420216832,131072
9250113,6671505,466852328,776700946,525132898,1606960,0,105389312,12517376,408354816,0
8924593,6609812,472352744,757564810,499685489,1510229,0,105334996,14286848,430047232,6553600
8990585,6343354,444587563,737067313,486805466,1320190,0,105462458,13107200,418709504,327680
8904876,6243127,456139831,752453553,498424061,1370128,3,105400875,14876672,416219136,0
9158101,6957603,470514223,753602733,504259549,1418386,0,105960278,14745600,424738816,1835008
9666080,6573382,454327281,743099332,497137920,1500478,0,104906666,12582912,405602304,0
9121444,6813799,479881809,751765984,497159895,1564760,0,105516536,13697024,426835968,3997696
9463854,6325390,450488675,747595757,496435509,1562444,0,105270144,14024704,422510592,1048576
9283163,6684450,467190246,757087550,504849758,1538291,0,105550769,15532032,417988608,524288
9260818,6575118,467989282,789056837,529742219,1570467,1,105366399,21168128,418316288,262144
9863170,6592251,477767760,752249406,493193131,1640837,0,105375269,22282240,435093504,393216
9354205,6545025,478679147,753622772,487227911,1578176,0,105426528,23461888,436404224,0
9581943,7089765,502710757,720035090,454086237,1553560,0,105411646,23855104,442761216,6356992
9535561,6726231,478903248,771947894,510664080,1594430,0,105236300,21299200,415956992,0
9639771,6834445,494798870,770599503,503326341,1536578,1,105364027,25362432,450560000,4063232
9379321,6552530,478433681,773389773,514712666,1607735,1,105465385,24313856,421330944,0
9366009,6773559,485194424,784513326,520462370,1464762,0,105320624,23134208,427950080,1703936
9924775,6849892,482842147,750627444,491610067,1498458,1,105468535,23920640,436142080,0
9602849,6594254,474425172,754071213,492009942,1588823,1,105366996,23724032,434503680,0
9387077,6712943,494491104,751119671,480262375,1540752,0,105312778,24313856,437780480,6488064
9298458,6646594,477442652,748641968,487693158,1526092,0,105204007,19529728,421658624,393216
9575034,6997739,498849796,768770529,500430828,1621637,0,105497759,23396352,448528384,0
9264151,6639692,483009701,784658030,520689385,1450968,0,105391998,24838144,427753472,0
9752741,6829891,485818179,764009918,499899512,1531458,0,105453512,24117248,439222272,0
9353192,6823597,485764355,737934495,475681096,1480316,0,105330385,24051712,435683328,1966080
9698697,6658501,480302669,784693724,522934589,1736661,0,105393720,22806528,419037184,0
9470519,6707436,497571700,782712162,515445134,1663432,0,105422781,23265280,437190656,4325376
9288677,6492835,472255248,741098528,481305589,1536945,0,105400230,23003136,424738816,2490368
10148712,7219040,505358209,778373254,507065426,1629722,0,105336084,28180480,450232320,0
9706267,6767237,489913578,744282532,480121956,1578402,0,105383872,27852800,439681024,0
9706639,6785012,486510445,761424288,495897794,1672769,0,105178290,25624576,425132032,0
9699060,6933883,499958750,767983066,499632460,1601039,1,105354824,33554432,447676416,5767168
9758312,6795341,493971535,774021591,506265183,1629006,0,105470925,33292288,437452800,0
9709939,7219349,504829200,754712012,484565509,1542419,0,105406989,32374784,434438144,0
10079449,6859233,494408580,750235321,486538718,1576508,0,105358004,33161216,442957824,5767168
9562115,6839745,497758957,782574411,510825839,1475146,0,105440840,33619968,437452800,327680
9791851,6865109,492552508,790773957,520578017,1650305,3,105396841,32964608,431030272,0
9543756,7036839,508613298,758620692,487969333,1622301,0,105348894,34340864,448462848,5505024
9657797,6768677,496173847,790260145,520219759,1612301,1,105491967,34668544,435879936,720896
9848347,7000600,498044344,731964901,462114090,1589601,1,105211038,31719424,440401920,0
9765181,6729749,494571546,782401399,516372259,1649839,3,105427333,34144256,443744256,2686976
9577957,6883589,499431158,743118258,469424268,1513766,0,105290925,34799616,446496768,1048576
9758883,6967554,500067733,720577541,450634908,1597637,0,105357357,33816576,435879936,0
9421834,6575218,488065738,771702868,506123600,1554194,0,105324702,34406400,434307072,5177344
9812187,6712704,490357730,731618796,465607926,1505167,1,105373809,33226752,441384960,196608
