l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
117321,47480,230841237,97317970,3421820,0,0,1060383593,18874368,105250816,0
155474,46278,230939854,97477240,3576932,0,0,104693250,16318464,11010048,196608
99906,37411,230512096,97374923,3423158,0,0,105086100,16973824,10944512,0
120212,36582,231046008,97357687,3613336,0,0,105168606,17563648,9043968,0
110289,42580,230776859,97543542,3581064,0,0,105007509,18939904,10289152,65536
104580,38111,231214684,97290430,3314540,0,0,105093204,20512768,12124160,196608
102242,40067,230458811,97441116,3487479,0,0,105110013,20971520,10551296,0
140121,69162,279080419,120764572,6911349,0,0,104689614,7667712,7798784,262144
164334,70748,282231569,120134250,5392104,0,0,105153126,13697024,10289152,0
132688,49418,283283837,120012764,4742791,0,0,105075042,17432576,9699328,0
125842,53634,282964653,119996316,4881316,0,0,105074730,20119552,11862016,0
151958,57880,282480243,120094776,5078567,0,0,105090159,22151168,14090240,65536
164802,99747,253189137,111896067,6005016,0,0,105057600,19595264,22544384,0
120851,44380,221274206,93308658,3248031,0,0,105215423,14155776,9502720,0
110445,41552,219516552,93037122,3449403,0,0,105481589,13697024,12779520,0
105309,39799,219629495,92951443,3482287,0,0,105328625,16449536,11010048,131072
99578,37840,220062204,92877646,3370091,0,0,105461021,18415616,8716288,327680
102924,41812,219362609,92897750,3739330,0,0,104350995,20185088,10813440,0
105044,37345,220342722,92794943,3366355,0,0,105071652,16842752,14221312,262144
99256,63910,210798129,90060628,3948209,0,0,104659313,14417920,12845056,327680
106545,40404,208951013,88617056,3466653,0,0,105272896,11796480,9109504,0
115424,50458,208852326,88548115,3558526,0,0,105248580,12386304,9175040,0
111636,35625,209451305,88341336,3244854,0,0,105391296,15269888,8388608,262144
107287,35572,195076061,83629384,3119822,0,0,104526932,18415616,14221312,0
121239,43112,208372645,88262295,3397316,0,0,105413906,19595264,9109504,131072
106547,37823,209523014,88440631,3327547,0,0,105006365,16384000,12189696,0
102661,39721,219350022,92999527,3825671,0,0,105201663,13893632,10420224,0
102830,43060,218325811,93120467,4090988,0,0,105136320,12910592,8781824,65536
108748,43483,217925326,92902913,3964493,0,0,104640088,13369344,9240576,0
129698,42279,218246165,92859552,3827314,0,0,105416759,15466496,10944512,0
125752,44611,218481234,92915766,3776492,0,0,104615683,15794176,7602176,0
107341,41507,217111672,93108701,4487199,0,0,105059333,15007744,9699328,196608
114095,46318,274697634,116906308,5287566,0,0,105065659,16187392,16056320,720896
167120,65154,281613760,120074153,5575875,0,0,105080064,18087936,14417920,0
150516,55856,281329197,120123333,5674576,0,0,105098400,19529728,14090240,0
639543,322606,198849006,106982545,19163569,0,0,105069954,29097984,31326208,0
1888280,843853,510134208,391462589,131391056,1903,0,105880371,29425664,90898432,5242880
4024347,1872593,738537737,751589178,283122973,3989,0,106362319,30867456,138608640,0
3603420,2515920,562178184,580996686,237738391,5899,0,105257859,38666240,290390016,11337728
3420340,4280401,279693367,420837151,227321861,19184,1,105244280,38797312,910557184,0
7249272,6958037,408743280,693941244,523721808,2780,0,105284555,38469632,518979584,1114112
