l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
25195,8764,531282615,230039945,71074380,27,0,1226374362,28704768,13833797632,7864320
22641,8265,478085677,233368762,84563895,74,0,105343814,13107200,1014956032,0
19275349,17985163,1251288474,755285966,254643805,539,0,105765260,37814272,2096234496,66846720
22057900,19712476,1372603027,837223145,287863152,322,0,105465776,37486592,2216427520,0
22816354,20237908,1415290336,836685931,270520437,346,0,104746752,38010880,2255683584,5439488
22624707,19993076,1392072083,836884063,280471913,409,0,105949220,37421056,2264924160,0
23558054,20280599,1385487510,808077576,254380719,314,0,105260932,38273024,2256732160,6029312
22653840,20077795,1402113871,837165803,278231682,334,0,105221772,39780352,2227830784,14614528
22735816,20243213,1415461594,838420244,272955897,272,0,105240755,37093376,2224947200,0
19962690,17294003,1272234667,750705018,240849837,315,0,105674470,30736384,1883242496,0
9108304,7944902,952793367,323316552,58052400,106,0,4668326082,18612224,508755968,0
27532443,23429618,2841516734,1037492302,232362248,334,0,105470601,38273024,1634140160,5832704
27521159,23478935,2846114913,1036369706,229921163,270,0,105382215,40239104,1632436224,589824
27434778,23313066,2831508854,1036368931,233343064,297,0,105358434,39911424,1618870272,5242880
27100769,23394561,2836293108,1036315627,230916975,294,0,105391980,40566784,1623916544,2031616
26108497,22197588,2656319647,991302541,238994315,3774,5,105487833,36306944,1556348928,7077888
21658916,19579230,945903005,831523312,602493187,289,0,105524703,37748736,2175795200,5046272
22760819,20637441,1001174440,797053977,555775555,243,0,105397647,36700160,2285240320,11665408
23166801,20927259,1012992542,797935940,553660626,249,0,105558996,35520512,2306539520,0
22747822,20580347,993969670,797865107,558069687,255,0,105545964,39256064,2275475456,2621440
23064565,20846715,1009018592,788717548,545223220,214,0,105487146,37355520,2302672896,0
22583936,20510695,988348733,762921908,524329649,256,0,105530148,40697856,2267676672,9895936
23031717,21044534,1010486970,756928883,514071606,221,0,105475617,37683200,2303328256,2097152
18449032,17057674,934323193,751647153,426691365,2064,0,105416064,27328512,1713176576,0
10049861,10044658,1280311136,758319794,136732201,32,0,105388431,27852800,644415488,1507328
9989729,9965908,1272501482,755721145,137441830,37,0,105389595,25493504,639827968,2293760
9677771,9700968,1235265536,729701713,130993437,25,0,105406434,36569088,618397696,1310720
9582039,9584084,1221465130,718484215,125777754,18,0,105375255,26869760,614137856,1441792
9587734,9581134,1221547730,718655176,125516422,20,0,105418167,29229056,615120896,1572864
9593206,9584747,1221654794,718514939,125277447,17,0,105403899,25624576,613613568,1900544
