l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
704799,186782,92792762,101075755,49377117,0,0,1184582458,29425664,140705792,851968
704169,192370,91886427,101404147,50178517,0,0,104813864,30539776,14745600,393216
707283,196444,91125316,101432082,50570836,0,0,105030906,31391744,17170432,0
713330,199952,90161246,101374718,50828179,0,0,105156696,32309248,14286848,393216
715206,202590,89435739,101432553,51329737,0,0,105067755,32047104,15859712,0
705971,201446,90258274,101509939,51392865,0,0,105038817,30408704,17563648,0
696628,202461,89659096,101551376,51527269,0,0,105135948,31522816,19922944,589824
699254,204963,89312129,101599523,51877350,0,0,105082974,31850496,20054016,0
674306,198704,85247960,97395385,50024947,0,0,4739025669,2359296,45481984,0
736818,324913,88607033,126572675,76710204,0,0,104997096,14942208,18022400,131072
775722,289625,95152476,126166250,72747589,0,0,105103767,22544384,20185088,196608
672586,244542,88268187,117332996,71767681,0,0,105098460,30277632,26148864,0
805119,263907,98608072,126006718,71022527,0,0,105079851,32899072,18284544,0
819434,254079,99371605,126013925,70406904,0,0,105051306,33751040,18677760,65536
812482,261795,97881986,126216421,71574560,0,0,105089064,25034752,27918336,0
798076,279534,96227954,126484706,73272250,0,0,105131832,24313856,22282240,262144
806069,280853,95829254,126256934,73026517,0,0,105086571,27918336,18350080,0
814085,273853,96351184,126228821,72786839,0,0,105104403,29097984,16842752,0
820372,271331,96528579,126219810,72625388,0,0,105099477,30343168,17694720,589824
819872,275442,95621297,126270876,72957225,0,0,105140172,27066368,22872064,0
805100,290096,93315452,126723709,74850443,0,0,105052206,23330816,24051712,0
688504,241142,80735419,113004131,68349324,0,0,105079800,28639232,25231360,0
818201,282413,93678785,126410547,74278936,0,0,105036234,30146560,20250624,0
821674,278207,93374718,126459438,74219751,0,0,105096945,29949952,25427968,0
827369,281782,92795959,126395564,74539225,0,0,105068619,26279936,24838144,0
801692,303446,89373029,126631157,76678060,0,0,105124149,20447232,27394048,196608
805879,304352,89483097,126612291,76620562,0,0,105054642,22872064,19005440,0
826662,293278,90765542,126595201,75890078,0,0,105167109,26804224,22675456,393216
834713,289277,90889605,126597632,75748110,0,0,105028437,28180480,23592960,0
837713,287265,91180924,126569277,75701465,0,0,105183219,27983872,21954560,0
822890,299705,89013376,126846826,77220448,0,0,105029439,20643840,28180480,65536
821535,301942,88584802,126729489,77128039,0,0,105044793,24182784,22872064,327680
834319,294969,89797736,126724552,76638350,0,0,105115005,27590656,23134208,0
840384,290475,89450111,126736776,76606380,0,0,105132603,27394048,24313856,131072
691214,299592,88380828,126658270,74752009,0,0,105025740,27197440,28966912,0
830927,302508,87133474,126903280,78151868,0,0,105110961,21364736,22544384,131072
829246,305746,86764417,126809527,78163829,0,0,105047925,24969216,21626880,0
846016,297381,87756194,126752360,77640068,0,0,105095823,25952256,20905984,196608
843430,296251,87824771,126815654,77627894,0,0,105085716,26673152,21561344,327680
846304,296636,87828648,126794482,77637950,0,0,105101958,27459584,24182784,0
840005,304655,86325577,127115696,78800750,0,0,105112581,20905984,27852800,196608
831101,313450,84591383,126955674,79448904,0,0,105160299,22020096,21233664,0
845303,303887,85991966,126853402,78455944,0,0,105021573,24510464,22675456,262144
853608,302065,86058070,126932793,78609197,0,0,105174192,25952256,20381696,0
852317,299975,86078138,126950355,78599034,0,0,105027708,25952256,23134208,327680
848768,306743,84644407,126940865,79227307,0,0,105040656,20512768,24641536,0
846584,313696,83585325,127151683,80093416,0,0,105130506,22609920,28377088,327680
832224,309032,79695760,109000812,68359928,0,0,105045927,24641536,30605312,0
856574,304211,84713818,126986252,79332521,0,0,105097599,25755648,20774912,0
860577,303018,84747537,127006115,79171798,0,0,105014382,26345472,24313856,65536
857166,307651,83965259,127158433,79762052,0,0,105108825,20447232,24707072,65536
844747,319708,81945806,127274409,80791371,0,0,105058167,21561344,23789568,0
854470,313374,82500599,127093596,80395821,0,0,105173196,24444928,24051712,131072
866095,311659,82728297,127113034,80266965,0,0,105099978,24838144,21102592,131072
865986,307845,82940633,127157130,80268586,0,0,105101652,25296896,23724032,458752
863984,309118,82743766,127068955,80382668,0,0,105028491,22609920,25493504,0
852562,322622,80276113,127272302,81659995,0,0,105124287,21102592,24510464,0
862498,315013,81273631,127233126,81144386,0,0,105083283,23658496,21823488,0
868765,310294,81599031,127082292,80798261,0,0,104999316,25034752,22151168,327680
872561,311230,81735865,127173229,80831196,0,0,105149388,24838144,22020096,0
868230,311896,81569864,127242056,81043678,0,0,105101820,23461888,24641536,196608
868030,314787,80835292,127272620,81433820,0,0,105032001,24313856,24117248,131072
875128,314382,80845656,127267944,81329712,0,0,105101535,24182784,24248320,196608
870802,313013,80598773,127302981,81429971,0,0,105176937,24313856,25821184,0
873196,312760,81139926,127284428,81380081,0,0,105106011,22085632,24969216,0
866049,318916,79633733,127387642,82001698,0,0,105103323,23068672,23920640,0
874279,314425,80333901,127268262,81622748,0,0,105102201,23920640,20054016,131072
879032,315328,79909586,127331066,81782816,0,0,105103089,23199744,23265280,327680
873716,315944,79667227,127353727,82023521,0,0,105021798,22544384,23592960,0
705105,255728,65823305,110657776,73463824,0,0,105199020,21364736,33357824,0
867853,320252,79446903,127369052,82190399,0,0,105078729,23920640,21495808,0
876521,316668,79789657,127313039,82087991,0,0,104995515,23920640,24444928,131072
876128,317779,79369548,127382411,82269237,0,0,105153462,23724032,24969216,262144
875709,316768,78950013,127417449,82499202,0,1,105049284,21757952,23658496,0
873341,319465,78874724,127334525,82399249,0,0,105145812,22675456,23461888,131072
879524,319779,79086579,127462674,82503028,0,0,105104766,23461888,20774912,65536
878552,319178,78875246,127473922,82568913,0,0,105115659,23855104,26083328,0
