category,swaptions,freqmine,streamcluster,MG
runtime,56.48850679397583,84.14657354354858,116.14225506782532,396.74017572402954
l2miss,6166666.946216956,65385057.14102565,164319176.30148992,425558473.3021807
l3miss,22537.92160437557,31989981.32051282,131045936.53812446,305158422.9413292
instructions,27753600700.565178,31564325996.58974,9567464537.85276,27160453979.558674
cycles,16144492987.274384,18593885804.76923,15137902102.874672,14162541300.633438
stall_cycles,3479418525.724704,5443588255.769232,9996960352.120947,3447011518.234683
intra_coh,4698662.971741112,14936406.166666668,11617831.20070114,343321.0436137072
inter_coh,0.10938924339106655,0.16666666666666666,0.9728308501314636,0.12980269989615784
wall_cycles,2125929752.5432997,2183576857.9871793,2118117381.4460998,2150198943.465732
llc_size,59161623.33637192,521586740.5128205,738466655.3549517,621264266.5005193
local_mem,1145834.5305378304,2306826870.1538463,8398398193.865031,27473940671.401867
remote_mem,121871.86873290793,17214122.666666664,25796830.56967572,49701706.1682243
