l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
27243,8532,518734764,224194678,69086642,35,0,1148738656,31326208,12598640640,32768000
26434,7670,521020156,224891397,68977027,28,0,105833432,29360128,1208549376,0
24412,8276,482709523,242839737,86573455,56,0,104910036,17104896,1027670016,0
17842844,16447901,1149459957,685266009,229635928,378,0,105429452,38404096,1950089216,91488256
22225311,19867597,1378847815,837238322,288265740,312,0,105435916,38273024,2221539328,0
22567296,20424164,1413063917,838189350,277611155,336,0,105656044,40435712,2239561728,0
22463988,20237575,1407300202,838069450,275964869,316,0,105113798,37814272,2237267968,3997696
22426728,19832429,1389427647,837873438,281133000,343,0,105581018,39256064,2229927936,6684672
22474735,20031523,1387910250,837328568,284522940,291,0,105084176,38338560,2170224640,0
19659753,17182883,1204420181,769176251,279579507,294,0,4764867248,36831232,1876688896,0
23938356,20008031,1409429341,1007219083,449784409,314,0,105395892,36503552,2252210176,0
24184596,20570408,2504515855,949303317,225795470,515,0,105387840,35454976,1516437504,5046272
27450683,23401127,2834463658,1037153366,233750952,255,0,105416565,34930688,1622474752,0
27398980,23269459,2823740170,1035260210,233900870,243,0,105377289,32047104,1615527936,0
26171504,22461352,2709960253,976533425,209537899,216,0,105422922,31653888,1549139968,0
22737525,20187372,2395037072,804887768,139533202,253,0,105357258,32571392,1367015424,0
22113873,19737392,2053082350,789952484,235124764,4147,0,105558894,37945344,1481113600,10092544
21729296,19795833,956163114,797582146,567375825,214,0,105430905,38273024,2183987200,3670016
22981285,20896129,1003417533,796958747,556850853,181,0,105490743,38141952,2295791616,0
23333572,21156946,1022055865,797096450,550898707,152,0,105560235,38862848,2341470208,524288
22475900,20074561,978532920,752155087,515679434,209,0,105356784,38928384,2274754560,65536
22446585,20610154,992158911,756539236,519093013,207,0,105416394,39387136,2262302720,6422528
22577858,20508250,989958491,757749223,518872324,183,0,105550032,38993920,2271150080,0
22439480,20666427,986565793,757852852,521734739,132,0,105485619,37617664,2249981952,458752
15597024,14744608,869972402,725786268,390900744,427,0,105388362,28573696,1488388096,0
9698434,9677315,1232019163,731465281,133209399,41,0,105446499,27983872,619380736,458752
9439213,9468779,1209897887,715232854,128147149,68,0,105382917,26673152,612040704,0
9539979,9534932,1214790870,718307243,128269681,25,0,105405306,26148864,609091584,458752
9566939,9557034,1217916491,718503005,127056991,17,0,105330996,30998528,612499456,0
9550639,9545724,1216759637,718016497,127322348,18,0,105363966,27000832,609681408,524288
9228662,9154152,1165785690,689234338,122406286,27,0,105464478,38338560,591659008,0
9061732,9060984,1148059502,675780197,117585524,60,0,109810407,29556736,681771008,12124160
