l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
72159,2006,1587919028,841808791,153549798,19123,0,1115761824,655360,655360,65536
64003,1480,1584198155,839767062,154098460,18554,0,105132684,786432,65536,65536
61327,1385,1580363570,838975853,153757312,17356,0,105375804,655360,0,65536
64684,872,1580061818,839385295,153910795,28306,0,105005256,589824,0,65536
53299,934,1582852536,840176269,154125983,20342,0,105406132,524288,0,0
55298,770,1581958381,839606171,153807760,20074,0,105230212,393216,0,0
50201,848,1582621951,839206823,153977657,17678,0,105111018,393216,0,0
55924,933,1580665936,839303379,153643215,20801,0,105107098,458752,0,65536
56486,1143,1581117698,839770710,153915144,19382,0,105218160,393216,0,65536
52713,968,1582861224,840055805,153813477,19738,0,105253390,393216,0,65536
54522,930,1583564390,839307600,153534433,19966,0,105258036,458752,65536,65536
56605,821,1579796232,838013581,153770729,18204,0,105144594,458752,0,0
54370,797,1580103860,839314103,153663662,16337,0,105221115,458752,0,0
58622,1053,1581826013,839583704,153738581,24034,0,105265185,393216,0,0
59914,843,1580681289,839115934,153455333,27785,0,105215610,393216,0,0
61307,817,1584067021,839217694,153474591,23038,0,105235320,458752,0,65536
63781,870,1581215187,839037194,153941850,28037,0,105234456,458752,0,0
62166,850,1580116471,839198308,153595931,21980,0,105258009,458752,0,0
61681,811,1582225817,839729248,153736995,25156,0,105250005,458752,0,0
60550,870,1581548905,839512657,153441333,23631,0,105345753,458752,0,0
55941,758,1583475424,838823535,153534310,19987,0,105139743,458752,0,0
62048,904,1580990397,838810453,153924886,26168,0,105215193,524288,65536,0
64213,1031,1578718201,839324134,153737452,22227,0,105267585,524288,0,0
61334,807,1582254789,839697057,153724902,21215,0,105347811,524288,0,0
60361,886,1581586384,839607951,153436180,23586,0,105295359,524288,0,0
69893,1230,1584110945,839156870,153761164,26609,0,105238674,589824,65536,0
60289,781,1581855431,839220195,153804132,21060,0,105253347,655360,65536,0
64292,782,1579594235,839631481,153819996,25250,0,105299583,655360,0,0
69311,972,1581510767,839535568,153808978,26351,0,105258495,655360,0,0
72156,1420,1582457397,839560724,153916289,24683,0,105272268,655360,0,0
69986,1563,1448009898,838917067,176556594,31641,0,105226038,655360,0,0
72801,716,1456278329,839160971,176816882,22835,0,105264447,655360,0,0
66448,666,1464607115,839491188,177390885,28575,0,105272571,655360,0,0
62015,612,1456106282,839581620,177390290,23691,0,105280818,655360,0,0
73377,904,1452311058,839402675,178629985,29349,0,105256485,655360,0,0
73855,1111,1449115290,838804471,176348089,23384,0,105236535,655360,0,0
65222,659,1458161651,839215606,177096053,34404,0,105223230,655360,0,0
72435,688,1462964518,839517517,177354420,31540,0,105320559,655360,0,0
63350,720,1456408578,839740926,177627705,22580,0,105202023,655360,0,0
58460,646,1450333842,839385467,178392892,26272,0,105251706,655360,0,0
66417,790,1444694608,835703535,175484299,25692,0,105249642,720896,131072,0
62581,913,1459061565,839233460,177362486,27293,0,105266433,786432,65536,0
76298,810,1459748385,838815453,177328261,35919,0,105271839,786432,0,0
67184,650,1457370285,839979225,177924657,30340,0,105279198,786432,0,0
64334,717,1448899374,839287704,178095457,29053,0,105253020,786432,0,0
71440,638,1454329028,839167874,176018892,28940,0,105254763,786432,0,0
68142,800,1460636397,839356011,177394628,25253,0,105267987,786432,0,0
57621,680,1459836159,839842981,177462473,23921,0,105277806,786432,0,0
65141,699,1455646195,839513360,178078661,23055,0,105273501,786432,0,0
62350,683,1447184223,839268952,177943179,27428,0,105258984,786432,0,0
79334,801,1455617518,839096380,175985444,27543,0,105253104,786432,0,0
62005,670,1463042947,839252391,177336544,29230,0,105258516,786432,0,0
63946,802,1457827417,839838028,177526647,29009,0,105353232,720896,0,0
71291,875,1455531370,839343804,178373548,22268,0,105254304,393216,65536,0
63600,651,1446461331,839041920,177347492,27707,0,105168243,393216,0,0
62098,693,1455986576,839264386,176220577,22487,0,105256641,262144,65536,0
60732,807,1465078903,839622359,177393851,28915,0,105275970,262144,0,0
69621,907,1456031826,839614698,177366279,27828,0,105305895,262144,0,0
78314,1019,1455261844,839350340,178604550,33875,0,105287133,196608,196608,0
67557,1404,1447830563,839164361,176741258,26043,0,105212799,327680,196608,0
72625,1357,1454444995,838621616,176236879,23922,0,105266742,393216,0,65536
74862,1095,1463036292,838633046,177205792,35564,0,105124293,458752,131072,0
67884,1177,1443978114,839520263,177955266,28218,0,105304206,524288,65536,0
69415,998,1442828598,839499414,179334364,25141,0,105181113,262144,65536,0
63209,1134,1445982564,838986713,176565533,25418,0,105265266,458752,262144,131072
63326,900,1456317404,839297826,176675483,21997,0,105251088,524288,0,65536
69557,1053,1465233136,839651151,177147482,22291,0,105285753,589824,65536,0
69475,747,1456434764,839671295,177410113,33054,0,105286758,589824,0,0
58723,669,1452889153,839489783,178548156,23866,0,105258156,589824,0,0
65903,1035,1448768394,838430359,176150680,31732,0,105235917,589824,0,0
62312,891,1456467527,838614698,176916478,20627,0,105199047,720896,131072,0
60495,643,1462770700,839427842,177373471,20528,0,105248916,720896,0,0
63428,659,1456698154,839769591,177531990,24366,0,105353970,720896,0,0
64330,717,1451308790,839389766,178390226,26107,0,105178974,720896,0,0
69323,861,1451726408,839007810,176007947,21162,0,105277545,720896,0,0
67452,825,1459412431,839392771,177341274,24694,0,105275172,720896,0,0
60814,1366,1461090641,839198899,177358613,27179,0,107387394,786432,65536,0
67330,1019,1458215303,840467838,177967100,24277,0,103432275,786432,0,0
86403,1529,1429021381,831263604,176974167,24124,0,109104105,917504,0,131072
82815,4171,1393554886,808222076,170844253,23075,0,101930436,983040,65536,65536
76268,1439,1460778809,839230223,177148327,24766,0,104840289,983040,0,0
72128,1191,1460125456,839746327,177238858,22300,0,105296355,1048576,131072,0
79394,1583,1456072231,839102053,177567175,28702,0,105193938,1114112,65536,131072
83123,971,1449174342,839129842,177551108,29927,0,105323670,1114112,0,0
95977,1070,1455435382,837955095,173955756,36430,0,105270126,1114112,0,0
85959,928,1464596975,839340231,176826138,31453,0,105265080,1114112,0,0
75663,1162,1456345083,839493741,178279935,21873,0,105269115,1114112,0,0
81526,881,1437937792,839363561,177811013,27742,0,105259644,1114112,0,0
72888,860,1436393467,839143853,177501948,27547,1,105264255,1114112,0,0
78442,845,1453336181,839347791,176358436,28006,0,105162720,1114112,0,0
82484,973,1465962393,839359679,176959999,31146,0,105350310,1114112,0,0
79438,865,1454219798,839619330,178364346,30239,0,105285147,1114112,0,0
94387,1636,1443388073,830998242,174586265,29270,0,105250521,1114112,0,0
75930,1070,1450631579,838319780,176113513,26622,0,105250725,1179648,65536,0
74993,795,1462217112,838281387,175604377,27335,0,105265713,1310720,65536,65536
78423,852,1466721650,839216306,176997868,27262,0,105275607,1376256,65536,0
80023,759,1451983387,839436154,177960352,24190,0,105259626,1376256,0,0
77820,883,1452889449,838832195,176760755,30516,0,105245628,1376256,0,0
67765,754,1453903494,839102261,176125555,20708,0,105253998,1441792,65536,0
76868,835,1458994593,837540402,175744872,23221,0,105233337,1441792,0,0
84648,1112,1466340031,838913867,177176761,26988,0,105269391,1441792,0,0
78576,1070,1449119486,839211427,177682237,28506,0,105259974,1441792,0,0
82022,1471,1439596821,832728373,174626562,26336,0,105193335,1441792,0,0
79229,881,1467313522,836081035,174708187,25312,0,105221487,1441792,0,0
72123,1137,1463064931,838351749,176343050,25445,0,105252432,1441792,0,0
92803,766,1456524470,837244743,178815677,30438,0,105262308,1507328,65536,0
71863,869,1435611208,839179800,176523166,22314,0,105257838,1572864,0,65536
77076,895,1455087096,837760421,174938266,25161,0,105236409,1572864,0,0
74420,736,1469584957,837129648,175173603,25526,0,105243789,1572864,0,0
78473,1513,1461318432,838261085,176930948,31132,0,105264855,1572864,0,0
78684,1011,1455984940,839137603,179870647,25578,0,105259818,1572864,0,0
88916,1166,1429411412,834578661,174213057,29107,0,105283404,1572864,0,0
78483,761,1456493636,838962076,175727723,25943,0,105261027,1572864,0,0
80544,940,1472864791,838173190,175263956,32431,0,105220203,1572864,0,0
82412,1137,1461305392,838185428,177320240,28387,0,105264231,1572864,0,0
77515,1023,1452360879,839473474,180216930,29237,0,105251613,1572864,0,0
79794,836,1439927516,839541214,175162003,27090,0,105299661,1703936,131072,0
81728,953,1457307854,839310552,176086599,30464,0,105198888,1703936,0,0
90225,894,1474551339,839338060,175581439,34840,0,105306390,1507328,65536,0
76128,889,1464376692,839510576,177880344,25018,0,105253800,1507328,0,65536
82708,1229,1444546629,836774805,179164436,24154,0,105289509,1638400,196608,0
