l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
28686887,19222076,636480525,793164401,488287444,1023,0,1023862246,39321600,13114146816,76218368
27436695,19971191,1937910399,837183074,162065279,371,0,106595370,39059456,1491992576,29687808
45343033,17833907,934240584,837002808,421040662,462,0,104907525,38141952,2113536000,0
35130579,20608917,1422006839,838439855,317221588,1121,0,105311279,35979264,1593901056,0
36382062,18921721,1419086073,838329704,288971980,610,0,105273896,34603008,1207500800,6815744
29957713,16825062,1489103019,837407703,268101752,619,0,105407892,37879808,1166802944,10747904
29188937,17323488,1265463685,836873189,308059662,12643,0,105334600,34734080,1035534336,0
33984685,18923778,999348131,836600288,424072529,3811,0,105588037,39387136,1864302592,25624576
17406736,10032433,678327908,476038386,237856997,224,0,4732231787,36110336,1003094016,0
33930339,18484958,1830735962,1008959196,282533042,167,0,105397456,38928384,1643184128,3735552
44748458,15530162,918804410,1005920672,576772179,228,0,105424920,36175872,2052390912,0
39078383,21052401,1662598862,1031107100,417513013,778,0,105395464,35651584,1612972032,0
39734476,19574558,1545553327,1035325837,426408990,662,0,105393084,34209792,1243742208,2424832
33090329,18544779,1522130238,1020303841,460004671,4205,0,105470124,35717120,1243742208,0
30453158,16197648,1341376381,916095600,371129683,10371,1,105243892,16908288,966852608,0
26749120,17204882,598800098,630592124,345161006,390,0,105509842,37421056,1892679680,31129600
27987534,19135079,1615838391,795862884,210919578,191,0,105547886,35323904,1571553280,0
37028714,17924615,1244287596,797989031,286828886,171,0,105548915,38273024,1840447488,5636096
38464188,20198013,1084764561,798495200,400154931,1326,0,105417287,34209792,2024341504,0
36649917,19926048,1763610202,797251233,182605375,330,0,105411486,37683200,1161953280,2228224
28645048,16451641,1365595744,796745583,255619438,443,0,105518963,33619968,1012596736,0
29083689,16834466,1258971230,769055935,278890469,8114,0,105511925,35061760,1157038080,7471104
29338866,16942032,1193401742,758646286,277372510,10716,0,105525684,36831232,1139539968,19333120
31992803,20654900,720751362,758066265,442639231,634,0,105556468,28770304,2236284928,0
24735994,19071885,1801189095,757826568,123680640,157,0,105422753,34996224,1326710784,7405568
40169853,18430428,1092093324,757192666,320928659,384,0,105409299,35848192,2012610560,13500416
36467484,20171249,1296276637,757656649,309793056,1027,0,105560306,33226752,1803681792,0
31309133,18554555,1480920765,743046698,187255456,338,0,105386509,31719424,1158610944,0
28323537,15627256,1334626926,718450633,197244331,350,0,105507075,33423360,897646592,0
26416410,16172864,1202892230,718334635,249936325,9741,0,105495633,34865152,1188691968,917504
26343333,15213244,1124484183,680617709,234021612,8142,0,105209469,15597568,911540224,23658496
27724522,17476720,613509156,630944974,348929891,752,0,105489225,35454976,1966735360,0
23282155,17977267,1423314853,644646074,157325661,271,0,105515151,34406400,1383530496,0
33290781,18139069,1323481522,716930362,199610598,289,0,105506539,37289984,1701969920,9568256
