l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
662586,189592,95659209,100988617,48256357,0,0,989285398,22806528,208928768,0
670313,194960,94678790,101318523,49017717,0,0,105145530,24969216,17301504,0
678552,194279,93880921,101298722,49190874,0,0,105191185,26542080,14745600,65536
688684,196795,93579039,101365557,49559279,0,0,104875076,26738688,17432576,0
693182,201429,92154182,101422515,50196784,0,0,105094455,27983872,16318464,327680
692676,205497,91026139,101440705,50701110,0,0,105253455,27787264,17367040,0
537381,164108,69400848,78263362,39474008,0,0,4764070473,589824,34865152,0
723102,318711,90698618,130773383,80040989,0,4,104969271,16842752,18743296,0
795945,273795,99027097,129260954,72751496,0,0,105129435,24641536,14417920,65536
855321,255663,102776709,132337903,75921950,0,0,105141027,28377088,19791872,393216
831914,242577,106130427,133615673,74533544,0,0,105139542,29753344,22478848,0
823881,252345,107274838,134936550,74872518,0,0,105191403,29622272,21889024,327680
838144,257132,104953741,133194352,74636237,0,0,105118898,25296896,24576000,262144
744460,268847,94742714,119810979,65860765,0,0,105047153,19529728,27590656,0
655729,234858,80974296,97220122,51772860,0,0,105138629,20119552,18677760,131072
657077,231411,80986055,96981356,51612830,0,0,105161436,22478848,17694720,0
638034,184563,69544729,85824040,45577331,0,0,105088515,28901376,22609920,0
667980,223052,82220039,97032803,51566553,0,0,105155919,30539776,16384000,0
677732,215113,82273037,97084581,50973090,0,0,105128001,30343168,14548992,131072
677424,222258,81829036,97041666,51517766,0,0,105198171,23461888,24444928,0
647534,228999,77983498,92416250,49592225,0,0,105065211,19333120,15532032,327680
640113,230756,77490808,92330483,49462511,0,0,105182773,22151168,19791872,0
650508,226204,78288905,92350119,49248252,0,0,105054352,26542080,15728640,0
658412,218685,78179645,92246316,48826909,0,0,105088603,29294592,18022400,262144
663579,214394,78991841,92274104,48523181,0,0,105051177,30015488,16449536,0
666017,219555,78300965,92267399,48905532,0,0,105120596,23658496,21757952,0
637093,219638,62268224,78651503,42242007,0,0,105139068,22609920,28049408,131072
617311,237514,72107612,87550451,47541639,0,0,105063529,22282240,16908288,327680
629199,229061,73031337,87518931,46898974,0,0,105174516,24379392,18219008,0
639606,219826,73764209,87546497,46475263,0,0,105081402,27459584,17301504,0
638693,211790,73661682,87544872,46229111,0,0,105205737,29949952,16252928,0
647962,213384,73913760,87623882,46431318,0,0,105152672,27459584,17891328,327680
634267,227798,72244002,87531478,47421095,0,0,105058970,21430272,18612224,0
606979,227082,68432522,82776925,44723069,0,0,105100331,20316160,19726336,65536
606862,224895,67904115,82862782,44884667,0,0,105117876,21102592,16580608,131072
618702,219362,68869661,82646026,44348049,0,0,105024477,26345472,18743296,0
626353,212499,69072113,82663042,44037313,0,0,105098961,29491200,16056320,0
630041,210978,69661554,82798090,44022485,0,0,105157175,30408704,16580608,196608
634179,211894,69850374,82753326,43897162,0,0,105178810,24641536,21430272,131072
515515,183188,55640426,69816102,39616974,0,0,105090069,23068672,29032448,0
590370,226538,64329057,77978543,42130094,0,0,105073646,20774912,18939904,196608
595682,220796,65036434,77945273,41855702,0,0,105122317,24051712,17104896,0
599501,212437,65514543,77983463,41447156,0,0,105054164,26542080,13500416,131072
607890,208371,65535468,77958311,41375591,0,0,105087700,30081024,15466496,196608
610332,204203,65896667,77941559,41179167,0,0,105208222,30867456,16252928,65536
606183,215762,64948723,78045426,41568384,0,0,105151594,21954560,23658496,0
574429,217293,61807711,73866309,39438807,0,0,105184576,21889024,14155776,0
575501,214034,60895023,73165005,39102811,0,0,105129739,21561344,16252928,0
578043,210063,61202953,73081119,38835800,0,0,105428027,26148864,14286848,0
587005,203846,61792147,73068864,38581265,0,0,105435196,28180480,15073280,131072
589148,199175,62005118,73213390,38598028,0,0,104415466,30736384,16908288,0
475857,202517,61968840,73135826,37341104,0,0,105261435,22216704,28377088,3342336
559511,222425,58031627,70651144,38226594,0,0,105379681,20250624,14942208,0
547365,211529,57045434,68299712,36395388,0,0,104955112,19660800,15073280,0
555751,206563,57481908,68227990,36162752,0,0,104935674,23199744,16121856,65536
558010,200349,57686751,68307148,35928529,0,0,105116870,26935296,14417920,0
561833,196202,58211658,68239135,35594848,0,0,105314650,29097984,15663104,65536
568109,191923,58638325,68257951,35600184,0,0,105133404,30015488,12189696,262144
566466,201601,57798611,68066824,35814538,0,0,105090686,24051712,17956864,0
530091,197860,54097252,63394112,33184337,0,0,104770680,23134208,16252928,65536
527251,197722,53696517,63466704,33358193,0,0,105238536,23330816,13828096,0
534153,197648,53839699,63443850,33185587,0,0,105066128,26411008,15073280,589824
539600,190478,54360881,63407579,32958484,0,0,105020548,28573696,14286848,0
546926,186441,54409891,63361972,32787971,0,0,105386844,30605312,13172736,0
531932,193978,52028473,53921989,27660899,0,0,105203452,26935296,22151168,196608
512346,197055,50910328,60343289,31774540,0,0,104870300,23003136,13565952,0
501734,190959,50262702,58622887,30436915,0,0,105218941,20119552,12451840,0
502189,189948,50264378,58489621,30262088,0,0,105619404,18350080,11796480,458752
503569,189824,50269686,58521806,30264726,0,0,104925823,23330816,12648448,0
511369,182616,50840776,58532451,29983926,0,0,104413520,26804224,12058624,196608
516890,177026,51191295,58582260,29930966,0,0,105471172,28377088,12451840,0
516174,177222,51109884,58546527,29891987,0,0,104658452,26673152,15269888,0
514270,179518,50894859,58501901,29956520,0,0,105204368,27787264,13762560,196608
520485,180039,50890736,58586832,30018336,0,0,105240660,29425664,15269888,655360
519587,178450,50650150,58504042,30047542,0,0,104870396,29687808,15073280,0
517577,182947,50397788,58608236,30241275,0,0,105154076,27000832,13172736,458752
520071,184600,50290229,58580993,30300871,0,0,105240884,28049408,14090240,0
