category,bfs,freqmine,streamcluster,SP
runtime,39.0764274597168,102.21760201454163,115.3842122554779,234.4922158718109
l2miss,7676895.401360543,48673877.85751431,165805483.33920705,452475542.43369734
l3miss,3331605.442176871,8016991.846073843,132136137.68281938,239006762.54067305
instructions,5492615834.0680275,25636389206.874676,9644784996.431717,17880076457.88277
cycles,2388131259.4285717,14227052585.522621,15055964139.735682,11637266973.015377
stall_cycles,486882583.56462586,3556772713.4373374,9877192955.726873,4666825996.960107
intra_coh,593459.6734693878,12336081.289651588,11414198.88986784,30802.496099843993
inter_coh,0.326530612244898,0.21840873634945399,4.387665198237886,0.39670158234900826
wall_cycles,2126843184.3809524,2164879732.459698,2116692847.7973568,2176906959.2288833
llc_size,213784673.52380955,671351738.2423296,754015642.5022027,471669909.48072207
local_mem,341575415.292517,447589409.5475819,8880734280.176212,18681816893.104523
remote_mem,3304441.0340136057,4668289.797191888,28550022.20264317,121092767.40806775
