l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
30252586,19990768,1940889557,838674428,168664796,292,0,1031860996,38993920,13952548864,96534528
45837242,18232943,953616580,837649466,423666771,572,0,105454176,33357824,2175991808,20054016
34579524,20725873,1492489719,837565351,282241772,839,0,105252204,35848192,1367408640,0
36091032,18001105,1372967913,838270673,299244877,639,0,105712820,35192832,994508800,12648448
29252600,16717338,1427441389,837857188,266112908,644,0,105213264,31653888,958398464,0
31433028,17264877,1356471470,837391121,296762891,13521,0,105766280,33816576,792854528,0
33651829,19214671,949938816,837168072,467051522,2554,0,105034976,38797312,2015297536,34734080
35569254,23804888,2032627811,1062807691,283279705,272,0,4841369821,34865152,1995702272,0
41876643,15674409,1022017067,1015507264,579365445,202,0,105399807,39190528,2060976128,9699328
42309575,21218442,1545723797,1021279754,517530413,813,0,105522981,36306944,1733754880,0
41690843,19544477,1657073147,1024164135,396551585,912,0,105426120,33226752,1048707072,0
27762222,15801794,1456732273,889140766,323534586,311,0,105163689,38338560,847314944,21430272
32287876,18153995,1436587940,1017441581,429730994,12648,0,105772351,32571392,837091328,0
33860507,19176947,851546371,946976603,561665529,3709,0,105741067,38469632,1965686784,41418752
27719248,19480442,1626755661,817428673,287676216,197,0,105336604,34734080,1655701504,0
37256151,18009190,1352452017,798374130,251656391,191,0,105213208,38731776,1869021184,17432576
37114169,19509811,1009026105,796623403,405344350,1000,0,105359588,34471936,2127298560,0
40022824,19756419,1813435733,797192646,169507862,691,0,105357568,38141952,847380480,53805056
28877404,16264114,1460057315,798180962,266396883,701,0,106016728,33882112,872611840,0
29866850,18382668,1154119284,796918135,298948019,7817,0,105155708,34013184,981991424,5046272
30621123,17227423,1300409393,772514664,255808044,7818,0,105729980,38666240,911736832,22806528
31447203,21269533,726588168,756244239,437423251,1042,0,105189646,30605312,2254307328,0
24833990,19069261,1817060293,756658710,118977141,205,0,105408070,35979264,1381695488,0
41483640,18229992,961377186,757117406,303992321,368,0,105700637,39124992,2071330816,19529728
34175233,20087788,1202253663,757804482,322144609,1119,0,105086555,34013184,1693253632,0
32907650,18883943,1664325003,756779447,211700159,758,0,115175887,39256064,1046675456,6684672
28883603,15497372,1405354682,742175968,191423962,538,0,96485832,30867456,551419904,0
23724272,13852448,1020968254,657425990,260053896,7952,0,105240648,33488896,904396800,0
28134119,16013820,1201376466,717151291,235796762,12949,0,105381052,38928384,824836096,29163520
29706041,20064532,666907275,678722674,380145807,719,0,104985712,36241408,2182021120,0
23749306,17362159,1470612518,686037477,127937794,260,0,105261186,34209792,1337786368,0
36317458,18349651,1308669726,716878718,238864994,734,0,105429023,38273024,1870331904,11599872
35080833,20161761,1033918536,712427530,315867880,1066,0,105481462,32899072,2007367680,0
34661191,17699699,1596120591,683477546,128588319,177,0,105527706,34209792,706412544,11010048
26367514,15140288,1226180373,678350024,226617480,924,0,105406206,34013184,963444736,0
26408182,16803719,1191609813,677788887,223982077,6065,0,105471642,34078720,908460032,8192000
27513146,15232083,1175841945,676876174,210428674,13467,0,105446152,31260672,721420288,0
30028899,19181403,839768130,677840967,324683010,3924,0,105420187,38469632,1856765952,26869760
26834443,18167706,1405507280,678193139,185697900,169,0,105622394,40632320,1632108544,0
29835727,17484350,1433036495,658572387,139219971,271,0,105493163,38404096,1553072128,6946816
36646729,19109508,906642212,637332619,264261313,1425,6,105472056,38076416,2087452672,2162688
31119836,18899525,1343193590,637713365,143504449,514,3,105431730,35454976,1047855104,0
27656303,15509358,1334588496,633586092,177972797,1065,9,105557176,35848192,912130048,1179648
25878444,14347714,1225783115,638311615,158623720,279,0,105586983,31719424,636289024,0
24394895,14965469,1117369510,627050341,208799747,7048,3,105542842,31784960,993001472,7733248
25722993,14764289,1081629546,599764890,176717549,4063,0,105523627,38010880,886571008,19922944
29155248,21037289,699646144,597667045,302560463,837,0,105472536,30736384,2208956416,0
20375662,16381666,1509184897,598282996,69190663,164,0,105560026,34537472,1152516096,0
31081283,18502902,1074550313,598252571,161070536,160,0,105585076,37748736,1764818944,9437184
34555489,20036208,958128465,596172299,241392048,913,0,105404512,33685504,2041446400,0
29337693,15555125,1359381436,566976517,92680065,193,0,105461924,33882112,661323776,0
23145041,13917192,1110990149,545480271,155135340,787,0,105548912,31391744,886964224,5111808
23519524,13338465,1112241427,558992553,128413946,293,0,105566688,31981568,589430784,4194304
21874945,15387998,991806483,558830121,160244333,9224,0,105610980,34799616,977928192,0
23137141,14146997,1018241748,558610521,154885832,12853,0,105433176,33619968,672530432,0
28405589,19444685,732965334,537296930,232168370,1165,0,105623859,39518208,2063663104,26935296
22362652,16002475,1168256937,518156801,80517374,200,0,105458937,33554432,1272446976,0
20909431,16287731,1189645817,518697442,69807076,311,0,105629572,36438016,1209597952,26738688
37102565,20095343,856045983,519080354,172221856,522,0,105572722,34996224,1991311360,0
26126558,17345837,1141633030,518322785,127202351,1031,0,105508095,33095680,1326120960,0
23725753,13961630,1185873936,491291594,89197618,268,0,105361171,21299200,539230208,0
17743582,12277483,838908468,434745285,108989227,616,0,105667103,28901376,813629440,4653056
20084827,12099969,953601132,471204154,107896166,351,0,105464356,30343168,582352896,5308416
19064127,13160912,858917503,470820422,125741417,9719,0,105611978,31850496,905510912,0
20329574,12706362,891104122,471713366,121436060,12769,0,105487275,33751040,638189568,0
19746337,15182518,711117343,409116017,132578878,4206,0,105581439,37879808,1304559616,51445760
22516929,18098091,828147907,475928156,166170980,401,0,105463491,31719424,1699217408,0
16693528,13696927,1255596530,478632653,37686189,153,0,105607061,38010880,970522624,0
28234084,19043739,989557295,478454775,91027852,277,0,105524356,36438016,1613430784,28508160
26158381,16078452,722860114,413316907,144660209,398,0,105293712,16318464,1483014144,0
16513449,11524162,678826631,369867914,110641978,406,0,105569754,31391744,797704192,9306112
