l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
13736,2670,307545394,100689983,6263464,0,0,1011270764,9437184,61865984,262144
13775,2697,308905268,101068494,6263756,0,0,104779752,10158080,6488064,196608
14030,2933,308572206,100954279,6257704,0,0,105062316,10092544,5177344,0
13870,2747,309680770,100898568,6187923,0,0,105107724,10223616,6356992,0
13672,2837,309154413,100863069,6260935,0,0,105201357,11534336,7798784,65536
13639,2887,308913296,101043618,6291124,0,0,105101232,12517376,6094848,131072
13990,3018,308784499,100905993,6289236,0,0,105097875,10354688,10813440,0
13737,2864,307871539,100712208,6222713,0,0,105031620,11468800,6094848,0
13759,2867,307679236,100767407,6330321,0,0,105231882,12058624,3997696,0
14158,2976,309265974,101025855,6165656,0,0,105084231,13893632,5439488,0
13747,2627,307905846,100813316,6262387,3,0,105152757,16056320,5767168,0
13756,2814,307186571,100649605,6258839,0,0,105101730,18219008,5701632,196608
13949,2700,308712932,100925231,6292438,0,0,105133281,20054016,4390912,0
14147,2920,309380714,100875359,6241070,0,0,105151251,21561344,5046272,0
14670,2957,308645438,100820673,6325461,0,0,105160251,23134208,4063232,65536
14346,2716,294928489,97448046,6062493,0,0,105161211,22544384,8650752,131072
14112,2950,307501293,100675695,6298762,0,0,105118272,15728640,13041664,0
14039,2747,308282236,100912310,6266153,0,0,105070617,16187392,7602176,0
14187,3154,308901961,100817754,6274657,0,0,105119019,17563648,7077888,0
13670,2659,308038082,100758190,6220853,0,0,105110613,19660800,5963776,65536
14087,2787,309064904,100925329,6247507,0,0,105113268,22478848,7274496,131072
14000,2793,308544382,100944338,6316108,0,0,105114144,24838144,6750208,0
13894,2759,308853800,100872674,6325360,0,0,105109986,26542080,5439488,196608
13937,2921,308032137,100827219,6308638,0,0,105108621,28704768,6160384,0
13424,2816,308775909,100854572,6230885,0,0,105129090,29687808,5570560,65536
13838,2787,308159063,100867824,6305094,0,0,105113592,31129600,5898240,0
13612,2789,308823010,100965130,6278987,0,0,105149973,32374784,4718592,65536
14328,2943,309114557,100833969,6250523,0,0,105140292,33161216,7077888,0
15188,3083,309351887,100774325,6208975,0,0,105111840,33882112,7733248,0
14012,2895,308621748,100673476,6208692,0,0,105094644,33619968,6553600,0
14426,2857,308408453,100718582,6243787,0,0,105119331,32243712,6750208,0
14434,2895,308517186,100880828,6279384,0,0,105108879,31981568,7995392,131072
14155,2770,308308600,100882279,6277555,0,0,105115545,32374784,6160384,196608
14334,2824,308476874,100901487,6270608,0,0,105110994,32374784,5767168,0
14318,2848,308120972,100825477,6284005,0,0,105104931,32964608,7733248,0
14739,2920,293612309,96787844,5992751,0,0,105146634,29622272,12058624,589824
14718,2847,309425214,100943845,6289969,0,0,105083421,25886720,9371648,0
14396,2885,309926217,100808685,6225330,0,0,105152130,25493504,6881280,0
14241,2835,308619799,100816767,6228417,0,0,105114066,26411008,5963776,0
14234,2906,308859827,100919046,6248637,0,0,105099399,24182784,7536640,262144
13622,2860,309609031,100920090,6177492,0,0,105140871,24248320,5701632,0
13805,2855,308935082,100949786,6315863,0,0,105135048,24641536,6422528,262144
14074,2954,308522182,100887461,6298356,0,0,105124248,25952256,7077888,0
13602,2604,308907977,100949505,6281137,0,0,105111744,27000832,6881280,0
14138,2845,309607714,100907105,6238043,0,0,105125574,28049408,6160384,0
14205,2788,309243422,100880315,6214586,0,0,105176124,29294592,7208960,0
13825,2710,309241306,100978942,6257336,0,0,105145872,30605312,5177344,0
14299,2957,308836055,100887202,6265638,0,0,105108555,31522816,4915200,0
14133,2790,308226124,100838814,6331479,0,0,105110934,20512768,10878976,65536
