l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
31207485,18417290,1284120596,839512019,329446527,5029,0,1216998596,34603008,15372451840,0
31960846,17492917,1373931755,838019522,289213090,11471,0,105587580,38797312,998178816,80412672
33468942,20706531,734668562,839417343,520007927,1203,0,106497612,37814272,2332229632,0
26920377,19942528,1895004751,839300013,189551286,416,0,104584772,34013184,1487077376,0
45449190,17937195,1202440577,837873709,345948772,698,0,105692224,38928384,2103181312,70123520
33651099,20208511,1140919642,836680423,349854933,1497,0,105638324,35323904,1769078784,0
36646246,19249914,1508372757,837408005,261030134,641,0,105028960,35651584,1105920000,0
30152780,16010338,1419740174,783905868,243108698,311,0,105323104,32571392,816709632,0
8375511,8255508,515816121,359178453,136661377,1995,1,4748028699,25624576,596508672,230555648
35046166,18673626,1455593173,1016237900,429789715,9765,0,105504855,37552128,948502528,0
35026205,19457396,836300313,990259114,623335244,725,0,105449589,37617664,2261581824,21430272
31062601,19921953,1962620065,1029509459,268867977,203,0,105419808,38862848,1707212800,0
41394187,15758156,911526306,924243402,460778674,412,0,105279705,37355520,1950220288,0
37521097,20241066,1268970215,1007132260,529025491,20112,0,105534396,36831232,1881473024,0
40001493,20897917,1668907693,1000080570,347645701,406,1,105320082,34471936,1156907008,0
30975151,16376297,1460020801,809157471,249061182,221,1,105527613,37879808,930217984,24051712
28174484,17229900,1326915371,796231151,292334604,10540,0,105376559,32899072,1051590656,0
31219692,18650056,1016313197,794755626,369747880,4847,0,105629891,39845888,1641611264,24182784
26019395,17744382,951132428,716156597,319519882,440,0,105530053,32768000,1770258432,0
29417170,19083974,1728839479,797083071,204257861,357,0,105518298,37945344,1614610432,11403264
44254652,18207716,967924012,797819140,387080670,952,0,105476378,37289984,2172059648,3735552
34802763,19709213,1616913720,772487463,202675922,672,0,105398158,35520512,1293090816,0
29848962,17616200,1244350887,758871293,238656591,617,0,105556792,33554432,1097531392,393216
26271234,15983077,1325582818,758243907,235198515,1641,3,105352461,33619968,1072365568,0
29232528,16692576,1298286096,756889617,252154634,11470,0,105362481,31588352,890044416,6815744
32592583,19115948,991794102,757252998,379274405,3675,0,105480518,39124992,1851260928,20643840
28229929,19495525,1366070891,758475745,245869983,368,0,105544164,35192832,1740570624,0
33356868,18370544,1472152039,749569304,202081785,210,0,105609874,37224448,1731723264,6684672
37177075,19394672,949705012,722118068,331911454,1117,0,105552783,38010880,2166095872,3670016
35314396,19352349,1547134179,717736833,159913614,410,0,105365320,35520512,1008009216,0
30184363,16527983,1253035355,717624562,239172903,987,0,105425187,33554432,1070006272,983040
26733020,17148809,1170738393,716999154,234486641,2916,0,105404111,32571392,1069809664,720896
28889299,15542414,1238821633,712497017,228474724,5397,0,105489674,36241408,853671936,524288
31165888,19532671,929507071,717591649,322280642,2262,0,105679571,38600704,1822294016,17694720
25158934,19420854,1165830080,690531299,253920823,266,0,105405692,34144256,1693450240,0
26978048,18066017,1385869951,677751357,155677233,252,0,105524680,36569088,1564540928,5898240
40244432,19967236,966110792,677577855,305677682,754,0,105620972,38666240,2125922304,14548992
32895626,17761629,1521950900,675854678,176676915,556,0,105447168,33882112,1183973376,0
26037560,16587513,1195723122,678260248,188216746,572,3,105518181,38469632,1047330816,655360
27506171,14751360,1273358179,677543098,184320918,269,0,105328821,36831232,824573952,29622272
