l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
958565,280574,93415565,101252367,49817936,0,0,1152612888,27852800,206438400,1638400
951772,299591,91802217,101710850,51143852,0,0,104792697,22020096,22806528,0
955035,302907,91041316,101598861,51193139,0,0,105219387,26279936,19791872,131072
960164,308617,91253130,101505461,51412921,0,0,105142480,21037056,26804224,393216
939981,303704,91848248,101511429,51296402,0,0,104988293,27131904,25559040,196608
951262,295984,92193578,101687144,51300293,0,0,105190524,20971520,25821184,196608
945607,313564,90734734,101679600,51795192,0,0,105205211,25821184,22806528,0
732653,353598,91974905,126823811,74315605,0,0,104701809,19857408,19857408,65536
811576,281186,101886277,126976970,69905738,0,0,105020751,20316160,21757952,720896
793541,248952,92606064,117531907,65253133,0,0,105138537,27590656,28704768,0
841580,256223,95569090,121441746,67891515,0,0,105097842,25493504,25296896,458752
821981,287010,99891803,126332713,70839180,0,0,105033948,24772608,23461888,0
839813,275606,100756784,125928822,70332223,0,0,105062856,21495808,25493504,0
669391,265553,80325032,97345990,53623828,0,0,105184608,15597568,27066368,0
677937,255872,81448907,97332872,52706930,0,0,105162000,19202048,18415616,393216
679510,263307,80591917,97406337,52842497,0,0,105129915,18415616,22151168,0
691609,246198,82264942,97115023,51848469,0,0,105171980,26017792,18874368,327680
697076,243362,82409459,97246332,51819206,0,0,105054988,23003136,22675456,65536
698205,242889,82453905,97125271,51858069,0,0,105164609,25952256,18546688,0
670507,251862,78064833,94040330,50837077,0,0,105164623,13893632,28966912,0
651685,248691,62377383,80375653,44900320,0,0,105082296,20054016,25559040,0
661067,253009,76264149,92505475,50423666,0,0,105190904,15728640,21561344,0
661554,251063,76645875,92443251,49889340,0,0,105038848,23199744,19005440,65536
679092,240444,77906547,92486753,49435780,0,0,105136014,21233664,23134208,0
682637,245985,77344591,92578975,50040937,0,0,105126780,23855104,17301504,262144
688129,240158,77199852,92479834,49836429,0,0,105125322,19464192,22937600,196608
688470,272313,77053965,97513083,54959852,0,0,105115904,16187392,21626880,0
697498,266561,77644689,97566787,54621301,0,0,105166287,17498112,20185088,65536
701062,276567,77080132,97662868,54885011,0,0,105145639,18481152,21364736,0
717564,256417,78864156,97390755,53756776,0,0,105098403,27131904,17432576,0
715071,256731,78960126,97573921,53871055,0,0,105156260,20905984,22544384,0
721818,254995,78769560,97388836,53697175,0,0,105104937,26673152,19333120,262144
592241,215234,63310624,81582047,47214729,0,0,105036544,16449536,31653888,0
671302,274296,72979828,92727718,52329025,0,0,105126258,19464192,18481152,0
683526,265399,73352094,92711150,52149549,0,0,105155775,14811136,22544384,393216
688504,263162,73773921,92693016,51678712,0,0,105049314,23789568,18481152,0
693266,255708,74036014,92733763,51638376,0,0,105190416,16121856,24641536,65536
695227,259759,74133205,92607649,51496853,0,0,105021591,21954560,16842752,65536
711127,259422,74943363,93759357,51737080,0,0,105185817,15597568,23461888,393216
707244,285540,74166027,97735779,56657311,0,0,105168750,15269888,24051712,0
707114,283278,73857794,97722838,56597528,0,0,105105426,17235968,22216704,0
711468,283191,74693199,97717333,56241748,0,0,105078141,20250624,19529728,65536
729778,262976,76581488,97552139,55187166,0,0,105162168,27787264,19202048,0
733510,266525,76343770,97663278,55219374,0,0,105154910,21430272,25559040,196608
738558,264891,75924913,97621034,55425229,0,0,105086386,25165824,20185088,131072
567318,279660,72205888,94617443,52764512,0,0,105133548,13565952,30998528,524288
689811,280072,70592659,92760557,53426627,0,0,105116556,18415616,18219008,0
699597,274368,71655978,93000297,53190820,0,0,105188265,15728640,24772608,196608
712882,266977,71826916,92914339,52892564,0,0,105148059,22937600,18350080,0
724575,257206,72612908,92748941,52162198,0,0,105070125,22413312,23724032,327680
721195,264452,71910141,93004249,52752858,0,0,105102429,22151168,18087936,0
718877,260036,72037370,92733114,52509267,0,0,105141369,19267584,21168128,65536
692529,291398,68797129,93091048,54392774,0,0,105176379,13565952,21823488,65536
701405,283732,69527519,92833986,54096341,0,0,105122280,18481152,21626880,65536
712840,276569,70080028,92934442,53732469,0,0,105108648,18677760,20512768,0
709483,275503,70174893,92856515,53471515,0,0,105188096,19529728,22347776,262144
714888,277190,70273893,92891659,53569839,0,0,105008824,18415616,20316160,0
703870,292141,67938619,92939973,54598956,0,0,105169812,11010048,22609920,0
687429,306772,63414371,79052617,47511095,0,0,105098394,11206656,30867456,196608
708709,293283,67890055,92964023,54834398,0,0,105157692,14745600,19595264,0
710349,282924,68554970,92982841,54430502,0,0,105220850,16777216,19660800,0
714094,285004,68716191,92977940,54509585,0,0,105157016,16318464,23724032,458752
716519,284399,68502876,92941218,54509282,0,0,105158615,14090240,24051712,0
702135,297312,66489687,93023590,55677479,0,0,105154413,11993088,20840448,131072
704610,296997,66718994,93041901,55581755,0,0,105109812,13959168,20774912,0
714075,289700,67576715,92966545,54846318,0,0,105062344,16580608,18808832,0
723709,283550,68515398,92958746,54512534,0,0,105200020,18874368,21626880,0
724882,281979,68341266,93006832,54556982,0,0,105142731,18939904,21823488,327680
718875,284366,68049500,92931672,54737264,0,0,105056887,12582912,21823488,262144
713452,298811,66407435,92999065,55547263,0,0,105104014,15007744,20643840,0
691344,226472,55492998,79845677,46514857,0,0,105176124,17432576,29687808,131072
714150,295876,66800615,93061424,55462042,0,0,105067496,16973824,20119552,196608
722301,289551,67237102,92999181,55077155,0,0,105119217,16318464,23003136,0
704742,297516,65654940,92991328,55990138,0,0,105169669,12124160,24379392,65536
720984,295740,66460704,93014207,55524011,0,0,105027494,17235968,19726336,0
731351,286506,67395328,92968215,54938261,0,0,105136460,18546688,22347776,0
733431,284830,67425190,92999115,55021446,0,0,105113988,18284544,22806528,196608
730453,290445,67330681,93098832,55065271,0,0,105045496,14548992,21626880,0
718581,294159,66560984,93096096,55703248,0,0,105182900,16318464,21757952,0
730461,288563,67348185,93167370,55285837,0,0,105071756,18087936,19922944,0
733925,286184,67416442,93058948,55129077,0,0,105093793,18808832,19988480,524288
736163,287975,67325999,93103686,55151149,0,0,105082279,19070976,22806528,196608
703021,296581,64081889,90381396,54176419,0,0,105104001,11993088,26214400,0
538872,236284,51773954,77018654,52614742,0,0,105191281,15007744,27000832,0
703512,287137,63958507,88295585,52110450,0,0,105045171,18677760,20250624,458752
712555,279041,64532203,88138384,51858789,0,0,105103878,18415616,21823488,0
713127,278338,64685260,88257557,51884922,0,0,105102220,18939904,20709376,65536
715132,282415,64276277,88581402,52204389,0,0,105118573,12648448,26017792,262144
717650,306024,64080204,93161156,57096324,0,0,105151488,12058624,23658496,0
726269,301408,65280693,93089951,56220966,0,0,105083672,16973824,17301504,0
742214,289668,66327161,93263694,55868865,0,0,105062332,18677760,20119552,65536
744197,289674,66537230,93161215,55673581,0,0,105627495,18808832,21168128,131072
744350,291935,66121999,93140087,55924744,0,0,104938265,15400960,21757952,262144
744277,310916,65456908,96437244,59893043,0,0,105678876,12451840,22216704,0
750848,316238,66196845,98067557,60760725,0,0,104275575,15728640,22478848,0
769059,304870,67868725,98025234,59974613,0,0,105262441,18415616,22413312,458752
639722,322741,66002186,94856312,51836470,0,0,105234171,13697024,30081024,0
771412,309920,67474708,98077247,60185315,0,1,105110754,18677760,19595264,458752
769029,314758,67574141,100317673,62576326,0,0,105022047,11927552,25952256,0
775649,331027,67185965,103108436,65175360,0,0,104872311,13500416,23658496,0
785632,326513,67866203,102973771,64714542,0,0,104978127,16580608,24117248,0
803672,316242,69191137,103015016,64036719,0,0,105314409,18874368,22085632,0
803288,312880,69641067,103024790,63793783,0,0,104797674,18743296,21889024,196608
793985,314642,68088931,101849636,63425448,0,0,105129996,12124160,23986176,131072
752132,325866,64699351,98160930,61642156,0,0,105052869,11993088,20709376,327680
771549,312559,66133273,98094774,60844856,0,0,105557160,17170432,22937600,0
784558,306398,66928184,98312671,60441237,0,0,104734715,18612224,23461888,524288
784232,304055,66962813,98107973,60382239,0,0,105404977,18677760,24576000,0
787318,293034,55975024,83905352,50987251,0,0,104854697,13697024,34013184,0
750144,328530,64018703,98265092,62159637,0,0,105043478,15597568,22151168,524288
785273,309258,66304211,98152244,60771167,0,0,105385337,17825792,22478848,0
784874,305959,66795799,98197597,60437147,0,0,105189723,17891328,20643840,0
783516,307266,66222218,98172669,60785412,0,0,104803553,17956864,19464192,524288
774100,313813,65162192,98118416,61181528,0,0,105053311,12582912,24838144,131072
774903,313522,64632497,98173095,61591861,0,0,105386328,15925248,20774912,65536
788498,311197,65735201,98255446,60960277,0,0,105261030,17563648,23134208,0
784716,310137,65697510,98215518,61109064,0,0,104787849,17301504,24313856,786432
732773,288233,60982129,91239397,57045169,0,0,4851805322,983040,26279936,0
733461,337278,62431755,98262357,63794056,0,0,104815141,12845056,17039360,0
782170,316354,64648269,98389231,61752136,0,0,105108192,15597568,23592960,0
781454,314041,64615992,98277727,61537578,0,0,105120237,16580608,19595264,196608
601839,260672,54144881,86576225,60929006,0,0,105205821,16449536,30146560,393216
753603,336494,62035720,98259253,63090833,0,0,105090342,10289152,26411008,0
766508,326606,63450200,98402289,62606739,0,0,105076956,14417920,22544384,0
778657,320770,63974674,98270291,62005088,0,0,105199875,14876672,25952256,0
783262,320427,64202101,98454309,62000489,0,0,105119670,14548992,24248320,327680
781623,321189,63840196,98265175,61886014,0,0,105157219,14614528,22085632,0
757064,340175,61133742,98337474,63429626,0,0,105248422,11206656,26279936,0
775408,323870,63035725,98318400,62514542,0,0,105326209,15728640,21233664,131072
785786,317717,64126030,98288429,61897349,0,0,106326705,16384000,21233664,0
789607,317908,63981391,98386318,61933298,0,0,103995906,17039360,22347776,327680
789757,317643,63751223,98360683,61952083,0,0,106124268,13893632,22282240,0
772822,332745,61946869,98456624,63034941,0,0,105140390,12648448,21692416,0
786569,322027,63443634,98356798,62249464,0,0,104740309,16777216,23330816,0
628025,335543,62267213,95200308,53745752,0,0,105822911,17039360,29229056,0
792950,320422,63660700,98301909,62026648,0,0,104801205,16646144,23134208,262144
778347,330180,62131390,98375369,62993131,0,0,104195860,11010048,24838144,0
777566,326520,62452189,98326814,62814603,0,0,105495793,15007744,19398656,0
793262,321296,63181375,98472374,62393913,0,0,104729554,15794176,21889024,524288
792619,318610,63383134,98343132,62270405,0,0,105318763,16252928,20774912,0
792659,319991,63027187,98467750,62456638,0,0,105564064,14483456,24182784,262144
774996,324355,61104068,98172204,62988514,0,0,104874260,15335424,20185088,0
790814,316172,62645137,98332792,62520840,0,0,104386338,16973824,23199744,131072
792809,317171,62985784,98322548,62444591,0,0,105966971,16973824,20119552,0
790983,316004,63002446,98305229,62441848,0,0,105166975,16384000,22347776,458752
785263,321429,62039675,98423202,63062400,0,0,104095143,15466496,28573696,0
794090,305532,52332622,83486460,52634040,0,0,105825767,16318464,30867456,0
778119,328996,61289958,96001516,62018046,0,0,105539036,16580608,21233664,0
792980,318072,62321680,98332093,62691030,0,0,104980735,16646144,23396352,0
766636,326796,60442104,96833154,62031315,0,0,105035212,10682368,23461888,0
759076,320924,58879916,93515312,59643616,0,0,104479242,15335424,21561344,196608
768730,314303,59939789,93413645,59095535,0,0,104623655,16318464,22151168,786432
772162,309298,60287127,93524583,58858564,0,0,106504533,15204352,20905984,0
768299,311752,59918963,93462875,59156618,0,0,105270543,16252928,19791872,0
774917,310958,60137087,93584150,59004266,0,0,105715104,16187392,21757952,0
784295,316464,60757997,95894977,60977207,0,0,103234085,15532032,23003136,589824
773811,338488,59614469,98460337,64196337,0,0,105230740,12779520,24969216,0
794903,326331,61245559,98363140,63320243,0,0,105615430,16515072,22282240,524288
800705,319428,61853645,98543806,62965526,0,0,105839357,15990784,19529728,458752
