l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
28771410,18602086,1638366698,839407960,251888087,869,0,1255228328,35848192,17387945984,0
31581397,18152552,1273117456,838469907,308973226,5467,0,105475748,34275328,1251213312,0
31172684,17581137,1355832378,837771049,301165625,14008,0,105561912,32899072,1028718592,0
33018766,20126180,758304028,838954443,456333626,4052,0,105914520,38600704,2189950976,97779712
27083607,20009157,1618182608,838881122,280446720,359,0,105573748,35258368,1568079872,0
42568117,18953338,1429496415,838113647,302485611,654,0,105443288,38141952,1991835648,34996224
33905240,19912508,1104096048,837455820,375223592,1256,0,104908048,34471936,1887305728,0
37573165,19474910,1446609615,807772947,250478076,206,0,104723324,12189696,1105788928,0
16427545,8415431,736958838,433324428,140407506,247,0,4738169187,12779520,571473920,14942208
28432656,16791412,1399753982,951329155,373926331,865,0,105459486,36700160,1127088128,0
36503658,18775802,1566850963,1026707779,416444481,10083,0,105387315,31195136,1051721728,0
33365800,19295078,760535476,987561554,654928878,683,0,105392646,40304640,2315190272,56164352
32211169,21116687,2166356542,1022465817,273561432,377,0,105427257,32571392,1652424704,0
41813001,16059013,930466597,916256974,473898962,346,0,105256617,39059456,1889730560,43778048
33731608,20074393,1100545802,829861406,381141658,856,0,105471027,34340864,1769406464,0
37810616,19045749,1572053508,791523210,232948323,818,0,105331821,31850496,1163526144,0
30781238,16450389,1467700437,796056256,219764421,104,0,106192944,35127296,913506304,0
27506056,17241068,1193479064,796927439,292872885,11189,0,104569440,37224448,1227816960,9175040
32810414,17974024,1150374878,797786311,323199470,9089,0,106391394,37552128,1541341184,26673152
26982733,17871130,697255961,671081649,351735528,628,0,105095769,32768000,1841496064,0
26158474,19065590,1802457801,757307951,136753497,313,0,105049779,38207488,1441529856,14286848
45577499,19282987,963093870,757430077,343894767,480,0,105399747,38928384,2140209152,0
32431143,20343651,1399080042,757779565,246163783,1199,0,105279195,38600704,1527316480,0
33584605,17672919,1417456249,758280812,237088168,821,0,105432375,34078720,1160183808,0
28983097,15878689,1385028046,735988640,204254371,361,0,105548430,38207488,953221120,33292288
25839683,16979356,1077226662,717674986,260445082,14195,0,105396720,35258368,1168441344,0
31116493,18828534,1057539916,717839631,288972289,8846,0,105524640,37814272,1511587840,40697856
27069898,20025132,1061821116,718043592,342116394,611,1,105446223,30015488,1930625024,0
28041844,18254109,1591613130,718197642,114035985,319,0,105481326,38862848,1462566912,10158080
42785285,18893573,936878410,709960633,314761426,299,0,105418644,34275328,2072182784,6356992
28718907,19316856,1320678606,674742283,215471548,564,0,105452724,35913728,1428226048,0
28874792,17605202,1367032434,688887783,168874363,694,0,107210244,33095680,1163264000,20054016
27477744,14887416,1292146139,677861635,166977965,261,4,105407698,33357824,868286464,0
24382338,15835768,1126964178,674630237,223300309,9070,3,105740484,31784960,1211564032,0
28934029,15983153,1154266610,678236367,216934573,10297,0,105663032,39518208,1188954112,66322432
29723223,21178224,717242378,664759625,347432431,907,3,105049704,32440320,2100756480,0
21617469,17351133,1595115039,639340741,78274338,177,0,105786024,34013184,1210580992,0
35423431,18890487,996331036,638642265,209031836,354,1,106004928,38141952,1988493312,39845888
33964979,19860732,1112859509,638509696,261973483,985,0,105051568,34013184,1768554496,0
32244692,17005318,1506731692,638250064,110007776,208,0,105954308,31326208,908460032,73007104
24304191,15967241,1099925390,637677266,190915950,625,0,105169060,33882112,1061355520,0
24494894,15804318,1075016480,633019036,198721741,3800,0,107253244,35782656,1162215424,0
24948923,14635162,1092829259,599417359,171019611,8471,0,105288312,31719424,865992704,393216
28301389,17604911,926676019,598296751,225904686,6877,0,105490388,38207488,1604780032,16973824
26413400,18941149,965482543,598592639,207728812,410,1,105496151,31326208,1728380928,0
21113951,16275722,1504894820,597544088,70930234,426,0,105462909,39321600,1219035136,23724032
39300744,19324776,884674162,598285137,228300040,266,0,105889464,37552128,2008154112,9961472
29195434,18873303,1179343972,591112852,192654011,810,0,105314564,35586048,1548812288,0
26865636,15614707,1274824151,566259789,100520960,165,0,105682680,36962304,1008664576,12582912
23324601,14529848,1047912882,558500807,147551767,493,0,105448220,32374784,842596352,0
22203042,13355425,1030447680,549561553,153410367,2281,0,105838852,33095680,1022754816,6225920
23797834,14292743,1020312581,557991054,159439862,10906,0,105050828,32768000,902561792,0
26081407,16555975,934253257,554858174,176047404,6937,1,105894183,40108032,1358430208,14811136
17121269,14390884,429782975,375558534,167546355,246,0,105419049,38535168,1424031744,5832704
20522369,15916384,1252773416,552004921,94725084,303,0,105559156,31064064,1153236992,0
22434578,15830767,1188895366,531208041,93905890,225,0,105471791,39714816,1336016896,13238272
36264349,20736258,903057352,518483546,174829706,797,0,106718757,36700160,1988558848,1900544
26277752,16786063,1160130317,518490841,118182479,660,0,104695688,32374784,1205534720,0
23724856,15241035,1152773664,518390947,104301662,507,0,105489128,32047104,1049362432,196608
21872304,12960594,1035438050,517097029,118870751,306,0,105188148,29884416,787480576,2162688
19895602,11889765,921773684,509575497,147126564,2037,0,106462303,33882112,979435520,3670016
22560446,13197795,988504336,515325791,132992416,8485,0,104751047,34078720,825950208,0
22578207,14851092,895359146,490545750,132864238,2739,0,105489546,36503552,1027014656,44498944
24005096,18430405,561346653,442022618,190365484,748,0,105294025,14417920,1892483072,0
14908467,12160473,1000373847,391232397,34556774,118,0,105476971,31457280,880345088,12386304
14956716,11239295,1112736683,464038139,53286776,220,0,105628214,36503552,893976576,9306112
32902422,20923479,843071952,473443386,138478913,409,0,105649470,38010880,1828847616,20709376
24577875,19695685,946243820,473205390,147206803,903,0,105433684,32964608,1623195648,0
24620512,13800844,1155130873,476280858,74690653,164,0,105489372,34471936,772079616,8585216
21688567,12957122,988670474,475213831,115259804,815,0,105523820,33095680,968294400,4980736
20532579,12208229,975035062,478829136,104348572,178,0,105602718,32702464,732037120,0
11478909,7563673,538336379,344997640,110672487,185,0,105082917,12976128,639172608,0
17154463,9737041,757808587,394794619,97283967,4654,0,105491349,32440320,577896448,12845056
18604644,9693879,814207949,415271229,94441272,3874,0,105294681,25231360,547422208,0
5188345,1848927,233889475,154176525,48508257,141,0,105453867,28049408,146800640,37683200
14979060,11360896,456230548,317993525,120137932,470,0,105411429,18481152,1142751232,0
18451206,16686835,503084007,333429400,108832380,255,0,105350673,28442624,1359020032,3276800
12734302,10306610,944979423,358385033,26203961,122,0,105407268,30605312,714473472,18284544
10194552,8029193,773541136,301187405,30653901,96,0,105336810,21823488,550240256,0
13575600,10649598,561046205,265057051,54175677,383,0,105337350,33751040,869662720,16973824
11866035,9653391,379843832,228323573,63724209,192,0,105812267,34603008,823984128,42532864
17958776,11739910,568792738,299232681,90941813,2271,0,105334551,12517376,999817216,0
11353223,9315055,591459891,297055316,80930359,266,0,105445760,30408704,728104960,0
19194027,9162782,902494178,358425753,47681528,63,0,105266990,30408704,381353984,0
12188379,5709587,638404796,257584424,37961880,71,0,105481408,13303808,244056064,0
10660218,7667845,508536405,300536354,87071824,256,0,105946344,28639232,548601856,7340032
16022121,8093959,762334421,358133343,63067658,48,0,105474628,26869760,419692544,2293760
12289139,5353828,588120503,289602456,55585725,18,0,106004969,22282240,248315904,0
10098447,7268120,500610595,296937437,91765982,1833,0,104363826,25952256,614858752,7012352
15111137,7762080,665949793,328897699,69784730,1320,0,106834371,28835840,385810432,524288
13232469,5994336,591820254,298181591,62902175,456,0,103864978,24379392,317784064,0
8150678,3543627,387768150,212595378,53559583,173,0,105683627,33816576,245170176,41222144
15124018,12698039,435902138,268601021,88451025,297,0,107478203,22347776,1072037888,0
15436270,11294165,404323900,288968469,105661141,356,0,103663651,24576000,1292042240,0
9577466,7733718,694498612,264527874,19138833,292,0,105180222,21495808,523763712,0
8144368,6569088,623787594,238937305,15679125,23,0,105483518,20643840,465502208,5832704
7767600,6130748,604443441,238933796,16584529,21,0,104903239,17563648,435093504,0
12560520,10417325,451999711,231720668,46488075,77,0,105508095,30670848,850395136,24313856
10785828,8231886,363239257,187158940,42517945,70,0,105110348,29294592,573964288,3080192
12304919,6003110,373251697,164926493,33731798,126,0,105334663,22413312,557711360,0
7140243,7500032,344886778,170771541,55554812,261,0,105691320,28508160,685047808,0
7583456,5038122,392663258,178872738,36277693,165,1,105347774,19005440,309198848,0
9643710,4509063,446157340,179088317,23303542,9,0,105202979,16711680,189399040,983040
6735632,3529615,322644700,127937524,15832896,8,0,105420042,16646144,158400512,0
6395811,3299364,294387785,119339760,15670549,6,0,105388493,13893632,162332672,0
5920386,2893227,287787794,119225407,17115172,15,0,105200641,13762560,164167680,6356992
4854756,2605667,241231990,108022868,25941062,31,0,105117509,5439488,116457472,0
3441519,3701953,145588093,118449835,45677078,90,0,105702016,3080192,364314624,196608
2080799,1064606,97123653,67046616,24960846,130,0,104984061,9502720,91684864,7340032
2606034,2019171,124483541,59474597,11502806,0,0,104947878,10289152,132972544,0
1804845,1622396,108336133,52522131,10084632,0,0,105871871,11534336,116850688,2490368
2366334,1665775,118698529,56752958,13059325,0,0,105258454,9502720,117112832,0
2599144,1765736,121784469,58989361,11171156,0,0,105112742,8847360,131792896,0
2493029,1775489,119174791,57827887,11642961,0,0,105487326,9306112,119668736,4194304
2876223,2024286,124282668,58443884,11038726,0,0,105509936,9633792,125042688,0
2564058,1615912,128894751,58941941,10335328,0,0,104711712,12320768,118882304,1441792
2535387,1666049,121987265,57602013,12311142,0,0,104783099,8781824,120979456,1769472
2493804,1830464,120934879,58926373,11753766,0,0,105208923,12582912,131334144,393216
2691782,1942340,121793615,58027545,10709641,0,0,105195096,10092544,126287872,0
2679842,1755028,128148572,58829427,10518035,0,0,105449280,11862016,124715008,1966080
2549984,1706375,120793875,59025103,11477272,0,0,105237482,11272192,124452864,1835008
2323651,1521151,120933861,58062512,9832514,0,0,105214613,9568256,110297088,0
2405692,1716793,113518194,57635147,11839925,0,0,105298312,9633792,131137536,589824
1341255,414199,58287611,58491278,22710716,0,0,104969935,524288,64552960,0
1995461,3020423,94941270,58554317,20157637,0,0,105213752,19595264,230686720,6422528
1065649,1585649,65516725,59086947,28959575,0,0,105170545,65536,130088960,0
1782511,1283123,88108914,59312097,18995501,0,0,105232920,11730944,96862208,7667712
2832220,2079317,114896935,59363549,13757245,0,0,105366591,10813440,156434432,0
2847631,1821820,122667898,59341050,12082378,0,0,105042405,11141120,117243904,2097152
2799258,1578680,127191875,59312586,12723308,0,0,105408213,10747904,119799808,0
2546875,1636353,117332646,59355102,14205536,0,0,105028224,11665408,132907008,6225920
2999710,1940959,116685560,59399939,13073830,0,0,105211410,11272192,149422080,0
2576028,1882991,120947294,59321493,12606060,0,0,105215328,9830400,117374976,0
