l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
3594470,236407,1440531895,582069594,50492707,323063,0,1220975696,15400960,67502080,851968
4336942,31607,1529696149,707881010,79649809,418661,0,105216780,11862016,1441792,0
2830391,216014,1246719527,497599169,46084217,280964,0,105274688,15990784,12910592,262144
3963540,22639,1654975454,744941813,73827009,385188,0,105525568,12713984,1507328,65536
3502245,263790,1345161139,533951316,55786438,306378,0,104991400,17235968,14745600,0
3726598,60257,1489337635,706371619,80704617,371996,0,105538924,14548992,1310720,0
3327616,150980,1355428025,527206414,46792551,289689,0,105396148,18808832,14024704,196608
2685605,48634,1636561737,743782716,81035589,434380,0,105031502,12845056,1900544,0
2506027,48812,1207058973,549929767,58387554,324876,0,105281325,12582912,7143424,1966080
2895082,234246,1573894705,679738019,71389858,386602,0,105264501,14745600,7208960,0
2583527,70868,1509617501,691165210,69421255,361638,0,105302007,15532032,3342336,0
3276550,149489,1363048626,583150122,57499173,307045,0,105169101,18153472,9764864,0
3728453,54002,1489870165,699305324,74781619,330691,0,105286821,18022400,131072,0
2316772,56810,1182680574,523937694,48471779,258077,0,105362202,21233664,8192000,0
3008432,56341,1604414438,737029805,73584084,435663,0,105185688,20905984,65536,0
2789401,64330,1207183337,536685850,47281898,316129,0,105308988,24772608,8978432,0
3205446,72195,1502932804,703955235,77044762,407550,0,105295242,24576000,0,65536
2384543,110515,1274457013,542716945,44649416,307930,0,105223812,26673152,8388608,0
4196508,43813,1608653833,747399486,79395966,408879,0,105329514,26345472,131072,0
3062989,62167,1211330187,552786970,59327165,271700,0,105200046,26542080,1638400,1114112
2954049,139396,1474963202,668283177,68269878,371996,0,105261246,27721728,6684672,0
3384063,61577,1558207372,706937486,73369934,453518,0,105269124,27262976,655360,0
4107672,142213,1293606392,562542690,53400819,288181,0,105319923,28639232,7995392,0
5516922,66988,1504488583,704801265,79266983,355100,0,105311706,28246016,196608,0
3349749,117303,1274298825,537390914,50583455,290539,0,105220536,29753344,8257536,0
3802961,57837,1573455122,717090261,73731147,416506,0,105167151,29491200,65536,0
2672203,125149,1364699031,568937018,53392251,321181,0,105362151,30277632,9109504,65536
2521565,40144,1543754984,713794808,76859999,385435,0,105227202,29294592,524288,0
2433620,159991,1269027735,540993890,53808678,345906,0,105363429,30670848,10289152,0
3565687,39172,1553848830,719272105,78118638,401425,0,105228303,30081024,131072,65536
2668933,185047,1266766002,538199476,51940063,336394,0,105362250,30015488,7929856,0
2582063,41313,1510759817,702378719,77188644,404353,0,105224244,29622272,0,65536
2116313,248096,1324938617,537461334,45370578,318702,0,105190104,30343168,8323072,0
2474218,44549,1539286498,722638562,78230263,408732,0,105120177,29753344,65536,131072
2308463,180331,1219227929,535325787,56850449,312547,0,105312729,29753344,8912896,393216
2932401,106281,1618626543,719801368,76638437,372865,0,105344115,29163520,1245184,0
2482880,125533,1299101685,583125722,60566323,280469,0,105147084,28901376,2818048,0
2581997,76265,1434967560,635319988,63435926,362044,0,105323604,26804224,6619136,262144
3151454,32129,1535814921,707346533,70486610,412140,0,105190332,22872064,3735552,262144
2295816,164535,1326756246,567029817,55014206,324077,0,105222501,24051712,11075584,0
2483357,39197,1523608411,703587307,81527910,360703,0,105368088,21889024,1245184,0
2231722,216090,1270339092,524601115,48557302,287175,0,105221190,23724032,14286848,0
2797761,23422,1534260709,707120911,76902250,430901,0,105305499,22347776,655360,0
2721663,235045,1315169734,550549602,51690125,324984,0,105278265,19464192,14942208,65536
3084132,45683,1498620265,697704300,76023874,364281,0,105339846,19070976,262144,0
2651177,220093,1214114087,529348901,52871300,290371,0,105225165,21954560,9175040,0
2932084,60385,1514714972,701751075,79096698,413621,0,105275943,21692416,65536,0
2461737,143358,1259728015,540975572,47367622,312236,0,105246153,25165824,9633792,0
5172279,74734,1582310674,733132352,80366404,417882,0,105368778,24772608,65536,0
3941580,48529,1195370103,552744974,59823658,262808,0,105158328,25296896,4849664,589824
2646990,113854,1548231687,681330617,69726339,389618,0,105346980,26279936,4063232,0
2408179,68512,1466973733,662617747,68123596,361414,0,105179412,22872064,2490368,786432
2344486,60828,1408112991,602373831,56138255,368820,0,105153774,20316160,10551296,0
2658574,42367,1545012232,719656738,80480267,421574,0,105219786,14155776,3473408,65536
2411929,146431,1240857436,521245857,50347211,303968,0,105292716,17235968,15007744,0
3821324,48741,1461680479,684820560,76244856,469934,0,105364812,12648448,3604480,131072
2444910,167928,1308122662,543294115,45423891,339205,0,105153468,15466496,16842752,0
2215379,47388,1564338803,729468492,78855000,359300,0,105268380,7995392,4718592,131072
2281592,288180,1225275575,508694847,50237381,295829,0,105334479,13434880,14942208,0
4637462,44511,1480480927,698249286,79042159,374553,0,105329661,13565952,65536,65536
3656482,231751,1289473832,523586389,46679463,324308,0,105294939,16449536,13041664,196608
4852170,59785,1570736597,740897954,80731231,379220,0,105347157,16318464,393216,0
3453519,71043,1134203418,523586761,55284806,240795,0,105169209,14876672,10092544,1048576
2769235,106468,1625837659,719565016,76176021,446297,0,105283929,14155776,7667712,0
2815120,118715,1350616617,611870818,64482801,379578,0,105263286,13959168,4456448,131072
2537123,162750,1404790832,623280664,68783029,344209,0,105346164,14745600,13172736,0
3109941,46318,1551852120,704205864,70046693,378735,0,105157341,14942208,1441792,0
2770291,177407,1354409779,576541652,56470865,368680,0,105266889,15794176,11206656,65536
2988970,34650,1512845759,701530865,77120649,367847,0,105346179,15007744,327680,0
2310592,227928,1256473583,525504526,50628616,304732,0,105330690,16711680,15269888,65536
3011873,37930,1540462311,713247907,77969188,420464,0,105304617,16515072,131072,0
3028322,284781,1298960710,528695556,45746618,326472,0,105267198,17104896,16580608,65536
3568338,38666,1612781870,741701231,84414219,400594,0,105263904,16056320,524288,65536
2866901,282793,1250455435,523321848,50950844,331345,0,105361428,16711680,13697024,0
