l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
103504,38725,230291877,97315164,3483586,0,0,1199846536,17760256,133496832,262144
141904,56150,230832540,97589516,3515268,0,0,104933148,18939904,9961472,0
123395,51342,230984576,97550821,3420590,0,0,105224826,15466496,14680064,131072
133880,44563,230723242,97470336,3611514,0,0,105454434,19070976,10747904,196608
108588,41208,231548319,97594774,3414614,0,0,105221568,15532032,12451840,0
101556,38194,230983991,97508832,3582404,0,0,105352744,18546688,9175040,655360
116297,43317,230836153,97638429,3611552,0,0,105176183,15007744,14417920,65536
18185,8100,37568935,16086881,592557,0,1,4683299958,393216,11730944,0
158450,71933,275242855,120713675,7504385,0,0,104920515,7995392,8650752,0
149171,49724,283318237,120240763,4949980,0,0,105116787,14483456,9437184,196608
142133,54154,287783594,121711368,4768390,0,0,105026307,14811136,12189696,0
132598,50367,282737441,119840926,4829871,0,0,105050403,18153472,11403264,196608
194613,62587,283769470,120735818,5436777,0,0,105173289,18415616,15532032,327680
242867,59327,285145941,120555270,5258621,0,0,105148803,13893632,25100288,0
148611,60012,283557542,120162564,4777270,0,0,105043695,12320768,14680064,262144
137061,53112,282929656,120305276,5036166,0,0,105154860,12255232,15269888,0
128468,52438,282179366,119980403,5039863,0,0,105042363,14090240,11730944,0
135339,52829,283958728,122363061,5366320,0,0,105102315,14876672,12320768,0
160457,67493,283356444,119990829,4422850,0,0,105095961,15204352,11599872,131072
162306,72537,281293688,120228533,6021615,0,0,105072984,7274496,19202048,0
145735,58627,282429699,120100355,5063149,0,0,105155118,9633792,12845056,0
146319,56638,287726875,121772464,5416186,0,0,105108978,12124160,9568256,65536
145025,56275,283004155,120089174,4956478,0,0,105047205,15466496,13172736,0
135902,56346,283380131,120393155,5103546,0,0,105082500,16908288,14352384,0
130733,55573,264502613,114002739,5501090,0,0,105095175,9633792,19660800,262144
152002,64451,284792879,122130913,6152680,0,0,105116913,10158080,15138816,262144
166186,63189,281685217,120270873,5532558,0,0,105079545,12976128,13565952,0
163769,60220,280879843,120655300,5823907,0,0,105164475,16121856,13041664,0
125060,51795,282477543,120410534,5140770,0,0,105059109,16449536,13762560,131072
165775,68795,282218208,120133490,5632000,0,0,105194430,9043968,19857408,196608
140632,63854,280075320,120388676,6757373,0,0,105117801,7864320,15138816,0
700407,323602,201608833,105730935,19779702,0,0,105121815,17235968,38207488,0
2179165,947361,561222296,467729543,170271311,5050,0,105255174,19857408,126418944,2752512
5116171,2531295,962770086,985777883,373541367,7895,1,105311211,19922944,206569472,720896
4773130,4745199,357108361,512257920,245863014,10767,5,105298748,19922944,942997504,17235968
7144943,6655334,389720688,840617624,652531329,28400,1,105490682,17760256,720437248,0
3849043,4050497,250933678,550664648,441898193,1672,0,105003926,13631488,277413888,0
2767595,1653183,428664374,440407550,250545996,334128,0,105451173,18808832,116326400,1572864
11330306,4199659,1629168422,1013334626,477212606,1112731,0,105344035,18612224,179765248,196608
11637393,4631203,1660631191,1029829637,503794892,1417191,0,105168180,18546688,200343552,1441792
11461997,4098857,1574169732,1032601772,520704562,1267952,0,107827162,15204352,226230272,1048576
10905728,4225465,1566690254,1028237077,520522215,902044,0,102714696,17891328,217907200,0
11278517,4103138,1593144790,1033336275,511327063,1437900,0,105226104,18153472,214040576,0
10813281,3803440,1571418825,1024945261,490604634,778749,0,105241166,20316160,195362816,524288
10630621,4078445,1512580117,1027474128,501666610,330140,0,105459780,20250624,194904064,1048576
9866082,3816224,1434583251,1030990000,509852009,498909,0,105198647,20316160,206569472,1114112
8906706,4250008,1405481591,1031542876,512517046,200653,0,105295981,19857408,209387520,1507328
8307254,4484408,1309399718,1031880480,527129303,202521,0,105314788,18153472,263192576,720896
7986692,4389382,1278950810,1034010544,546460438,176126,0,105135428,17432576,259719168,0
7912088,3439278,1372160052,1029257200,490799517,77307,0,105235524,19857408,233504768,196608
8047163,4237618,1240013169,1030314649,510098333,166556,0,105177070,20054016,245235712,0
7284601,3955882,1233020976,1026254919,514369218,191510,0,105501354,19922944,246349824,0
7850537,4649424,1201960475,1027064931,522097477,94387,0,105081206,19595264,299433984,2686976
7327815,4108702,1276830258,1003687709,459563699,57502,0,105230634,16121856,280100864,131072
6524292,3439034,1264543375,885414000,353147606,70996,0,105239300,17563648,219873280,0
5852994,3017331,1136391641,796631357,312825151,59176,0,105355992,16646144,204537856,1769472
5670133,3380154,1052483923,790932458,329517443,10005,0,105349119,19464192,227409920,0
5685413,2812625,1179796411,790752901,288131568,62211,0,105255669,19398656,170721280,2228224
5727464,3285732,1095374466,790155152,335011033,26582,0,105007568,19267584,283508736,0
5982613,2255297,1248119353,788513499,279351875,15876,0,105316840,19333120,165543936,524288
5449077,2657038,1137573914,797277164,305577383,28061,0,105216572,15925248,183369728,0
5865316,3251071,1197160861,922264900,424877141,65804,0,105329307,17563648,247791616,5308416
7810103,4275060,1312999093,1030226616,467715642,27186,0,105094965,16056320,295501824,0
7541949,4168295,1281219461,1029735631,495516917,20515,0,105404804,19070976,327024640,2424832
7853282,3501962,1587361770,1032912199,352090197,72426,0,105102792,18939904,230359040,0
6671793,3518396,1305592106,1021874311,434527495,21373,0,105200888,19070976,244056064,720896
6764393,3028626,1599986929,1027729102,392397695,10455,0,105281898,19005440,247791616,0
6989302,1962730,1958492690,1037329210,258629059,32844,0,105224484,18939904,121503744,3604480
6442822,3713862,1484357219,1036121851,408636328,5127,0,105223398,18808832,282460160,0
6329896,2161449,1853124053,1035618665,306277828,7218,0,105242858,18219008,151519232,0
6033477,2821830,1695348028,1032395509,326433577,11686,0,105159698,18677760,208338944,1900544
4882842,2207217,1553758735,974863636,327442842,38291,0,105231983,13959168,181403648,0
3968220,1049981,1370283827,773868830,219085171,30515,0,105084720,17694720,81395712,0
2817986,318569,1364538619,726933793,154073565,80853,0,105133047,16777216,18087936,0
1899867,196882,951064785,517344189,114220341,88200,0,105154620,15990784,5898240,65536
815935,107121,609082155,336884303,73289451,16517,0,105078378,14155776,1572864,458752
623564,100091,239828618,129656891,28694339,0,0,105097965,11403264,2818048,0
464311,68382,244789233,129377458,26470384,0,0,105088689,11206656,262144,0
373325,61566,235946728,129277824,29832963,0,0,105072489,10420224,458752,131072
287215,58772,228402742,129491572,29814526,0,0,105137010,10223616,393216,0
147076,32484,228393149,130106779,29909562,0,0,105120780,8847360,1310720,0
3124858,2125005,508188092,495202208,230904913,148866,3,105520074,18415616,226492416,8060928
7371313,3433465,1241983184,1018096528,502737967,9619,0,105246344,18219008,307429376,0
6921423,3704183,1316275980,1019315017,462490229,6166,0,105279531,17956864,290979840,0
7784225,2902394,1595315083,1015547892,381009815,36718,0,104990318,17956864,220528640,2228224
8000083,2878187,1600255279,1023442695,378774713,1570,0,105277099,17694720,217186304,0
7700574,2078237,1932668280,1030534436,251597937,8750,1,105277848,17629184,108265472,0
6178797,1661015,1689932634,1032287505,301452760,29976,0,105324576,17301504,119930880,589824
5606445,3667317,1348655728,1029967128,405332801,40516,0,105170275,17432576,314048512,6619136
6906080,2991063,1579326750,1026656481,411475015,32782,0,106135393,16777216,206831616,0
7746892,2212513,1720694350,1018918438,335553498,7199,0,104320041,18743296,173539328,1900544
6732969,2359759,1683044363,1025908736,334013110,9782,0,105180180,18153472,176226304,3080192
