l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
6737724,6493423,430429200,750758875,531049526,17765,0,1287815212,5832704,2760310784,5701632
5767910,5285929,365049516,678138920,467317538,20871,0,105617580,7536640,392298496,0
6714908,5666022,397443880,745175709,527934065,37834,9,105020252,8126464,386138112,9043968
3684492,3295065,222425242,714717938,589701936,40895,0,105449604,3735552,206503936,0
5385280,4510082,315543869,796989817,616969518,371067,0,105538040,5767168,325976064,2949120
4626973,3570115,243459321,770668783,631687543,570485,0,105343096,3735552,223215616,3342336
4918566,4094360,262262676,738975439,599864865,444860,0,105994716,7471104,263061504,10878976
7002621,5954132,404644232,758298899,535044126,557117,3,104604859,29556736,381747200,65536
5529266,4844224,360315267,599090598,405513181,116924,0,105054069,41877504,317390848,0
10456749,7223564,518385620,780680334,501475736,1554274,0,105298953,41811968,482672640,0
10039438,7109883,517836090,784887360,500766814,1465525,0,105982740,41549824,479395840,1966080
9446236,6627715,479653563,759420216,480655479,1455913,0,105109512,41811968,431030272,0
9805145,7135356,507976874,777575590,500414501,1405104,0,105077793,41811968,463929344,3080192
9939567,7083929,511550080,780538548,498288941,1425836,0,105676434,41746432,473759744,0
10301377,7043097,513336490,780279808,496106556,1574559,0,105240429,41484288,485294080,0
9684246,6844862,505760335,778555879,501931966,1481747,0,105295905,41811968,454230016,6553600
9806593,7072203,515194827,797833307,514563383,1393933,0,105602904,41222144,473300992,4063232
10034213,7175417,515199109,783799355,503102018,1447804,1,105087300,41222144,465371136,0
10165604,7101327,511419807,762631106,482374829,1396191,0,105330042,41811968,472842240,1245184
10066003,7172394,520062905,787581410,502617733,1476225,0,105878538,41811968,477822976,0
9777934,7036716,515650256,774346337,494029451,1337820,0,104832489,41746432,470351872,6094848
9792019,7026695,514745662,809109951,526833285,1453713,0,105474633,41418752,466485248,5177344
9731679,6953626,508359934,793766867,511372209,1369640,0,105280950,41811968,462225408,0
9780562,6944362,506863284,774997183,494390645,1195047,0,105651390,41549824,473563136,0
9692497,7200031,517819319,782973662,498887605,1329758,0,105262173,41811968,467992576,131072
9822776,6941373,510261650,802218095,522713894,1513227,0,105376227,41091072,464519168,1703936
9843514,6992152,513039603,807381675,525828401,1517364,0,105048195,41680896,462028800,3407872
9913715,6931334,510655832,800665529,522759261,1605557,0,105405315,41811968,459407360,0
9984222,7094370,508408970,708777362,433197533,1326121,0,105586680,41615360,471531520,1048576
10240829,7311606,516028876,761389808,481640566,1473669,0,105067938,40960000,475136000,983040
9857457,6916360,512659721,786898988,502642565,1475874,0,105630444,41549824,474152960,0
9836735,6981043,514326786,788025267,504300505,1439932,0,105301821,41811968,462553088,5242880
10258998,7164253,514256479,782515123,504148801,1547186,0,105146367,41615360,469565440,0
9977083,6994953,511980150,804098761,521709484,1523111,0,106351149,40370176,463405056,2686976
9833920,6972820,509627926,793723585,512798206,1391987,0,105115032,41156608,459276288,1835008
10157937,7200162,517732403,776137145,494169269,1431575,0,104721663,41811968,472383488,0
9931924,7053959,515200065,801190284,521067139,1498054,0,105583365,41287680,473366528,3932160
9889267,6987252,514313051,808977411,526712713,1519071,0,105838449,40566784,460390400,1703936
9753256,7002591,511423261,789295161,506989693,1397299,0,104776521,41156608,470679552,1900544
9921130,7164676,517483958,758784833,478717079,1395210,0,106181721,40828928,471203840,655360
9459476,6768225,494804894,779321154,506134350,1334671,0,105239523,40566784,441843712,917504
9771556,7195031,513691986,778435750,497312802,1243074,0,105265083,40435712,477560832,0
9651015,7069239,515688656,801365788,519701274,1348791,1,104721603,40894464,458227712,2621440
10058219,7079289,516970603,785269924,501835975,1499350,0,105992952,40566784,477495296,2162688
9838571,7229590,520060458,762391988,481694343,1408472,0,104776599,41025536,465895424,0
10079547,7020675,515000664,779327561,497864074,1577888,0,105660681,40173568,470089728,3080192
9951847,7105464,516439835,786451345,504565669,1565814,0,105064371,40894464,469762048,0
10192745,7395221,523866751,743468374,461988823,1471611,0,105350607,40370176,485556224,6160384
9830829,7013807,518300839,781070529,500439415,1461638,0,105369126,40763392,467140608,720896
10037587,7122175,509194358,782460775,502712682,1476437,0,105273834,35586048,467927040,2752512
9947645,7053976,509745055,788337401,507354322,1562924,0,105325092,36110336,468516864,1507328
9913298,7110475,508463399,764552799,486089909,1416334,0,105338637,34340864,464715776,0
9384656,6878327,503810541,769457207,491970005,1336224,0,106016784,5701632,506920960,8912896
7884600,5700224,402261094,772374656,546433230,1246968,0,105592530,6553600,352059392,2883584
7951189,6073123,423332374,732244270,499377547,1122263,0,105359829,5308416,398196736,0
3310780,2649101,180280835,645273521,530412547,459190,0,104520987,262144,153026560,0
6153386,4493050,332041602,706216634,523184013,817767,0,105512907,7798784,320143360,14024704
4841879,3557952,243932564,722554712,585271163,708721,0,105141675,2359296,228327424,0
5792063,4594690,306509940,748346452,575530820,853343,0,105353346,6881280,296222720,5963776
7451343,5663013,406007127,781452756,554589523,1179656,0,105335064,6750208,373555200,3080192
7168165,5459601,387251870,662827788,446751223,984484,0,105416388,5898240,360316928,3735552
7557187,5638583,389712160,760636923,540936170,1117463,1,105096822,2818048,367591424,393216
6405912,5401939,365019936,722260978,528395906,980398,0,105284853,3407872,328597504,589824
5140956,4014243,277176792,756661866,597207512,695579,0,105583290,8192000,267780096,4325376
6882519,5180947,355027187,754194774,555544634,952161,0,105198510,3080192,334036992,1507328
2876397,2205803,156672124,575813452,486367500,439130,0,105251529,2752512,150274048,3866624
6933019,5254698,356565785,764664533,566687232,988369,0,105246510,2359296,333053952,524288
7612723,5338006,380608778,762455398,544850287,1097893,0,105571080,6225920,382009344,3604480
8373335,6157769,439902312,776136827,533534737,1396649,1,105129306,3997696,398786560,3080192
7721590,6024833,411592281,739917681,514783869,1027099,0,105751215,6356992,402456576,7995392
6354407,4273261,291198724,626189500,459947066,881913,0,105417258,3211264,291504128,0
5178635,3725868,260755569,745267299,600356499,638176,1,105186339,8519680,256245760,7012352
6549658,5165536,359017255,773332044,577034607,959370,0,105569475,2555904,320864256,0
4060469,3042729,213478207,748562323,626319963,696331,1,105149496,6029312,204341248,2883584
6830426,5296258,366567203,722903626,528721180,992439,0,105862872,6029312,346226688,10027008
7242799,5951424,403796700,746391454,516499733,799488,0,105636609,8585216,390135808,13434880
8726062,6202940,442496389,785721040,540470702,1507843,6,104909162,8257536,410451968,0
7571797,5815464,401557815,721020599,499261049,1057095,7,105444220,8519680,383844352,3014656
7209782,5504638,366493817,684313183,484036626,1026499,1,105414312,1048576,334168064,0
4180606,3015929,212341183,726496460,602075543,634033,0,105357177,7667712,212598784,9961472
7576277,5753311,389733894,724786315,510216861,1023934,0,105404376,7864320,372899840,2818048
4614734,3481567,249889134,745959302,598769247,783072,0,105584402,3735552,230162432,8650752
4912160,3675831,261458757,764415293,612187982,907758,0,105389241,7536640,251920384,0
8644600,6501850,455373002,798625050,548625789,1348874,0,105439592,7340032,422707200,327680
7874868,5727150,406501653,775622916,549999875,1216654,0,105472259,7864320,377749504,4849664
7498905,5669620,400060622,742500279,517505914,1176372,0,105435213,7733248,372899840,3670016
7939908,5867510,422271244,747738262,514635629,1169472,0,105351456,7471104,390266880,0
5979146,4434979,321002229,758897611,588693918,898214,0,105561936,2818048,285736960,851968
4925418,3710804,283999397,703315863,546354342,823411,0,105403927,11796480,256638976,3801088
8286469,6078396,415747336,783431199,552308189,1309815,0,105405549,2818048,392560640,1245184
4615679,3555024,229463698,768657217,634936938,612592,0,105448372,3932160,236847104,7208960
5565761,4262940,299280980,704594113,535058364,789508,0,105562988,7864320,281935872,0
7756973,5837545,432809401,746149649,506231261,1182874,0,105294080,327680,377880576,7864320
