l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
31332129,18003557,1340356583,829930644,293679722,9434,0,1281371500,34996224,12959350784,0
31360860,19053730,1039122828,785829043,399072939,2588,1,105267948,39059456,1889271808,75890688
30172499,19802239,1460958459,836537620,275977905,312,0,105402392,36503552,1765998592,0
36984501,18845125,1405804690,837560382,274104788,342,0,105905116,37748736,1954611200,22806528
42071678,20287194,1077667079,833416227,421312903,9867,1,105246356,34013184,2090336256,0
36883735,20819357,1928255224,837665742,189792722,472,0,105797944,37552128,1057751040,13828096
29689419,16897080,1451149809,836693143,259508144,280,0,104890952,33161216,803143680,0
31627382,18435691,1223186483,836992995,325529379,9057,0,105223417,32702464,1045168128,0
32713755,16493247,1274560466,791656829,283015342,5577,0,4777020996,33161216,1080885248,5832704
34727667,19900372,923108310,1032202796,576564236,619,0,105393651,36896768,2278424576,0
35038460,20101475,1815407668,1036032868,354267030,270,0,105502947,39714816,1893531648,11141120
44725339,18976972,1066257541,1037360065,600671452,9744,0,105512760,38010880,2271412224,0
46432078,22580481,2024084920,1035081730,339085684,561,0,105437346,35717120,1232273408,3014656
36426936,19837884,1460187495,1018142278,415906690,367,0,105342948,33292288,990117888,0
28635385,16886666,1334871562,805994377,299873783,7343,0,105454119,33423360,1017446400,2555904
27584027,14606087,1083464331,696849056,251658568,8345,1,105468045,35782656,891617280,15400960
31008420,20582953,675851428,699599254,376392107,710,0,105489312,34340864,2166489088,983040
25926389,19605822,1867942842,797701535,128921977,188,0,105467058,36372480,1450311680,0
42737248,18739926,1143990787,795174142,340707240,519,0,105473550,36896768,2149449728,2686976
37217146,20349958,1351457152,759903939,275392427,774,3,105488061,35192832,1674510336,0
31587430,18276663,1477873523,758181142,186066057,396,0,105362796,34471936,1033895936,3801088
30062862,16152848,1410861849,757572788,208689758,172,0,105532203,31981568,737542144,720896
28054830,16433381,1238766564,757314459,276303361,8998,0,105431586,32374784,1046085632,3538944
31356985,17594929,1170845676,757137265,291293951,6075,3,105428364,38141952,1337131008,17235968
30630138,20101777,1071879609,735695028,323323359,284,0,105494352,34865152,2068578304,0
25420981,18482435,1638969323,717836189,125693265,256,0,105391680,38141952,1430257664,9699328
44862277,19858348,967617017,717759032,308301546,611,0,105511668,31784960,2161180672,3801088
33295759,19747340,1453566056,717633208,218715873,709,3,105421815,35258368,1397030912,0
29061497,18089909,1374688552,717936878,184938267,532,0,105431286,32047104,992018432,0
28261749,15032422,1323683336,697786461,183415804,158,0,105356118,33226752,689963008,12976128
25481796,16109829,1137273770,678548216,229270534,9282,0,105567555,32571392,1038483456,0
26943880,16593787,1049342328,635582273,213671543,6161,0,105507354,36962304,1031143424,19136512
26689892,18214848,574496290,558273998,285201985,605,0,105426378,32768000,1911357440,0
22255444,18039065,1658105921,675897791,87164307,236,0,105355407,33816576,1301544960,0
35300278,19022630,1112116211,670116950,219856884,516,0,105561834,38666240,1916862464,6946816
35524015,19721440,1121445288,633332099,246988839,780,1,105534462,32047104,1900675072,0
32491879,17216115,1512764292,637913321,110282606,90,0,105470568,30801920,738918400,0
24870059,15993604,1126383700,637523067,187963539,739,0,105316260,31916032,973012992,1703936
25480735,16478666,1100195165,637454607,195314516,4893,0,105492690,31195136,959250432,655360
25699500,15087562,1128202525,629529500,189828212,8154,0,105456357,32309248,745537536,0
29027474,17899687,899241885,602127848,228775042,2624,1,105486957,38010880,1593573376,25165824
25905862,18483964,1060991331,597908139,188903587,220,0,105453063,32899072,1745223680,0
23455719,16745374,1513392906,598193207,76621190,377,0,105486792,38010880,1272053760,18219008
41032698,20261107,930951864,597843522,213670104,598,0,105471921,36962304,2100822016,0
27505357,18902099,1248205522,598175214,154479285,1155,0,105478227,32374784,1371144192,0
24237833,16450720,1194202639,566805086,124307933,310,0,105492387,31916032,913899520,983040
23140576,13464430,1116725722,558131231,128099030,255,0,105476481,32374784,669777920,0
22674207,15186448,1010776036,554474082,162404399,5104,0,105504060,32178176,927399936,1769472
23380671,14073068,1038348828,557389788,149465344,5792,0,105418320,30998528,710017024,3670016
27952667,18178758,916316437,558249043,196782352,2776,0,105461184,41091072,1479737344,14876672
23616732,18653171,908935671,536410447,186877544,692,0,105537582,32702464,1760821248,0
17744331,14616766,1354821347,518268711,42721293,136,0,105416514,31653888,1005453312,7274496
33631300,19171524,992049334,517539217,137171638,551,0,105424257,38273024,1930493952,11206656
31050387,20271672,1018033611,517653267,147247416,842,0,105501237,31195136,1732182016,0
26723700,14524917,1266221379,518247993,80057132,173,0,105447054,33095680,647036928,851968
20941747,14234278,963416273,509495005,116109648,403,0,105382395,30539776,910884864,3145728
20169110,12715511,968320195,480670982,105149525,63,0,105403959,31457280,610205696,0
20393164,12932486,903438464,477928667,129233247,8300,0,105439944,36896768,880672768,7667712
20821024,12667236,921679980,477671661,119520872,6558,0,105430842,34930688,668401664,0
25071060,17683043,745173751,475344229,167775867,2491,0,105552741,36634624,1649672192,33816576
23115115,16960292,964287140,478242966,118241824,295,0,105475713,34537472,1545928704,0
16447245,13395607,1264528921,477949337,35057729,179,0,105388710,34340864,940900352,0
30804294,19848114,955433215,477645588,117194312,609,0,105566739,37945344,1881341952,25427968
26251406,17259511,743096604,424259340,146920966,1166,2,105492960,31850496,1628045312,0
23493666,12901438,1114965567,455572064,70251212,221,0,105435063,28966912,609681408,3932160
15554811,6929110,653341705,301179466,60677564,86,0,105453981,7995392,292683776,0
9889274,7801225,601787710,347358934,100673187,364,0,105251004,29163520,567083008,6225920
17924581,9695107,829950127,411315013,83863198,136,0,105189234,28246016,430768128,0
11329414,5187874,485761969,260882236,59793498,102,0,105493257,10158080,226951168,0
7779615,5881463,408529771,252545335,86380772,1937,0,105469704,26017792,457113600,6946816
15990446,8730160,705623344,352706630,74622667,2435,0,104983971,30670848,357040128,6356992
14173933,6723357,604461219,321588505,76026049,1412,0,105295647,21889024,304611328,0
11537028,6502401,453077461,250112556,66980454,149,0,105417627,32571392,516554752,23592960
10002955,9748185,368520943,290497665,127283461,320,0,105493647,36372480,917569536,22020096
13938950,13143454,416069120,278486139,105964095,166,0,105319152,25821184,1191837696,0
14856430,12461674,1089711909,418103491,32733640,180,0,105554772,32178176,865337344,0
9781254,7584958,774920507,313170823,26172097,96,0,105338727,16908288,532742144,0
10124910,8420333,393240830,180661328,31484469,75,0,105182088,38862848,682229760,17039360
21646042,14994837,601499493,317033409,75224473,477,0,105398229,32768000,1224409088,0
17093810,12404392,598201145,314992172,90588618,5672,1,105089154,35454976,1146683392,0
13687191,8102253,693006120,322125726,59121862,180,0,105739938,27066368,416612352,5898240
17106084,7828527,792289303,326060327,47814911,64,0,105049809,30277632,302972928,0
10691900,5623582,514376105,256808884,55732973,96,0,105721824,14876672,349241344,7274496
12065786,7192147,544123237,285289432,65599982,183,0,105282414,24379392,344129536,0
13090821,6492743,646645765,298431022,49140193,46,0,105225966,19202048,270008320,4849664
12441343,5701097,580910178,272099905,50492062,22,0,105149112,16515072,219807744,0
6317359,4948102,309972052,185444859,60442208,675,0,104925318,18743296,413007872,0
11025360,5567940,491212085,238722472,46690773,2274,0,105150330,20840448,231407616,851968
10958219,5515364,486730081,238694539,49710954,1342,0,105348528,25165824,244776960,0
11198628,5412571,500476535,238726284,45893712,836,0,105374178,24051712,257228800,8519680
6096817,2352030,252201485,180286561,56341529,355,0,105251874,3997696,175964160,589824
8104337,9887930,334592423,178397160,56950911,117,0,105234885,29097984,744816640,5177344
10220858,9147004,262762836,178200144,68189386,162,0,105266280,31588352,805044224,0
10266576,8969450,278105741,168540330,54908411,259,0,105267345,15204352,867500032,0
4389110,3798185,342441853,130028508,8610504,52,0,105232569,12910592,266338304,0
3350682,2774979,237677952,99782938,11134080,37,0,105253230,9502720,210173952,0
3258544,2722386,237462246,98829902,12349368,5,0,105230496,11272192,194314240,1638400
3156053,2780594,250008184,100896130,11659616,14,0,105209577,11075584,188416000,0
