l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
31587037,17425276,1493036347,839462541,246078947,267,0,1177963769,36569088,15596060672,0
31143712,18275865,1290624058,836864935,345894572,11806,0,103740556,35258368,1188429824,10223616
32960037,18331347,1081902982,837799709,362203729,10470,0,105627259,37814272,1467809792,77266944
29447580,20652338,1080817671,837292223,472989451,759,0,105631228,35782656,2070872064,0
33750635,19681975,1840081135,837984721,164526762,312,0,105188776,38076416,1668677632,40960000
42415602,18133646,944291904,836254645,414639649,922,0,105212196,39387136,2245984256,5898240
32323692,18598857,1340307972,763658545,245873239,783,0,4790694942,37879808,1429209088,0
32972133,14855148,1135600223,814924020,332268647,518,1,105451635,37552128,830406656,6684672
33199461,18207680,1559507247,1016795964,422913490,3203,0,105453738,32505856,1139998720,0
35826185,18956890,1533846829,1033424594,417213152,10920,0,105444036,36241408,950140928,0
34238964,19896576,756397426,1000656186,643507507,2001,0,105698748,38600704,2319843328,25559040
31839820,21244237,2049887267,1037735367,326668487,294,1,105518280,36896768,1738473472,27983872
47214761,17248762,1108039374,1038993934,560065859,597,0,105549372,38666240,2223767552,0
33956686,19863206,1077039553,1038342503,618424614,905,3,105511551,33751040,2203254784,0
28457081,20896840,1119904840,1039016441,614462509,395,0,105562317,32178176,2007826432,4784128
25496175,19156491,987543064,1039911062,617060447,921,0,105473409,23461888,1893072896,0
25651104,18632526,1029087758,1035837596,594662454,490,0,105596898,23199744,1751777280,0
23290077,17260921,924003235,1018775318,606115305,9037,0,105531255,22020096,1740505088,6225920
25634892,18405074,982736139,1039276717,612027866,13753,0,105586833,22085632,1689649152,6160384
32750682,19936221,764913945,1039993214,685988874,1673,0,105593484,22806528,2389901312,11665408
31604058,22729431,2048443915,1039797758,354202466,459,0,105432318,22085632,1947598848,0
45304850,16807177,1047069304,1039363898,520493786,818,0,105592809,22544384,2205417472,12779520
31919281,19915584,1051682162,1040342903,626067798,1014,0,105519585,22478848,2241921024,0
30472752,21502763,1257588545,1034207680,562827089,413,0,105487179,23199744,1946550272,0
24190128,16879204,965544836,939311933,530622374,629,0,105582903,23461888,1638596608,10027008
27701365,19478042,1169350873,1039672009,560649181,531,0,105501108,22872064,1700265984,720896
25852576,19494612,1006332037,1038598162,611526385,13716,0,105587856,23592960,1769472000,0
29779948,18977977,1025588976,1038286058,606615891,12487,1,105489786,23396352,1792737280,24969216
33222740,18706468,692116897,922430971,596042938,808,1,105589581,24707072,2210529280,0
31645775,20563022,2015760801,972876081,230286063,455,0,105592620,23986176,1816854528,4063232
47200358,16839807,931954367,1040499174,611827399,422,0,105686706,23986176,2261057536,2555904
32922435,20891459,1167499950,1039845078,590010395,1189,0,105467025,26542080,2163802112,0
31746889,21993282,1314714343,1039877251,546954889,681,1,105654867,25100288,2000748544,0
27508628,19468352,1190047422,1040141857,546566420,771,1,105595584,25362432,1647575040,4390912
26771765,19303089,1107581510,1039886867,578624188,5782,0,105595434,24576000,1765408768,0
27959460,19468542,1106558021,1039966272,577277265,15771,3,105598107,26411008,1645936640,7798784
32419641,19864680,887819433,1010409232,621477215,4614,0,105489465,25296896,2100494336,16973824
32338424,20856209,1527576942,1039947014,442492027,419,0,105448950,26673152,1998389248,0
41273719,18410829,1366100808,1039096777,479771598,654,0,105598731,29097984,2103312384,8454144
38391019,19205423,1033998899,1036900748,623970947,1133,3,105487182,26738688,2264006656,0
