l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
121904,46914,231803188,97347639,3238542,0,0,1122850090,20774912,113901568,655360
122629,48107,231655919,97600125,3360109,0,0,104917164,21102592,12517376,0
146200,52385,231728550,97697539,3314375,0,0,105387049,19595264,11534336,0
108540,40849,231853516,97680811,3438217,0,0,105196746,21692416,10289152,327680
124607,41889,232094971,97653289,3266590,0,0,105434166,23396352,11141120,0
63040,15489,89707215,37876811,1338039,0,0,4720717299,196608,19333120,262144
142542,74944,277090662,120180777,6207158,0,0,104975634,11927552,11272192,0
136395,52479,283578458,119995082,4792565,0,0,105125364,21364736,11862016,0
139874,58968,283734535,120207460,4825995,0,0,105270837,22282240,12386304,393216
157657,65435,283920891,120105350,4724488,0,0,105201960,24772608,16449536,0
144201,56774,284750036,120168729,4297245,0,0,105330270,25034752,11534336,262144
147039,53363,284354065,120309641,4564817,0,0,105264240,19857408,19529728,262144
108099,43029,219994799,93281202,3769783,0,0,105414804,13565952,17629184,0
147821,60474,220413834,93412201,3972430,0,0,105278985,13500416,9043968,393216
120662,46750,221133686,88440065,4271355,0,0,105273357,21430272,20774912,0
104849,41098,224167578,94030458,2891951,0,0,105307776,21561344,5177344,0
119251,41383,220971986,93027670,3054897,0,0,105287100,22020096,7274496,524288
124398,48640,251539695,104719491,3606075,0,0,105329937,14680064,16252928,0
132636,55523,281306998,120159403,5434215,0,0,105175134,13762560,15794176,131072
147809,56310,283569392,120203925,5307041,0,0,105338268,16449536,12058624,262144
163543,74813,282838859,120192418,4649349,0,0,105162741,20381696,12451840,0
156984,68699,284211105,120185462,4747312,0,0,105350583,22675456,14483456,65536
154872,57642,284975263,120105171,4295773,0,0,105273135,21299200,17432576,0
159070,60079,284732993,120225407,4584586,0,0,105404802,20447232,14942208,65536
158858,58215,284283524,120203393,4743635,0,0,105265902,22151168,15728640,262144
144419,53949,267449917,114819426,4702292,0,0,105335448,25427968,16711680,0
142953,55837,282445219,120177968,5030008,0,0,105163677,24510464,15400960,0
154734,61796,281986065,120202746,5218573,0,0,105254094,18612224,17760256,327680
172537,66417,281795610,120258124,5280190,0,0,105372654,17104896,14417920,0
159100,71149,279554928,120353660,5646646,0,0,105192459,13500416,15335424,262144
133932,51301,281507045,120190399,5172283,0,0,105279294,15532032,11010048,0
171613,68596,282374551,120335520,5144573,0,0,105231735,13238272,15794176,196608
153286,61047,281230272,120319274,5988483,0,0,105283155,13631488,16252928,196608
731832,344921,202034062,106196583,19044407,0,0,105278664,17760256,33488896,0
2462101,1068195,571883599,484460536,178885216,11594,0,105633438,20643840,127991808,1703936
4986752,2501610,933006883,966656617,366517884,7732,1,105369717,20512768,195035136,589824
3975842,4454655,370714144,503065605,251833755,10795,0,105465333,20709376,725811200,13959168
6247063,5980275,371744535,716489606,525314024,26145,9,105512826,19070976,803078144,0
5061848,5108011,306265225,632337884,498584844,1487,0,105161829,19791872,378339328,0
2623546,1464982,233071136,294212583,194207144,355810,0,105514392,19988480,128516096,720896
10514857,3503902,1493242945,999501665,499487287,1184930,0,105352035,19660800,235012096,0
10384048,3537887,1482512508,1002960641,510920715,1449054,1,105451023,19595264,223346688,2555904
9951866,3589066,1453419556,1000800262,508152337,1229657,0,105375465,19464192,224329728,327680
9816132,3458847,1473487212,1001547179,512336279,1199538,0,105465516,19136512,227803136,1245184
9620311,3627894,1409335074,998873060,522889282,687213,1,105414078,18677760,244973568,2293760
9842404,3467278,1406514574,999085735,521816941,1086103,0,105594033,18612224,229048320,393216
9674749,3441334,1397420387,1003084921,511737475,779051,0,105311343,18087936,224722944,393216
