l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
29526739,17968348,985993356,758653050,357604681,5886,0,972384544,37945344,11453595648,87949312
27928280,20309081,1222237721,835711135,376479197,339,0,104909736,37683200,1846411264,0
34628704,18730517,1495181747,836911151,237053916,256,0,105767404,40370176,1793130496,8388608
37857720,19125961,948402457,837984924,435307298,713,0,105380608,36700160,2177171456,1966080
40402036,20887582,1655648728,837574363,242593530,458,0,105291436,33816576,984088576,0
33119580,18171205,1389471582,837397756,296495086,816,0,105044068,34603008,1032585216,0
28217756,17521041,1303398276,836583493,275047137,5637,0,105361191,31981568,1078525952,6291456
12670205,7381522,548924215,344190254,123751773,5513,0,4713446520,21233664,368050176,0
35759989,19875384,1210852798,1034886250,553022038,7643,0,105378222,38469632,1666252800,21823488
33488638,19829650,1285932560,1035674324,515238579,543,0,105491271,36044800,2025783296,0
39952633,18201740,1541757897,1036013383,397313364,264,0,105371343,41680896,1920466944,11010048
41315157,19220726,1043040088,1035559478,629239983,669,0,105332001,35586048,2237202432,0
45093309,22282125,1808330493,1015603025,345092714,465,1,105509976,33030144,1198915584,8060928
28652253,15164961,1257409200,779866702,256969937,157,0,105366645,33161216,745996288,0
20670250,13612050,924557379,661318257,248755616,5827,0,105434835,33816576,863895552,3801088
30233288,16506691,1279078389,791679408,280452748,13018,0,105387870,33751040,837353472,0
31575331,20554680,724902624,762139494,442502662,2410,0,105559725,38273024,2195783680,28770304
26061427,19560029,1733908456,793878910,213806830,296,0,105456396,34144256,1518403584,0
40372980,18327654,1231676981,763910208,256053906,396,0,105397512,38666240,1908670464,12058624
33723685,19944628,1011496598,752796535,341326816,718,0,105365838,34734080,1978400768,0
36131480,19449226,1671396105,757597438,187895951,409,0,105442098,34996224,1012072448,17563648
27920055,16346496,1369407045,757592072,241503844,529,0,105385170,33619968,858456064,0
29442338,17260342,1128277592,758513461,282880689,7800,0,105525111,34668544,1034551296,2883584
29473524,16579350,1254513081,735939021,239406933,7918,0,105451563,39387136,902889472,24117248
31582605,20719185,697307320,717385423,411281123,779,0,105441426,38666240,2294022144,0
23812849,18681321,1746984037,717412041,104008613,141,0,105358002,34406400,1325858816,8192000
37781327,18103233,1010370150,718086154,272048490,286,0,105556818,38010880,1928462336,1245184
35307824,19703958,1165863541,717943166,320869758,941,0,105482688,33619968,1900412928,0
