category,swaptions,freqmine,streamcluster,SP
runtime,58.90676188468933,81.88423657417297,117.52418041229248,237.39593243598938
l2miss,7555011.954624782,73192713.6443543,162149208.03115535,455248957.59587353
l3miss,14103.141361256545,39420396.93035835,129207757.74123757,240846224.2610451
instructions,26572950051.413612,33325079827.24814,9453626012.739075,17991255556.147118
cycles,15523949117.190228,19951717271.16971,15169584020.112505,11735782900.605516
stall_cycles,3377781869.1099477,6088765410.845165,10083273088.948507,4718553064.790312
intra_coh,5960718.621291448,15903629.682217715,11255514.504543487,21969.30253420049
inter_coh,0.13961605584642234,0.21636240703177823,1.0731285157940287,0.41713388652164163
wall_cycles,2121227660.34904,2301079186.206897,2116214929.0696669,2217113478.569186
llc_size,36679572.774869114,444739082.73157537,745400962.4924276,475900121.24691635
local_mem,259627.78359511343,5022237702.231237,8591272762.82129,20194074618.48845
remote_mem,28593.368237347295,37635122.542258285,25790727.20034617,104535725.4989908
