l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
113323,40023,231013447,97342681,3328719,0,0,1008586237,21233664,95289344,196608
94875,36107,231246955,97461658,3239021,0,0,104468743,22544384,11927552,0
116927,39171,231488365,97473257,3334300,0,0,105252220,24838144,11075584,262144
102481,46642,231166540,97391778,3351461,0,0,105119288,27918336,11993088,0
113574,38560,231779998,97387691,3152764,0,0,105057513,31326208,12517376,327680
106000,37398,231419559,97439107,3269141,0,0,105054294,32571392,10747904,0
112231,40594,231174958,97295590,3236787,0,0,105195495,33030144,10158080,65536
117504,51880,231777587,97384103,3200895,0,0,105082467,33292288,11141120,65536
56146,19366,117972030,49881477,1846806,0,0,4727992478,5373952,23527424,0
131649,56794,278762545,119978990,6184540,0,0,105015792,12058624,12058624,65536
137592,50875,282414607,119927617,4939014,0,0,105126738,17956864,10223616,65536
131650,49839,283528496,120142636,4793138,0,0,105292671,23330816,10223616,262144
177673,57457,283522765,120157750,4627055,0,0,104865849,29229056,11927552,0
181502,57745,289288677,118656245,4872649,0,0,105182316,32505856,15400960,196608
153334,51333,285487697,119934784,3906073,0,0,104696329,17760256,18874368,0
142408,51588,285393997,120449333,4508007,0,0,105046935,17629184,11927552,262144
129731,53471,282567532,120114634,4819800,0,0,105076410,20709376,13565952,0
142209,50465,285262354,120022246,4249546,0,0,105091329,23527424,15466496,0
165144,55503,284633034,119964652,4355843,0,0,105087918,23855104,10420224,131072
171869,65760,283523887,119926685,4429765,0,0,105093639,24838144,13041664,393216
156411,53695,284812267,120116848,4353237,0,0,105114615,17956864,15990784,0
153053,58710,283668472,120035711,4839502,0,0,105089709,19267584,15466496,131072
149875,55637,284324219,120017049,4566540,0,0,105078717,21889024,12582912,0
130435,48147,276798857,117955683,4719595,0,0,105099045,23986176,13434880,262144
152454,64354,282340550,120024868,4925066,0,0,105092625,24051712,15007744,196608
156628,56927,282304022,120134331,4900429,0,0,105070674,18415616,20119552,0
166057,58545,281947644,120115337,5273413,0,0,105120711,19398656,12976128,262144
146750,50115,282167223,119985968,5358944,0,0,104860242,22020096,14417920,0
149696,55684,282416469,120127801,4917002,0,0,105094638,23134208,17367040,524288
169474,58697,282825247,120095415,5342848,0,0,105084846,24248320,13893632,0
142716,54124,282737388,120194063,4955250,0,0,105082362,18153472,15925248,0
862656,564310,278889245,110632260,23409995,0,0,105188754,21495808,29425664,0
3714167,1595926,707145977,721046368,263263258,7487,0,105275901,26214400,163053568,3604480
5081949,2341225,841314015,857110688,327930354,9524,0,105416931,26738688,236650496,8192000
4355809,4185024,313208005,522045386,287625104,30339,1,105315873,26738688,1066991616,0
7265946,7285234,407915021,858294991,690497475,3168,0,105080691,26738688,589889536,0
2917520,2686716,194424056,398024175,310852357,910,3,105156558,21364736,209911808,0
10536116,3808406,1346486196,955228788,465566246,737782,1,105210195,25755648,249626624,3342336
11507541,3796083,1581838150,993948440,473596123,1042033,0,105196167,26345472,235929600,524288
11361541,3967235,1608775644,1002113264,487815544,1049236,0,105195597,26279936,228982784,393216
11369964,3834949,1581924853,996287280,490780803,943604,0,105294792,26279936,236584960,1507328
11353135,3965836,1517154467,994599136,506602366,598525,0,105190629,26345472,239337472,1441792
10725262,3949703,1480275140,998471953,494151125,742562,0,105205884,26279936,246611968,1572864
10452259,4076426,1476075824,997695283,485957980,233621,0,105189516,26345472,266797056,1245184
9969238,4225592,1407159714,995225581,494382832,258363,0,105155658,26279936,249954304,196608
8725670,4138718,1300714888,978555016,501531028,190379,0,105247242,24838144,270794752,720896
8470230,4274128,1255710746,1003487235,510467142,258251,0,105431789,26673152,272891904,2883584
8139825,4270493,1250248904,1018196111,521019790,180134,0,105207149,26411008,256114688,0
8138564,4401990,1190068837,1015100461,511750735,146096,0,104974186,26411008,284164096,786432
7838519,3694599,1342279182,1019385239,486040104,106071,0,105372062,26411008,259653632,1179648
