l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
6074989,5384269,357974557,828676430,638032065,684156,0,1068178772,5570560,2940600320,0
3748968,2961914,219811344,676668153,555470406,399854,0,105234164,3407872,209911808,0
6625945,6167965,382139915,775023969,589271612,309008,0,105422843,8388608,375390208,7405568
5106155,4663538,318299689,633601744,457498730,349259,0,105485221,8454144,307560448,2490368
7202029,5511358,396748211,786884913,572374805,1184455,0,105073236,8978432,355663872,0
7831768,5571380,394810175,763744417,540267634,1190549,0,105882868,9568256,387907584,0
5300716,3765622,260426743,763468616,627391083,726026,0,105646984,4063232,221773824,0
6112359,4886842,345676760,801161480,621793291,985395,0,105483066,6750208,305659904,4849664
4307856,2938150,201645349,592319255,456406715,659777,0,104511646,6029312,208994304,0
5021863,4045200,278334278,788159811,625772508,705181,0,105223752,30146560,254869504,4063232
10436343,7318255,523856131,795939602,508635522,1529641,0,105282855,41680896,475004928,0
9726004,6843523,502019246,774904046,498485383,1538463,0,105502782,41746432,464912384,7077888
9957301,6988459,513379873,804840757,522222647,1527236,0,105077838,41680896,459407360,0
10159754,7233992,520480079,770949311,487773466,1372560,0,105369462,41680896,475004928,262144
9883140,7016873,518542826,795813920,510518787,1496111,0,105594303,41615360,468516864,0
9840433,7039030,516666537,783687028,502151206,1452390,1,105329625,41025536,470745088,0
10399494,7175662,508441677,744215533,466552218,1488050,0,105488349,41746432,479526912,0
9922756,7256858,521865052,781217823,496816337,1330291,0,105290079,41287680,474742784,2883584
9877651,6773887,508785488,775952451,495078745,1420595,0,105272907,41811968,469237760,0
10070519,7253289,519967326,782664204,502148355,1427358,0,105330582,41746432,463994880,3604480
9945758,6877343,501969445,778946194,495713054,1232731,0,105263547,41811968,473825280,0
9626570,7163511,521696203,782583864,496168666,1240631,0,105532419,41615360,470155264,393216
9999954,7055866,512771480,809778320,527305721,1537227,0,105275588,40894464,464519168,6684672
10069134,7069815,515821209,783286759,503027663,1401195,0,105681768,40697856,471662592,0
10171922,7003762,514021466,790240675,509230910,1625086,0,105349272,40828928,475070464,0
10079162,7014224,510620759,783759323,504895920,1532104,0,105334728,40828928,456261632,2752512
10037350,7124006,520221211,770274272,484781431,1510931,0,105166260,40697856,483917824,0
9927874,6976481,507472104,762213908,485482794,1381913,0,105341109,40108032,463470592,196608
9942031,7059465,513364561,812492903,529401941,1570626,0,105401985,40828928,465174528,0
10272186,7252694,524234632,769924663,484773698,1561267,0,105417363,40828928,481755136,0
9842194,6933926,517462838,775316006,495370227,1489119,0,105229806,40763392,465960960,3014656
9885533,7178902,522857508,778581738,496615847,1409807,0,105877605,40828928,467140608,1114112
9929724,7062669,515967437,798936537,515844536,1487197,0,105041328,40697856,467730432,0
9931154,7048470,515235758,749806471,464493844,1399456,0,105481743,40894464,476512256,851968
10442438,7257088,515612995,767381977,487274918,1529358,0,105308949,40894464,475398144,0
9887141,7281263,523154936,774667388,491511697,1318513,0,105431493,40828928,475070464,0
9929839,6998137,515334522,795183673,513258972,1465299,0,105082002,40697856,465895424,10223616
10031763,7317804,524366830,741870934,456931089,1381325,0,105430548,40763392,481427456,0
9770568,7079419,513122329,774912864,492383313,1240603,0,105313905,40566784,467075072,0
9586583,7063869,518383625,803853572,519630946,1287571,0,105373026,40632320,465829888,0
10112434,6900504,506823971,788135431,506315877,1505856,0,105604554,38273024,468975616,851968
9883165,7152678,520005251,807639857,524158203,1442508,0,105504726,39976960,463929344,0
10404775,7005159,513464628,776699751,498362469,1612928,0,105348237,40370176,474546176,6488064
9908599,6975055,512623947,806530922,523698943,1561231,0,105128334,38993920,460324864,0
10109843,7116816,515611556,774315368,493202386,1493973,0,105334725,40304640,471793664,720896
10049935,7073891,512894606,742013958,462872807,1314359,0,105330039,40501248,474677248,0
9726780,6970123,514159134,777479172,494868498,1414114,0,105372552,39256064,466747392,0
