l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
72807,1498,1586622901,841135354,153958460,27310,0,1030800112,327680,524288,0
62313,567,1582465785,839528474,153772612,25327,0,105106296,393216,65536,0
62945,663,1582650991,839447892,153811577,25679,0,105224707,393216,0,0
66586,496,1583735504,839679826,153815067,26636,0,105218141,393216,0,0
59496,495,1582548671,839728267,153899731,27006,0,105188052,327680,0,0
70660,607,1583349995,839760524,153810349,41278,0,105461900,327680,0,0
64209,586,1583708098,839853989,153732673,27991,0,105169656,262144,65536,0
59356,563,1581801123,839190168,153690505,26724,0,105379416,262144,0,0
66650,602,1583959280,840102324,153963801,30270,0,104909394,327680,65536,0
57243,515,1583087466,839925194,153783008,28580,0,105328644,262144,0,0
63755,753,1582805711,839071668,153586101,26864,0,105164823,262144,0,0
66070,550,1581758422,839183575,153630253,27737,0,105317910,262144,0,0
64971,473,1583439013,839606029,153740094,29818,0,105203277,262144,0,0
65926,501,1582826560,839716377,153766150,28857,0,105352770,262144,0,0
58103,427,1584298622,840005998,153799367,29940,0,105215580,262144,0,0
71521,515,1580580427,839316062,153967787,35814,0,105245733,262144,0,0
57558,418,1570289258,839253833,154453986,23992,0,105292446,262144,0,0
63672,435,1571352671,839555247,154538781,29052,0,105331746,262144,0,0
64395,515,1571599838,840070991,154689835,31088,0,105211677,327680,65536,0
67120,496,1570454512,839350182,154469922,34131,0,105360219,327680,0,0
63661,472,1570897135,839519139,154461337,30265,0,105255141,327680,0,0
69536,450,1570390937,839289241,154470080,29157,0,105190542,327680,0,0
63598,521,1570695495,839455665,154515571,30092,0,105588923,327680,0,0
66271,485,1572378482,840227804,154589637,28885,0,105330036,327680,0,0
68845,460,1570587699,839639283,154551034,38745,0,105277365,327680,0,0
60058,411,1570769605,839332254,154417852,26997,0,105266010,327680,0,0
65743,546,1564469191,839409572,154808056,29296,0,105267099,327680,0,0
66096,370,1583854085,839929216,153785110,30142,0,105269076,327680,0,0
64858,493,1583790973,839799233,153713109,30447,0,105304080,327680,0,0
80183,1583,1504209694,839401325,168244595,29860,0,105294156,327680,0,0
76008,627,1457218263,839348810,177228354,35582,0,105246735,327680,0,0
85095,586,1456269498,839177759,177332037,35693,0,105281454,327680,0,0
66765,551,1457698836,840008278,177435960,32751,0,105243423,327680,0,0
71093,520,1457673602,839822477,177352585,34031,0,105334827,327680,0,0
75190,464,1456974566,839385816,177363786,47797,0,105248280,327680,0,0
70121,479,1457062768,839443151,177344676,34830,0,105273927,327680,0,0
63203,387,1457754212,839525396,177334576,30458,0,105295701,327680,0,0
83562,434,1457616440,840061071,177488283,36779,0,105295647,327680,0,0
68994,506,1457066838,839758129,177430762,24764,0,105284601,327680,0,0
69017,1455,1448616681,835702078,176730860,37428,0,105261549,393216,65536,0
78823,525,1457157698,839511942,177331943,43536,0,105270564,393216,0,0
76504,460,1457365160,839709185,177446338,44536,0,105291198,393216,0,0
78800,701,1456883209,839455014,177362228,40742,0,105290322,393216,0,0
72478,421,1458334165,839931578,177343554,31879,0,105287076,393216,0,0
73588,480,1457104194,839252142,177263938,37644,0,105245736,393216,0,0
78526,532,1457324657,839415559,177273503,33486,0,105249414,393216,0,0
68849,576,1457336188,839670282,177403830,34379,0,105304170,393216,0,0
80688,588,1457286972,839777594,177402116,40291,0,105306975,393216,0,0
71042,572,1457935461,840023587,177529136,41411,0,105242685,393216,0,0
64216,474,1457391606,839285160,177169688,25496,0,105284928,393216,0,0
78948,492,1456440568,839214784,177254312,35243,0,105267813,393216,0,0
60939,500,1458070460,839630247,177263349,30249,0,105279426,393216,0,0
68523,447,1457637408,839842816,177375275,33571,0,105136023,393216,0,0
89094,396,1457844378,839816476,177405693,41984,0,105192174,393216,0,0
81714,594,1456293390,839012646,177246250,34708,0,105468096,262144,65536,0
64692,515,1456623078,839113528,177205838,31229,0,105231171,262144,0,0
77125,492,1457340632,839461966,177376409,36106,0,105255909,262144,0,0
71989,625,1456387260,839651843,177482499,46796,0,105063451,262144,65536,0
66970,757,1457131422,839589268,177324228,31315,0,105235011,131072,196608,0
68134,1284,1457342937,839196566,177164744,27329,0,105225561,196608,131072,0
68305,720,1457214185,839468625,177244329,27311,0,105327048,196608,0,0
65911,674,1457399956,839591946,177297816,37250,0,105296070,196608,0,0
77352,621,1457578981,840182791,177478700,28180,0,105245619,196608,0,0
65589,570,1457573654,839514554,177233896,28741,0,105251190,196608,0,0
67286,636,1456832722,839234189,177252921,38541,0,105301230,262144,131072,0
59359,576,1457274018,839500955,177282008,26188,0,105254475,262144,0,0
72988,431,1457112722,839860276,177437684,35843,0,105303468,262144,0,0
62164,388,1457173167,839826626,177397667,27999,0,105260043,262144,0,0
63009,436,1457899037,839406536,177172673,28805,0,105261420,262144,0,0
77917,533,1456027845,839002653,177264423,44773,0,105169119,262144,0,0
60238,515,1457278293,839453470,177334482,25136,0,105291435,262144,0,0
79999,637,1457489621,839872909,177456151,32576,0,105271113,262144,0,0
68935,605,1457414922,839809549,177464581,40034,0,105303093,262144,0,0
59409,455,1456993209,838934957,177074105,35291,0,105211227,262144,0,0
91022,466,1455722240,838998024,177310124,45111,0,105184557,262144,0,0
74173,684,1457328469,839652083,177419746,38959,0,105339009,262144,0,0
68802,901,1457650671,839586139,177323421,38222,0,105278550,327680,65536,0
78983,980,1456790677,839510083,177469574,33946,0,105537537,327680,0,0
76894,1168,1458545935,840125468,177431172,27881,0,105497208,393216,0,65536
83978,2310,1432668376,825465688,173624758,22781,1,105095214,458752,65536,0
