category,bfs,canneal,CG,SP
runtime,39.224703311920166,73.764080286026,105.98692178726196,201.44640803337097
l2miss,7418696.510067115,56654884.768115945,697781460.9165461,552514227.6328753
l3miss,4880869.234899329,33216773.014492758,132928925.70188133,320780885.9683692
instructions,5433113265.66443,1860607300.3333333,7259979772.793054,20812254534.249416
cycles,2470922349.8791943,7750431675.913043,16100674027.129765,15714404308.638838
stall_cycles,576203924.5369127,6439743907.884058,11770873009.715387,7314288207.669173
intra_coh,651607.865771812,166143.66666666666,315209.61890979257,100640.87632875291
inter_coh,1.4496644295302015,487.4492753623189,2.5759768451519536,1096.6087632875292
wall_cycles,2127494337.1275167,2218005455.57971,2118872529.2522912,2175800335.991703
llc_size,153873249.93288592,451357829.56521744,764912291.7510854,457807615.53539026
local_mem,475386708.1879195,2472534609.6231885,8556485118.765076,26699656613.8657
remote_mem,9458296.268456375,137457485.91304347,22562973.082489148,378403538.6673581
