l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
14185,2769,307815223,100799345,6597614,1,0,942961031,10616832,49545216,393216
14052,2881,308418095,100966460,6558905,0,0,104684216,10878976,8388608,0
14428,2890,307978252,100856945,6619490,0,0,104951457,9699328,5767168,0
14233,2733,308255581,100971583,6588418,0,0,105071858,11599872,7471104,131072
14826,2958,308166594,100896177,6575640,0,0,105138633,12582912,6029312,0
14214,3353,308447318,100991089,6586402,0,0,105115203,13697024,6094848,0
14739,3108,308267294,100849750,6586973,0,0,105187726,12910592,6422528,0
14100,2882,310233436,101079170,6474744,0,0,105147254,10747904,6488064,196608
14307,2995,309702032,101211101,6587533,0,0,105166101,10747904,7077888,0
14417,2763,308250629,100937512,6585211,0,0,105096822,10878976,4980736,0
14692,2782,308391726,100919479,6547454,0,0,105069129,13369344,5701632,0
14533,2939,308633188,100972819,6573094,0,0,105184285,15532032,6422528,262144
14917,2956,308382233,100935258,6599905,0,0,105046871,17956864,5898240,0
14410,2863,307957606,100903038,6696572,0,0,105120804,20185088,5242880,196608
14751,2910,308308900,100924613,6596667,0,0,105151466,22872064,4849664,0
14899,2882,307670821,100757379,6633597,0,0,105076573,25165824,5767168,0
14490,2842,308599018,100961838,6599696,0,0,105108879,26607616,4915200,0
14468,2385,296987514,97851424,6414278,0,0,105115704,28180480,5963776,262144
14753,2938,307523673,100745319,6576874,0,0,105119310,29294592,9043968,0
15282,2904,307429539,100843161,6641112,0,0,105120648,31064064,6225920,196608
15130,2899,307790625,100907221,6593431,0,0,105176494,31588352,6946816,0
14518,2703,308567748,100842464,6540879,0,0,105066557,32309248,6225920,196608
14620,2753,308799905,100751341,6617495,0,0,105116364,32309248,8585216,0
14600,2819,308067580,100831532,6618460,0,0,105118044,32440320,7274496,0
14015,2606,308050720,100833172,6592794,0,0,105112470,31981568,8650752,0
14665,2947,307671599,100816036,6637006,0,0,105156929,32505856,5898240,196608
14444,2974,308652672,100916352,6636569,0,0,105067618,32833536,5439488,0
14390,2763,308772530,100969007,6605361,0,0,105198346,33357824,6553600,131072
14535,2871,308197279,100813508,6616525,0,0,105118728,33488896,7405568,0
14370,3061,308564076,100919566,6604280,0,0,105107308,33619968,5767168,131072
14524,2851,308933496,100909096,6575891,0,0,105038779,34275328,7536640,0
14319,2781,309179071,100912916,6614999,0,0,105129120,33751040,5373952,0
14441,2731,308479952,100789318,6591208,0,0,105124857,33947648,6094848,262144
14482,2928,308175138,100908538,6605852,0,0,105222203,34078720,6291456,0
14339,2532,307841725,100827975,6640598,0,0,105096900,33947648,7077888,393216
14186,2993,308124967,100890468,6603829,0,0,105107434,25296896,11534336,0
14176,2971,308213444,100914884,6609759,0,0,105055224,25493504,8192000,65536
14110,2653,289729364,96154752,6331025,0,0,105165147,27066368,11075584,0
14318,2822,308467435,100829029,6641086,0,0,105068181,28311552,6356992,131072
14658,2736,308867405,100868411,6589394,0,0,105112086,29294592,6946816,0
14053,2889,308998772,100974973,6585159,0,0,105115557,30343168,4521984,131072
14468,2757,308939846,100956869,6586480,0,0,105115422,30736384,5177344,0
14624,2862,308521594,100982047,6579322,0,0,105184482,31391744,6422528,0
14753,2815,308212001,100920087,6605421,0,0,105064194,32047104,5832704,0
14458,2974,308847879,100955347,6554257,0,0,105237542,32571392,7012352,262144
14405,2871,309198089,101084580,6622564,0,0,105047434,33161216,6488064,0
14321,2850,309225864,100862038,6604769,0,0,105150795,33226752,6881280,0
14511,3033,309337847,100959145,6611334,0,0,105107646,33357824,6356992,0
14535,2881,308777842,100954969,6616190,0,0,105112512,33554432,7012352,131072
14663,2860,308323023,100913860,6602265,0,0,105164685,28704768,10420224,0
14119,2910,308247305,100909834,6648541,0,0,105167726,20840448,8650752,65536
14379,2900,307630825,100827051,6615000,0,0,105008950,13041664,10158080,196608
14669,3018,307583749,100748543,6619831,0,0,105479290,7864320,10747904,0
14572,2874,306410265,100321421,6590400,0,0,104843124,7536640,7798784,0
14851,2972,308254343,100613380,6609571,0,0,105191814,8650752,5832704,65536
14666,3031,307901418,100408590,6622340,0,0,105084520,9699328,6225920,131072
14551,2802,308449098,100535632,6539223,0,0,104778874,9961472,7602176,327680
4064,765,259699515,95587223,8991412,0,0,105623725,6684672,10813440,0
3996,415,273979572,102760436,10382465,0,0,104631528,4980736,3211264,458752
4049,345,274301299,102861247,10389320,0,0,105147456,5767168,5046272,0
3832,376,274529699,102925212,10399706,0,0,105095210,4456448,2686976,0
4014,374,274205640,102885080,10422318,0,0,105166835,4718592,2162688,131072
4438,414,274442925,102814012,10400502,0,0,105042901,4521984,3342336,0
4282,345,274139346,102793879,10402198,0,0,105133722,5373952,3801088,0
3768,357,274155387,102813670,10408204,0,0,105146017,4784128,2621440,131072
3881,364,274213233,102808969,10384213,0,0,105051029,5373952,4390912,0
3895,332,274447149,102874707,10407790,0,0,105193907,5636096,4063232,0
4596,430,274156708,102753376,10381875,0,0,105062299,6946816,3932160,196608
4375,411,274235353,102912758,10412199,0,0,105190669,7471104,3080192,0
4270,399,274009198,102812817,10429794,0,0,105046595,7864320,2752512,196608
4037,375,274111808,102881897,10411934,0,0,105123235,5046272,3801088,0
4229,406,274232059,102820036,10422843,0,0,105154878,2949120,3407872,327680
4304,382,274099874,102851751,10407073,0,0,105110840,3997696,2818048,0
4258,397,274423718,102921537,10410301,0,0,105232634,5111808,3276800,0
4252,393,273981628,102751272,10407266,0,0,105134257,6291456,3538944,0
3800,319,274481779,102924134,10421078,0,0,105140982,7340032,3735552,0
4160,359,273855629,102756545,10421775,0,0,105172095,5898240,2490368,131072
4048,250,250391363,96023356,9795589,0,0,105234180,6553600,6946816,0
3843,284,274097558,102869586,10419766,0,0,105180032,4587520,3211264,0
4058,366,274010827,102817234,10442048,0,0,105110740,4849664,1638400,0
4227,381,274103919,102871643,10402771,0,0,105127066,4915200,2293760,0
4305,378,274281230,102819338,10375465,0,0,105147014,5373952,2686976,0
4413,412,274091891,102842139,10405610,0,0,105115878,5701632,2162688,0
4289,311,274052500,102756267,10391518,0,0,105008227,4849664,3014656,65536
4335,431,274210966,102832959,10401113,0,0,105198705,3538944,2752512,0
4237,410,274338314,102868032,10392016,0,0,105048140,4456448,3276800,65536
3744,417,273663368,102737539,10420158,0,0,105153297,3670016,3473408,131072
4102,463,273936878,102812134,10415096,0,0,105187266,5308416,3276800,0
3951,604,274024390,102845685,10487530,0,0,105365551,917504,3801088,0
4074,648,274147591,102850329,10491814,0,0,105217812,458752,2031616,0
4497,1287,273256466,102739582,10557387,0,0,105267544,0,3538944,0
5064,1919,272393891,102612513,10722235,0,0,105185544,393216,3473408,65536
5269,1685,272206214,102642151,10829476,0,0,105415024,393216,2162688,262144
4738,1197,273453425,102879352,10600380,0,0,104775900,1507328,3211264,0
3850,590,274000146,102800694,10452396,0,0,105313020,720896,2686976,131072
4136,832,273587011,102772020,10515681,0,0,105196560,851968,3604480,0
4327,921,273306018,102767251,10502195,0,0,105199700,196608,2555904,65536
4057,697,251282109,96080442,9779617,0,0,105143818,1638400,7602176,0
4125,755,273726088,102772784,10489503,0,0,105106140,655360,3538944,65536
4463,933,273658575,102777374,10530780,0,0,105215140,1179648,3473408,0
4335,904,273215478,102843638,10628478,0,0,105145784,1638400,3997696,0
4354,975,273840243,102906450,10547267,0,0,105217500,917504,4194304,0
4365,868,273896871,102896267,10525959,0,0,105329930,1048576,3801088,0
3755,880,273567971,102787324,10476893,0,0,105092688,327680,2424832,0
4174,725,274029736,102843937,10448739,0,0,105164900,393216,2424832,131072
4495,875,273823840,102789754,10477959,0,0,105111503,458752,2883584,0
4737,849,273754312,102825104,10521327,0,0,105150309,917504,2424832,0
4378,910,273198087,102801114,10606342,0,0,105308220,393216,3080192,0
4196,790,273556912,102778158,10515883,0,0,105058698,1310720,4784128,0
4333,899,273881455,102833309,10498489,0,0,105293870,589824,4128768,65536
4004,753,273878782,102765009,10439093,0,0,105204970,851968,3407872,65536
4451,737,273862324,102795116,10433664,0,0,105113821,720896,4521984,0
4405,910,273604950,102854291,10567809,0,0,105069410,1048576,5308416,0
4402,858,273822902,102850049,10542285,0,0,105206371,917504,3080192,0
4346,1055,273524242,102795034,10520379,0,0,105061469,393216,2490368,0
4202,855,273835311,102825274,10511132,0,0,105414132,196608,3670016,0
3887,635,274234291,102875829,10477880,0,0,105174665,393216,2883584,65536
3849,496,250758433,95648305,9612631,0,0,105072730,3211264,6094848,0
4237,801,273740945,102891330,10548773,0,0,105132252,720896,2818048,0
3813,585,274011143,102904074,10524040,0,0,105168658,524288,2490368,0
4166,626,273894061,102842133,10495436,0,0,105124955,983040,3276800,0
3798,672,274197669,102861236,10445822,0,0,105261463,393216,3014656,0
3961,596,274214482,102894554,10428770,0,0,105143558,393216,1835008,131072
4135,652,273617100,102782303,10502193,0,0,105275866,589824,2621440,0
4107,806,273425641,102839190,10553350,0,0,105102820,524288,2752512,131072
4088,546,273931148,102928994,10487928,0,0,105169108,393216,2162688,0
4244,595,273773812,102872478,10552824,0,0,105251556,589824,3473408,196608
4200,565,274232155,102828444,10392222,0,0,105095928,983040,3014656,65536
3490,394,274067423,102755089,10394091,0,0,105030282,1376256,2490368,0
4145,483,274019436,102839992,10452975,0,0,105275390,1441792,4653056,65536
4247,594,274243532,102885859,10473447,0,0,105027454,786432,3145728,65536
4270,644,274155201,102881632,10491638,0,0,105270525,851968,2818048,0
4227,584,274267230,102937469,10476426,0,0,105158097,393216,2293760,0
4040,481,273928017,102834768,10438381,0,0,105303351,983040,3145728,0
4164,513,273500636,102770366,10476170,0,0,105122808,720896,2097152,65536
4385,593,274083373,102846206,10439654,0,0,104942412,1507328,4653056,196608
4441,594,273975365,102850776,10472962,0,0,105349726,1114112,3538944,0
3859,408,248553690,94399451,9568972,0,0,105276437,5505024,7864320,0
4011,450,273890231,102688891,10412742,0,0,105000364,458752,2883584,0
4158,456,274123787,102814197,10405628,0,0,105179298,1572864,2490368,0
3860,514,274175974,102889377,10456564,0,0,105073983,917504,2818048,131072
4277,562,274274706,102864558,10438928,0,0,104937842,1245184,1966080,0
4148,563,274056311,102897655,10480694,0,0,105369465,1507328,3014656,0
4287,576,273705506,102820963,10477784,0,0,105053725,720896,2818048,0
4243,488,274224390,102939826,10440507,0,0,105023603,1114112,2097152,0
3892,448,274382014,102921088,10411273,0,0,105177279,1245184,2818048,131072
3993,389,274014207,102879634,10420520,0,0,105267705,2424832,1376256,0
3511,337,274034541,102905580,10433659,0,0,104999655,3735552,1966080,0
4691,805,273960741,102721606,10445033,0,0,105118686,5373952,2752512,0
4806,1162,273789472,102769272,10482811,0,0,105262319,6946816,1900544,0
5537,1114,273814987,102783431,10451098,0,0,105052542,8257536,2686976,0
5312,1921,273529469,102756637,10505907,0,0,105103082,9240576,1376256,131072
5437,1440,273543133,102669527,10480770,0,0,105060690,9502720,3014656,65536
4837,914,274313639,102880917,10423945,0,0,105131656,9043968,2818048,0
5109,1513,273939300,102763633,10458225,0,0,104968390,9502720,2293760,0
4677,1173,273971681,102801428,10439882,0,0,105270135,7536640,3211264,0
4143,949,273709699,102620332,10399518,0,0,104945742,8060928,3407872,196608
4588,1016,241170915,93433619,9525273,0,0,105119349,11141120,7143424,0
5489,1110,273743570,102834200,10482471,0,0,105120708,10551296,2490368,131072
5912,2087,273502709,102805773,10526921,0,0,105307064,10223616,3276800,0
5333,2348,273357171,102830992,10536086,0,0,105071099,10682368,2162688,196608
6270,2113,273457789,102709560,10535094,0,0,104895563,11665408,4063232,0
6189,2587,273339347,102706264,10535807,0,0,105271023,10354688,3670016,65536
6421,2967,273339235,102623269,10496678,0,0,105045129,10616832,2359296,0
4577,1413,273520200,102747698,10503570,0,0,104925408,9043968,2621440,0
4768,1035,274300552,102887971,10436054,0,0,105116322,9175040,1966080,131072
4582,1298,273865414,102752803,10467419,0,0,105261636,10485760,2621440,0
5860,2678,273505605,102744907,10532685,0,0,104942583,10813440,2359296,0
5645,2761,273867362,102841573,10468454,0,0,105268985,11796480,3670016,0
5896,2672,273131808,102714677,10527111,0,0,104939668,12779520,3014656,131072
5687,2659,273387909,102746683,10481149,0,0,105264284,13434880,4390912,0
5535,1542,274050814,102812846,10435723,0,0,105089397,14221312,2228224,0
4985,1280,274107115,102815388,10414309,0,0,105110355,15138816,3670016,131072
5114,1453,273633662,102716405,10460726,0,0,105133546,11927552,3538944,458752
4131,443,273979312,102876671,10453084,0,0,105319984,8323072,4128768,0
4056,339,274767521,103044700,10428998,0,0,105374808,8716288,2490368,0
3830,362,274660957,102980569,10426236,0,0,105110852,9502720,2228224,0
3916,375,274199885,102895998,10405061,0,0,105297248,9699328,4456448,1835008
3833,292,239561849,92923304,9532282,0,0,105010573,10485760,7602176,0
3415,340,274629297,102916163,10398331,0,0,105344754,10616832,3670016,0
4014,332,273917400,102793393,10473099,0,0,105194726,11010048,2490368,0
4214,412,274356551,102925721,10455722,0,0,105172375,11010048,2752512,0
4088,290,273918198,102824510,10407165,0,0,105043043,11337728,2686976,0
3950,270,274088671,102771925,10402795,0,0,105182028,11468800,2359296,196608
3886,364,274230555,102974316,10494429,0,0,105265251,9699328,3407872,0
3660,318,273553023,102748150,10433686,0,0,105279440,9175040,3014656,0
4021,348,274249560,102958898,10452958,0,0,105001323,9175040,2949120,0
3999,362,274018682,102872298,10419816,0,0,104994083,9175040,1966080,0
3942,304,274105069,102843089,10421927,0,0,105276544,9568256,3014656,0
4188,393,274092537,102810282,10388567,0,0,105000161,10092544,3866624,0
4211,368,274072458,102848012,10430895,0,0,105244830,9961472,3276800,0
4102,321,273841663,102797780,10488939,0,0,105351773,10158080,3473408,0
3985,315,274017974,102876354,10435909,0,0,105157808,10420224,2359296,196608
4189,330,273757855,102770801,10398934,0,0,105233058,10878976,4259840,0
4181,427,273898227,102760428,10432735,0,0,105305557,11337728,3473408,131072
4044,343,274517922,102973048,10484628,0,0,105092316,11862016,3276800,0
3868,280,273910735,102807352,10432592,0,0,105100772,11862016,2686976,0
3886,326,273955209,102751572,10387097,0,0,104990744,11993088,2752512,262144
3915,281,241929621,93298410,9532589,0,0,105351248,12124160,9699328,0
4100,332,274042670,102782587,10399493,0,0,104880271,9175040,4063232,0
4069,370,274031332,102793616,10450092,0,0,105256386,9306112,2162688,0
3794,342,274126088,102916751,10461700,0,0,105178665,9633792,2949120,131072
4319,323,274013189,102747916,10400834,0,0,105380884,9895936,3145728,65536
4228,349,274213264,102847184,10423088,0,0,105250075,9633792,2031616,0
4192,376,274330455,102857696,10418498,0,0,104872159,8126464,2752512,0
4134,413,274186059,102892342,10419525,0,0,105257412,8257536,3932160,0
4249,394,273965577,102827585,10413763,0,0,105208413,8454144,2424832,131072
4082,343,273361253,102584590,10409854,0,0,105116607,8847360,3932160,65536
3921,353,274126986,102860840,10409811,0,0,105543042,7536640,2424832,0
4194,415,274231620,102946944,10446564,0,0,105214333,6684672,3997696,65536
4115,394,274199248,102909962,10465683,0,0,105212513,6946816,3276800,0
4437,359,273856615,102776788,10413005,0,0,105026047,7471104,3407872,327680
3959,381,273640025,102723614,10392569,0,0,105141064,7667712,3080192,0
4215,399,274186470,102745534,10385882,0,0,105108472,5767168,4325376,0
4094,408,274236656,102917131,10465208,0,0,105488845,5701632,3735552,0
3964,316,274276990,102977644,10462909,0,0,105076697,5767168,2293760,0
4081,385,274363647,102967788,10454183,0,0,105166734,5963776,3473408,0
3950,407,273835064,102802829,10429630,0,0,105279771,6291456,3342336,65536
3898,348,243363066,93678082,9413232,0,0,105278160,5963776,8978432,131072
3840,339,274401844,103034924,10452401,0,0,105185688,4784128,2490368,0
3945,426,274072325,102873671,10426304,0,0,105211623,4456448,3276800,262144
3971,425,274290434,102886641,10402560,0,0,105328461,4325376,1376256,0
3932,272,274136302,102886145,10425655,0,0,105232694,4653056,2490368,0
3757,393,274589957,102968591,10415995,0,0,105131880,5308416,2818048,0
4207,410,274166551,102858883,10415708,0,0,104960815,5767168,2228224,0
4101,373,274101814,102812395,10398455,0,0,105122628,4390912,2818048,196608
4224,367,274178054,102839183,10408369,0,0,105219968,4194304,3014656,0
4293,414,274485873,102911362,10401391,0,0,105169420,4194304,2686976,262144
3897,385,274069928,102803717,10425864,0,0,105098600,4653056,3538944,0
3896,393,274094152,102817293,10421792,0,0,105179896,4849664,2621440,0
4364,440,273812728,102891119,10480285,0,0,105198612,4456448,2818048,0
4097,400,273853591,102787851,10407506,0,0,105090618,4784128,2752512,196608
4179,469,273845444,102708187,10394314,0,0,105041337,5111808,5373952,0
3895,355,274161714,102826465,10414036,0,0,105113997,5177344,2752512,0
4189,399,274126096,102724736,10402769,0,0,105113346,4653056,2555904,0
4327,533,274302186,102777498,10396907,0,0,105126132,4325376,3145728,0
3888,395,273821211,102805648,10427368,0,0,105323101,4128768,2424832,262144
4360,433,274635383,102946589,10421129,0,0,105113402,3473408,4325376,0
4393,414,242261418,92328538,9315927,0,0,105382702,3801088,9699328,65536
3797,419,274452014,102974676,10417451,0,0,104917883,3407872,2752512,0
3624,436,273834191,102802830,10402452,0,0,105127038,3538944,4194304,0
3933,419,273767237,102763929,10406458,0,0,105172395,3735552,2752512,0
4009,443,274284796,102877709,10464246,0,0,105211518,3604480,2949120,0
3952,489,274167706,102812549,10408438,0,0,105196329,3407872,2752512,0
3806,411,274229050,102894419,10432277,0,0,105350420,3473408,3473408,0
